JSE_ISIN,JSE_Issuer_Name,JSE_Issue_Description,JSE_Number_of_Securities,JSE_Nominal_Value,JSE_Currency_Code,JSE_Instrument_Type,JSE_Alpha_Code,JSE_Instrument_Version,JSE_Legacy_Field,JSE_Issuer_Registration_Number,JSE_Issuer_Income_Tax_Number,JSE_Trailing
ZAE000320990,10X FUND MANAGERS (RF) PROPRIETARY LIMITED,10X Income Actively Managed ETF,000000076124264,0000000000000,ZAC,ETF,INCOME,000,,2006/006498/07,,   
ZAE000322483,10X FUND MANAGERS (RF) PROPRIETARY LIMITED,10X All Asia Actively Managed ETF,000000078633187,0000000000000,ZAC,ETF,APACXJ,000,,2006/006498/07,,   
ZAE000254249,10X FUND MANAGERS (RF) PROPRIETARY LIMITED,10X GlobalDivTrax,000000143242418,0000000000000,ZAC,ETF,GLODIV,000,,2006/006498/07,,   
ZAE000297776,10X FUND MANAGERS (RF) PROPRIETARY LIMITED,10X TotalWldTock,000000140774147,0000000000000,ZAC,ETF,GLOBAL,000,,2006/006498/07,,   
ZAE000273165,10X FUND MANAGERS (RF) PROPRIETARY LIMITED,10X SAProp Income,000000041769814,0000000000000,ZAC,ETF,CSPROP,000,,2006/006498/07,,   
ZAE000204327,10X FUND MANAGERS (RF) PROPRIETARY LIMITED,10X Top 50,000000068978659,0000000000000,ZAC,ETF,CTOP50,000,,2006/006498/07,,   
ZAE000268694,10X FUND MANAGERS (RF) PROPRIETARY LIMITED,10X S&P 500,000000025160315,0000000000000,ZAC,ETF,CSP500,001,,2006/006498/07,,   
ZAE000268660,10X FUND MANAGERS (RF) PROPRIETARY LIMITED,10X Global Prop,000000007973831,0000000000000,ZAC,ETF,GLPROP,001,,2006/006498/07,,   
ZAE000316162,10X FUND MANAGERS (RF) PROPRIETARY LIMITED,10X GOVI,000000306273297,0000000000000,ZAC,ETF,CSGOVI,000,,2006/006498/07,,   
ZAE000320784,10X FUND MANAGERS (RF) PROPRIETARY LIMITED,10X Next 40,000000062614943,0000000000000,ZAC,ETF,WNXT40,000,,2006/006498/07,,   
ZAE000320792,10X FUND MANAGERS (RF) PROPRIETARY LIMITED,10X Wealth Top 20,000000077501000,0000000000000,ZAC,ETF,WTOP20,000,,2006/006498/07,,   
ZAE000318614,10X FUND MANAGERS (RF) PROPRIETARY LIMITED,10X YSB,000000036189316,0000000000000,ZAC,ETF,CSYSB,000,,2006/006498/07,,   
ZAE000182523,1NVEST ETF ISSUER (RF) LIMITED,1nvestGold ETF,000000002668000,0000000000000,ZAC,ETF,ETFGLD,000,,2013/022008/06,,   
ZAE000182531,1NVEST ETF ISSUER (RF) LIMITED,1nvestPalladium ETF,000000000245050,0000000000000,ZAC,ETF,ETFPLD,000,,2013/022008/06,,   
ZAE000210787,1NVEST ETF ISSUER (RF) LIMITED,1nvestRhodium ETF,000000000694805,0000000000000,ZAC,ETF,ETFRHO,000,,2013/022008/06,,   
ZAE000182556,1NVEST ETF ISSUER (RF) LIMITED,1nvestPlatinum ETF,000000001318000,0000000000000,ZAC,ETF,ETFPLT,000,,2013/022008/06,,   
ZAE000182556,1NVEST ETF ISSUER (RF) LIMITED,1nvestPlatinum ETF NM,000000001318000,0000000000000,ZAC,ETF,ENXPLT,000,,2013/022008/06,,   
ZAE000182523,1NVEST ETF ISSUER (RF) LIMITED,1nvestGold ETF NM,000000002668000,0000000000000,ZAC,ETF,ENXGLD,000,,2013/022008/06,,   
ZAE000182531,1NVEST ETF ISSUER (RF) LIMITED,1nvestPalladium ETF NM,000000000245050,0000000000000,ZAC,ETF,ENXPLD,000,,2013/022008/06,,   
ZAE000316659,1NVEST ETFs LIMITED,1NVEST SA Bond STANLIB ETF,000000003753045,0000000000000,ZAC,ETF,ETFBND,001,,1969/003468/06,,   
ZAE000279238,1NVEST ETFs LIMITED,1NVEST SA Property STANLIB ETF,000000039145396,0000000000000,ZAC,ETF,ETFSAP,000,,1969/003468/06,,   
ZAE000279212,1NVEST ETFs LIMITED,1NVEST Top 40 STANLIB ETF,000000001143124,0000000000000,ZAC,ETF,ETFT40,000,,1969/003468/06,,   
ZAE000339206,1NVEST ETFs LIMITED,1NVEST Capped All Share STANLIB ETF,000000113886393,0000000000000,ZAC,ETF,ETFSWX,001,,1969/003468/06,,   
ZAE000312245,1NVEST ETFs LIMITED,1NVEST MSCI World Socially Responsible Investment STANLIB Feeder ETF,000000000067900,0000000000000,ZAC,ETF,ETFSRI,000,,1969/003468/06,,   
ZAE000313391,1NVEST ETFs LIMITED,1NVEST ICE US Treasury Short Bond Index STANLIB Feeder ETF,000000038948188,0000000000000,ZAC,ETF,ETFUSD,000,,1969/003468/06,,   
ZAE000313409,1NVEST ETFs LIMITED,1NVEST MSCI EM Asia Index STANLIB Feeder ETF,000000004652500,0000000000000,ZAC,ETF,ETFEMA,000,,1969/003468/06,,   
ZAE000255188,1NVEST ETFs LIMITED,1NVEST Global Government Bond Index STANLIB Feeder ETF,000000001071699,0000000000000,ZAC,ETF,ETFGGB,000,,1969/003468/06,,   
ZAE000255196,1NVEST ETFs LIMITED,1NVEST Global REIT Index STANLIB Feeder ETF,000000004385833,0000000000000,ZAC,ETF,ETFGRE,000,,1969/003468/06,,   
ZAE000255055,1NVEST ETFs LIMITED,1NVEST S&P 500 Index STANLIB Feeder ETF,000000000881401,0000000000000,ZAC,ETF,ETF500,000,,1969/003468/06,,   
ZAE000255063,1NVEST ETFs LIMITED,1NVEST S&P 500 Info Tech Index STANLIB Feeder ETF,000000053493165,0000000000000,ZAC,ETF,ETF5IT,000,,1969/003468/06,,   
ZAE000255170,1NVEST ETFs LIMITED,1NVEST MSCI World Index STANLIB Feeder ETF,000000007289479,0000000000000,ZAC,ETF,ETFWLD,000,,1969/003468/06,,   
ZAE000338216,27Four Collective Investments (RF) (Pty) Ltd,27four Global Multi-Factor Equity Actively Managed ETF,000000050778963,0000000000000,ZAC,ETF,27FGMF,000,,2015/291620/07,,   
ZAE000338406,27Four Collective Investments (RF) (Pty) Ltd,27four SA Multi-Factor Equity Actively Managed ETF,000000008617408,0000000000000,ZAC,ETF,27FSMF,000,,2015/291620/07,,   
ZAE000336319,27Four Collective Investments (RF) (Pty) Ltd,27four Large Cap Equity Actively Managed ETF,000000019184678,0000000000000,ZAC,ETF,27FLCE,000,,2015/291620/07,,   
ZAE000340576,27Four Collective Investments (RF) (Pty) Ltd,27four Global Shari'ah Equity Actively Managed ETF,000000037241569,0000000000000,ZAC,ETF,27FGSE,000,,2015/291620/07,,   
ZAE000278412,27Four Collective Investments (RF) (Pty) Ltd,Lodestar Global Equity 27four Fund A1,000000000000000,0000000000000,ZAC,UT,LODEA1,000,,2015/291620/07,,   
ZAE000278420,27Four Collective Investments (RF) (Pty) Ltd,Lodestar Global Equity ACI Fund B1,000000000000000,0000000000000,ZAC,UT,LODEB1,000,,2015/291620/07,,   
ZAE000242301,27Four Collective Investments (RF) (Pty) Ltd,Excelsia Equity ACI Fund A1,000000000000000,0000000000000,ZAC,UT,EEACA1,000,,2015/291620/07,,   
ZAE000242319,27Four Collective Investments (RF) (Pty) Ltd,Excelsia Equity ACI Fund B1,000000000000000,0000000000000,ZAC,UT,EEACB1,000,,2015/291620/07,,   
ZAE000242327,27Four Collective Investments (RF) (Pty) Ltd,Excelsia Equity ACI Fund B3,000000000000000,0000000000000,ZAC,UT,EEACB3,000,,2015/291620/07,,   
ZAE000245122,27Four Collective Investments (RF) (Pty) Ltd,MSM Property ACI Fund A1,000000000000000,0000000000000,ZAC,UT,MPFA1,000,,2015/291620/07,,   
ZAE000358156,27Four Collective Investments (RF) (Pty) Ltd,Cap Link Part Bal B,000000000000000,0000000000000,ZAC,UT,CL274B,000,,2015/291620/07,,   
ZAE000358164,27Four Collective Investments (RF) (Pty) Ltd,Cap Link Part Act Bo A,000000000000000,0000000000000,ZAC,UT,CA274A,000,,2015/291620/07,,   
ZAE000358172,27Four Collective Investments (RF) (Pty) Ltd,Cap Link Part Act Bo B,000000000000000,0000000000000,ZAC,UT,CA274B,000,,2015/291620/07,,   
ZAE000358180,27Four Collective Investments (RF) (Pty) Ltd,Cap Link Part Act Bo C,000000000000000,0000000000000,ZAC,UT,CA274C,000,,2015/291620/07,,   
ZAE000341749,27Four Collective Investments (RF) (Pty) Ltd,Mianzo IDE 27four fnd B1,000000000000000,0000000000000,ZAC,UT,MIAFB1,000,,2015/291620/07,,   
ZAE000349965,27Four Collective Investments (RF) (Pty) Ltd,Cap L P St Inc 27Four FD,000000000000000,0000000000000,ZAC,UT,CPLPFD,000,,2015/291620/07,,   
ZAE000357984,27Four Collective Investments (RF) (Pty) Ltd,IND ALT 274 ACT BOND B1,000000000000000,0000000000000,ZAC,UT,SIAFB1,000,,2015/291620/07,,   
ZAE000358123,27Four Collective Investments (RF) (Pty) Ltd,Cap Link Part SA Eq A,000000000000000,0000000000000,ZAC,UT,CLP27A,000,,2015/291620/07,,   
ZAE000358131,27Four Collective Investments (RF) (Pty) Ltd,Cap Link Part SA Eq B,000000000000000,0000000000000,ZAC,UT,CLP27B,000,,2015/291620/07,,   
ZAE000358149,27Four Collective Investments (RF) (Pty) Ltd,Cap Link Part Bal A,000000000000000,0000000000000,ZAC,UT,CL274A,000,,2015/291620/07,,   
ZAE000336087,27Four Collective Investments (RF) (Pty) Ltd,Balondolozi Bond 27four Fund A7,000000000000000,0000000000000,ZAC,UT,BBFA7,000,,2015/291620/07,,   
ZAE000340436,27Four Collective Investments (RF) (Pty) Ltd,Capital Link PSI 27F FDA,000000000000000,0000000000000,ZAC,UT,CLPSIF,000,,2015/291620/07,,   
ZAE000340477,27Four Collective Investments (RF) (Pty) Ltd,Capital LPSI 27F Fund B,000000000000000,0000000000000,ZAC,UT,CLPSFB,000,,2015/291620/07,,   
ZAE000340485,27Four Collective Investments (RF) (Pty) Ltd,Capital LPSI 27F Fund C,000000000000000,0000000000000,ZAC,UT,CLPSIFC,000,,2015/291620/07,,   
ZAE000341723,27Four Collective Investments (RF) (Pty) Ltd,MMM 27four FundB3,000000000000000,0000000000000,ZAC,UT,MMMFB3,000,,2015/291620/07,,   
ZAE000341731,27Four Collective Investments (RF) (Pty) Ltd,Mianzo IDE 27four fnd A1,000000000000000,0000000000000,ZAC,UT,MIAFA1,000,,2015/291620/07,,   
ZAE000323804,27Four Collective Investments (RF) (Pty) Ltd,27four Shari'ah Active Equity Fund B5,000000000000000,0000000000000,ZAC,UT,27FSB5,000,,2015/291620/07,,   
ZAE000331328,27Four Collective Investments (RF) (Pty) Ltd,27four Stable Fund of Funds B6,000000000000000,0000000000000,ZAC,UT,FSFFB6,000,,2015/291620/07,,   
ZAE000331484,27Four Collective Investments (RF) (Pty) Ltd,Excelsia Balanced 27four Fund A1,000000000000000,0000000000000,ZAC,UT,EXBFA1,000,,2015/291620/07,,   
ZAE000331492,27Four Collective Investments (RF) (Pty) Ltd,Excelsia Balanced 27four Fund A3,000000000000000,0000000000000,ZAC,UT,EXBFA3,000,,2015/291620/07,,   
ZAE000332227,27Four Collective Investments (RF) (Pty) Ltd,27four Money Market Fund A3,000000000000000,0000000000000,ZAC,UT,27MMA3,000,,2015/291620/07,,   
ZAE000333290,27Four Collective Investments (RF) (Pty) Ltd,SBSA ITF Exc Eq 27f Fnd B2,000000000000000,0000000000000,ZAC,UT,EEACB2,000,,2015/291620/07,,   
ZAE000316840,27Four Collective Investments (RF) (Pty) Ltd,Prowess Balanced 27four Fund B4,000000000000000,0000000000000,ZAC,UT,PBFFB4,000,,2015/291620/07,,   
ZAE000316857,27Four Collective Investments (RF) (Pty) Ltd,Prowess Diversified Income 27four Fund B4,000000000000000,0000000000000,ZAC,UT,PROWB4,000,,2015/291620/07,,   
ZAE000317244,27Four Collective Investments (RF) (Pty) Ltd,27four Shariah Active Equity Fund A7,000000000000000,0000000000000,ZAC,UT,27SHA7,000,,2015/291620/07,,   
ZAE000318226,27Four Collective Investments (RF) (Pty) Ltd,274UT Diversified Income Fund A7,000000000000000,0000000000000,ZAC,UT,UTDFA7,000,,2015/291620/07,,   
ZAE000322103,27Four Collective Investments (RF) (Pty) Ltd,Prowess 27Four Money Market Fund B5,000000000000000,0000000000000,ZAC,UT,PR27B5,000,,2015/291620/07,,   
