JSE_ISIN,JSE_Issuer_Name,JSE_Issue_Description,JSE_Number_of_Securities,JSE_Nominal_Value,JSE_Currency_Code,JSE_Instrument_Type,JSE_Alpha_Code,JSE_Instrument_Version,JSE_Legacy_Field,JSE_Issuer_Registration_Number,JSE_Issuer_Income_Tax_Number,JSE_Trailing
ZAE000255915,ABSA GROUP LIMITED,Absa Group Limited,000000894376907,0000000000002,ZAC,Ordinary,ABG,000,XC0008822501,1986/003934/06,9150116714,   
GB00BTK05J60,ANGLO AMERICAN PLC,Anglo American plc,000001178050272,0000000000000,ZAC,Ordinary,AGL,002,XC0008681881,3564138,,   
GB00BRXH2664,ANGLOGOLD ASHANTI PLC,AngloGold Ashanti plc,000000505769256,0000000000001,ZAC,Ordinary,ANG,002,XC0008544345,14654651,,   
AU000000BHP4,BHP GROUP LIMITED,BHP Group Limited,000005081391706,0000000000000,ZAC,Ordinary,BHG,000,,ABN 49 004 028 077,,   
GB0002875804,BRITISH AMERICAN TOBACCO PLC,British American Tob plc,000002295356112,0000000000000,ZAC,Ordinary,BTI,000,,03407696,9378/193/17/,2  
ZAE000035861,CAPITEC BANK HOLDINGS LIMITED,Capitec Bank Hldgs Ltd,000000116099843,0000000000000,ZAC,Ordinary,CPI,000,,1999/025903/06,9405376840,   
ZAE000066304,FIRSTRAND LIMITED,Firstrand Ltd,000005609488001,0000000000000,ZAC,Ordinary,FSR,001,,1966/010753/06,9150201714,   
JE00B4T3BW64,GLENCORE PLC,Glencore plc,000013225000000,0000000000000,ZAC,Ordinary,GLN,000,,107710,,   
ZAE000018123,GOLD FIELDS LIMITED,Gold Fields Ltd,000000895024247,0000000000000,ZAC,Ordinary,GFI,000,XC0008567775,1968/004880/06,9160035607,   
ZAE000083648,IMPALA PLATINUM HOLDINGS LIMITED,Impala Platinum Hlgs Ltd,000000904368485,0000000000000,ZAC,Ordinary,IMP,001,XC0008653898,1957/001979/06,9700178719,   
ZAE000351946,NASPERS LIMITED,Naspers Ltd -N-,000000765093343,0000000000000,ZAC,Nord,NPN,003,,1925/001431/06,9550138714,   
ZAE000004875,NEDBANK GROUP LIMITED,Nedbank Group Ltd,000000477272628,0000000000001,ZAC,Ordinary,NED,000,XC0008647841,1966/010630/06,9375082717,   
ZAE000298253,NORTHAM PLATINUM HOLDINGS LIMITED,Northam Platinum Hldgs Ltd,000000400102916,0000000000000,ZAC,Ordinary,NPH,000,XC0008772086,2020/905346/06,9586451198,   
NL0013654783,PROSUS N.V,Prosus N.V.,000002186494867,0000000000000,ZAC,Nord,PRX,000,,34099856,,   
ZAE000006896,SASOL LIMITED,Sasol Limited,000000647761670,0000000000000,ZAC,Ordinary,SOL,000,XC0008651645,1979/003231/06,9520018608,   
ZAE000012084,SHOPRITE HOLDINGS LIMITED,Shoprite Holdings Ltd,000000591338502,0000000000001,ZAC,Ordinary,SHP,002,XC0008532027,1936/007721/06,9775112718,   
ZAE000013181,VALTERRA PLATINUM LIMITED,Valterra Platinum Ltd,000000265292206,0000000000000,ZAC,Ordinary,VAL,000,XC0008565472,1946/022452/06,9575104717,   
