Primary_Universe_Index,Instrument_Decision_v0_6,Instrument_Resolution_Method_v0_6,Rows
AU_ASX200,NOT_VERIFIED,TARGETED_REVIEW_REQUIRED,63
BR_IBRX100,NOT_VERIFIED,TARGETED_REVIEW_REQUIRED,48
CA_TSX,FAIL,AUTO_FAIL_SECURITY_TOKEN_RULE,1
CA_TSX,NOT_VERIFIED,TARGETED_REVIEW_REQUIRED,105
EU_STOXX600,NOT_VERIFIED,TARGETED_REVIEW_REQUIRED,365
HK_HSI,FAIL,AUTO_FAIL_SECURITY_TOKEN_RULE,1
HK_HSI,NOT_VERIFIED,TARGETED_REVIEW_REQUIRED,82
KR_KOSPI200,NOT_VERIFIED,TARGETED_REVIEW_REQUIRED,92
MX_IPC,FAIL,AUTO_FAIL_SECURITY_TOKEN_RULE,1
MX_IPC,NOT_VERIFIED,TARGETED_REVIEW_REQUIRED,6
US_SP1500,PASS,AUTO_PASS_GROUP_RULE,1332
ZA_TOP40,NOT_VERIFIED,TARGETED_REVIEW_REQUIRED,17
