ASX_Reference_Sheet,ASX_Reference_Code_Column,ASX code,Company name,Security type,ISIN code,_ASX_CODE_NORM
ISIN,ASX code,AGL,AGL ENERGY LIMITED.,ORDINARY FULLY PAID,AU000000AGL7,AGL
ISIN,ASX code,ALQ,ALS LIMITED,ORDINARY FULLY PAID,AU000000ALQ6,ALQ
ISIN,ASX code,AMC,AMCOR PLC,CDI 1:1 FOREIGN EXEMPT NYSE,AU000000AMC4,AMC
ISIN,ASX code,ALD,AMPOL LIMITED,ORDINARY FULLY PAID,AU0000088338,ALD
ISIN,ASX code,ANZ,ANZ GROUP HOLDINGS LIMITED,ORDINARY FULLY PAID,AU000000ANZ3,ANZ
ISIN,ASX code,ALL,ARISTOCRAT LEISURE LIMITED,ORDINARY FULLY PAID,AU000000ALL7,ALL
ISIN,ASX code,ASX,ASX LIMITED,ORDINARY FULLY PAID,AU000000ASX7,ASX
ISIN,ASX code,AZJ,AURIZON HOLDINGS LIMITED,ORDINARY FULLY PAID,AU000000AZJ1,AZJ
ISIN,ASX code,BHP,BHP GROUP LIMITED,ORDINARY FULLY PAID,AU000000BHP4,BHP
ISIN,ASX code,BSL,BLUESCOPE STEEL LIMITED,ORDINARY FULLY PAID,AU000000BSL0,BSL
ISIN,ASX code,BXB,BRAMBLES LIMITED,ORDINARY FULLY PAID,AU000000BXB1,BXB
ISIN,ASX code,CMM,CAPRICORN METALS LTD,ORDINARY FULLY PAID,AU000000CMM9,CMM
ISIN,ASX code,CAR,CAR GROUP LIMITED,ORDINARY FULLY PAID,AU000000CAR3,CAR
ISIN,ASX code,COH,COCHLEAR LIMITED,ORDINARY FULLY PAID,AU000000COH5,COH
ISIN,ASX code,COL,COLES GROUP LIMITED.,ORDINARY FULLY PAID,AU0000030678,COL
ISIN,ASX code,CBA,COMMONWEALTH BANK OF AUSTRALIA.,ORDINARY FULLY PAID,AU000000CBA7,CBA
ISIN,ASX code,CPU,COMPUTERSHARE LIMITED.,ORDINARY FULLY PAID,AU000000CPU5,CPU
ISIN,ASX code,CSL,CSL LIMITED,ORDINARY FULLY PAID,AU000000CSL8,CSL
ISIN,ASX code,DRO,DRONESHIELD LIMITED,ORDINARY FULLY PAID,AU000000DRO2,DRO
ISIN,ASX code,EVN,EVOLUTION MINING LIMITED,ORDINARY FULLY PAID,AU000000EVN4,EVN
ISIN,ASX code,FMG,FORTESCUE LTD,ORDINARY FULLY PAID,AU000000FMG4,FMG
ISIN,ASX code,GMD,GENESIS MINERALS LIMITED,ORDINARY FULLY PAID,AU000000GMD9,GMD
ISIN,ASX code,GMG,GOODMAN GROUP,FULLY PAID ORDINARY/UNITS STAPLED SECURITIES,AU000000GMG2,GMG
ISIN,ASX code,GPT,GPT GROUP,FULLY PAID ORDINARY/UNITS STAPLED SECURITIES,AU000000GPT8,GPT
ISIN,ASX code,IAG,INSURANCE AUSTRALIA GROUP LIMITED,ORDINARY FULLY PAID,AU000000IAG3,IAG
ISIN,ASX code,JHX,JAMES HARDIE INDUSTRIES PLC,CHESS DEPOSITARY INTERESTS 1:1,AU000000JHX1,JHX
ISIN,ASX code,JBH,JB HI-FI LIMITED,ORDINARY FULLY PAID,AU000000JBH7,JBH
ISIN,ASX code,360,LIFE360 INC.,CDI 3:1 FOREIGN EXEMPT XNGS,AU0000045098,360
ISIN,ASX code,LTR,LIONTOWN LIMITED,ORDINARY FULLY PAID,AU000000LTR4,LTR
ISIN,ASX code,LYC,LYNAS RARE EARTHS LIMITED,ORDINARY FULLY PAID,AU000000LYC6,LYC
