WS_ID,Name,Country,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Primary_Currency,Currency_Normalized,Quote_Scale_To_Major_Currency,Instrument_Type,Instrument_Gate,Instrument_Gate_Reason,Scalable_Tradeability_Status,Cache_Status,Cache_Reason,Unique_Bars,Valid_Bars,FreeFloatMarketCap_EUR,FreeFloatMarketCap_Status,Usable20,Usable60,MedianTurnover20_EUR,MedianTurnover60_EUR,FX_Coverage20,FX_Coverage60,Liquidity_Data_Status,Liquidity_Last_Session,Liquidity_Gate,Liquidity_Bucket,Scalable_Gate,Strict_Eligibility,Blocking_Reasons,Instrument_Decision_v0_6,Instrument_Type_Resolved_v0_6,Instrument_Resolution_Method_v0_6,Instrument_Resolution_Reason_v0_6,Instrument_Evidence_URL_v0_6,Instrument_Evidence_Note_v0_6,Instrument_Decision_v0_7,Instrument_Type_Resolved_v0_7,Instrument_Resolution_Method_v0_7,Instrument_Resolution_Reason_v0_7,Instrument_Evidence_URL_v0_7,Instrument_Evidence_Note_v0_7
WS:BVMF:ABEV3,ABEV3,Brazil,BR_IBRX100,BVMF,ABEV3,ABEV3.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,500,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,82287590.06748158,64092327.31302568,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,NO_NEW_GROUP_RULE_IN_V0_6,,No new group-level instrument decision is made in v0.6.,PASS,ORDINARY_SHARE,B3_OFFICIAL_TICKER_SUFFIX_RULE,B3_SUFFIX_03,https://sistemasweb.b3.com.br/normativos/MPODENEGOCIACAO20260525.pdf,"B3 Trading Operational Procedures Manual, May 2026"
WS:BVMF:ALOS3,ALOS3,Brazil,BR_IBRX100,BVMF,ALOS3,ALOS3.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,500,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,16084140.184568182,19404970.947972305,20,60,OK,2026-08-21,PASS,STANDARD_15_TO_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,NO_NEW_GROUP_RULE_IN_V0_6,,No new group-level instrument decision is made in v0.6.,PASS,ORDINARY_SHARE,B3_OFFICIAL_TICKER_SUFFIX_RULE,B3_SUFFIX_03,https://sistemasweb.b3.com.br/normativos/MPODENEGOCIACAO20260525.pdf,"B3 Trading Operational Procedures Manual, May 2026"
WS:BVMF:AXIA3,AXIA3,Brazil,BR_IBRX100,BVMF,AXIA3,AXIA3.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,500,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,113357211.5653448,88604084.70002511,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,NO_NEW_GROUP_RULE_IN_V0_6,,No new group-level instrument decision is made in v0.6.,PASS,ORDINARY_SHARE,B3_OFFICIAL_TICKER_SUFFIX_RULE,B3_SUFFIX_03,https://sistemasweb.b3.com.br/normativos/MPODENEGOCIACAO20260525.pdf,"B3 Trading Operational Procedures Manual, May 2026"
WS:BVMF:B3SA3,B3SA3,Brazil,BR_IBRX100,BVMF,B3SA3,B3SA3.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,500,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,82666997.22076112,98253441.60454668,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,NO_NEW_GROUP_RULE_IN_V0_6,,No new group-level instrument decision is made in v0.6.,PASS,ORDINARY_SHARE,B3_OFFICIAL_TICKER_SUFFIX_RULE,B3_SUFFIX_03,https://sistemasweb.b3.com.br/normativos/MPODENEGOCIACAO20260525.pdf,"B3 Trading Operational Procedures Manual, May 2026"
WS:BVMF:BBAS3,BBAS3,Brazil,BR_IBRX100,BVMF,BBAS3,BBAS3.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,500,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,66727665.77290993,59837291.75092825,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,NO_NEW_GROUP_RULE_IN_V0_6,,No new group-level instrument decision is made in v0.6.,PASS,ORDINARY_SHARE,B3_OFFICIAL_TICKER_SUFFIX_RULE,B3_SUFFIX_03,https://sistemasweb.b3.com.br/normativos/MPODENEGOCIACAO20260525.pdf,"B3 Trading Operational Procedures Manual, May 2026"
WS:BVMF:BBDC4,BBDC4,Brazil,BR_IBRX100,BVMF,BBDC4,BBDC4.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,500,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,99769297.22726364,78158781.59588358,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,NO_NEW_GROUP_RULE_IN_V0_6,,No new group-level instrument decision is made in v0.6.,FAIL,PREFERRED_SHARE,B3_OFFICIAL_TICKER_SUFFIX_RULE,B3_SUFFIX_04,https://sistemasweb.b3.com.br/normativos/MPODENEGOCIACAO20260525.pdf,"B3 Trading Operational Procedures Manual, May 2026"
WS:BVMF:BBSE3,BBSE3,Brazil,BR_IBRX100,BVMF,BBSE3,BBSE3.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,500,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,39564681.492573336,36291910.82002486,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,NO_NEW_GROUP_RULE_IN_V0_6,,No new group-level instrument decision is made in v0.6.,PASS,ORDINARY_SHARE,B3_OFFICIAL_TICKER_SUFFIX_RULE,B3_SUFFIX_03,https://sistemasweb.b3.com.br/normativos/MPODENEGOCIACAO20260525.pdf,"B3 Trading Operational Procedures Manual, May 2026"
WS:BVMF:BPAC11,BPAC11,Brazil,BR_IBRX100,BVMF,BPAC11,BPAC11.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,500,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,69355854.40809572,81274580.9912791,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,NO_NEW_GROUP_RULE_IN_V0_6,,No new group-level instrument decision is made in v0.6.,FAIL,B3_OTHER_ASSET_UNIT_FUND_OR_OTHER_NONORDINARY,B3_OFFICIAL_TICKER_SUFFIX_RULE,B3_SUFFIX_11_OTHER_ASSET_11_30,https://sistemasweb.b3.com.br/normativos/MPODENEGOCIACAO20260525.pdf,"B3 Trading Operational Procedures Manual, May 2026"
WS:BVMF:BRAV3,BRAV3,Brazil,BR_IBRX100,BVMF,BRAV3,BRAV3.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,500,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,23984658.11547002,20861608.087431904,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,NO_NEW_GROUP_RULE_IN_V0_6,,No new group-level instrument decision is made in v0.6.,PASS,ORDINARY_SHARE,B3_OFFICIAL_TICKER_SUFFIX_RULE,B3_SUFFIX_03,https://sistemasweb.b3.com.br/normativos/MPODENEGOCIACAO20260525.pdf,"B3 Trading Operational Procedures Manual, May 2026"
WS:BVMF:CMIG4,CMIG4,Brazil,BR_IBRX100,BVMF,CMIG4,CMIG4.SA,BRL,BRL,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,500,500,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,22899395.649461817,21729982.107501112,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,NO_NEW_GROUP_RULE_IN_V0_6,,No new group-level instrument decision is made in v0.6.,FAIL,PREFERRED_SHARE,B3_OFFICIAL_TICKER_SUFFIX_RULE,B3_SUFFIX_04,https://sistemasweb.b3.com.br/normativos/MPODENEGOCIACAO20260525.pdf,"B3 Trading Operational Procedures Manual, May 2026"
