WS_ID,Name,Country,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Primary_Currency,Currency_Normalized,Quote_Scale_To_Major_Currency,Instrument_Type,Instrument_Gate,Instrument_Gate_Reason,Scalable_Tradeability_Status,Cache_Status,Cache_Reason,Unique_Bars,Valid_Bars,FreeFloatMarketCap_EUR,FreeFloatMarketCap_Status,Usable20,Usable60,MedianTurnover20_EUR,MedianTurnover60_EUR,FX_Coverage20,FX_Coverage60,Liquidity_Data_Status,Liquidity_Last_Session,Liquidity_Gate,Liquidity_Bucket,Scalable_Gate,Strict_Eligibility,Blocking_Reasons,Instrument_Decision_v0_6,Instrument_Type_Resolved_v0_6,Instrument_Resolution_Method_v0_6,Instrument_Resolution_Reason_v0_6,Instrument_Evidence_URL_v0_6,Instrument_Evidence_Note_v0_6,Strict_Eligibility_v0_6,Instrument_Decision_v0_7,Instrument_Type_Resolved_v0_7,Instrument_Resolution_Method_v0_7,Instrument_Resolution_Reason_v0_7,Instrument_Evidence_URL_v0_7,Instrument_Evidence_Note_v0_7,Strict_Eligibility_v0_7,_ASX_CODE_NORM,ASX code,Company name,Security type,ISIN code,Instrument_Decision_v0_8,Instrument_Type_Resolved_v0_8,Instrument_Resolution_Method_v0_8,Instrument_Resolution_Reason_v0_8,Instrument_Evidence_URL_v0_8,Instrument_Evidence_Note_v0_8
WS:XASX:AGL,AGL Energy,Australia,AU_ASX200,XASX,AGL,AGL.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,508,508,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,15142934.53836069,11857805.127125321,20,60,OK,2026-08-21,PASS,STANDARD_15_TO_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,MIXED_SECURITY_STRUCTURES_REIT_STAPLED_POSSIBLE,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,"Official S&P page calls constituents index-eligible stocks, but official index announcements also identify REIT constituents. Group-level ordinary-share PASS is therefore not allowed.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,MIXED_SECURITY_STRUCTURES_REIT_STAPLED_POSSIBLE,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,"Official S&P page calls constituents index-eligible stocks, but official index announcements also identify REIT constituents. Group-level ordinary-share PASS is therefore not allowed.",NOT_VERIFIED,AGL,AGL,AGL ENERGY LIMITED.,ORDINARY FULLY PAID,AU000000AGL7,PASS,ORDINARY_SHARE_BY_ASX_SECURITY_TYPE,ASX_OFFICIAL_ISIN_DIRECTORY_SECURITY_TYPE,ASX_SECURITY_TYPE_ORDINARY_FULLY_PAID,https://www.asx.com.au/content/dam/asx/issuers/ISIN.xls,Official ASX ISIN directory; Security type column; frozen 63/63 target coverage from v0.7. Security type is read from the frozen v0.7 reference-match file; no new request is made.
WS:XASX:ALD,Ampol,Australia,AU_ASX200,XASX,ALD,ALD.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,508,508,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,23757143.39559655,22996286.15626962,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,MIXED_SECURITY_STRUCTURES_REIT_STAPLED_POSSIBLE,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,"Official S&P page calls constituents index-eligible stocks, but official index announcements also identify REIT constituents. Group-level ordinary-share PASS is therefore not allowed.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,MIXED_SECURITY_STRUCTURES_REIT_STAPLED_POSSIBLE,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,"Official S&P page calls constituents index-eligible stocks, but official index announcements also identify REIT constituents. Group-level ordinary-share PASS is therefore not allowed.",NOT_VERIFIED,ALD,ALD,AMPOL LIMITED,ORDINARY FULLY PAID,AU0000088338,PASS,ORDINARY_SHARE_BY_ASX_SECURITY_TYPE,ASX_OFFICIAL_ISIN_DIRECTORY_SECURITY_TYPE,ASX_SECURITY_TYPE_ORDINARY_FULLY_PAID,https://www.asx.com.au/content/dam/asx/issuers/ISIN.xls,Official ASX ISIN directory; Security type column; frozen 63/63 target coverage from v0.7. Security type is read from the frozen v0.7 reference-match file; no new request is made.
WS:XASX:ALL,Aristocrat Leisure,Australia,AU_ASX200,XASX,ALL,ALL.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,508,508,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,44501951.65134953,52107353.462070435,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,MIXED_SECURITY_STRUCTURES_REIT_STAPLED_POSSIBLE,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,"Official S&P page calls constituents index-eligible stocks, but official index announcements also identify REIT constituents. Group-level ordinary-share PASS is therefore not allowed.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,MIXED_SECURITY_STRUCTURES_REIT_STAPLED_POSSIBLE,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,"Official S&P page calls constituents index-eligible stocks, but official index announcements also identify REIT constituents. Group-level ordinary-share PASS is therefore not allowed.",NOT_VERIFIED,ALL,ALL,ARISTOCRAT LEISURE LIMITED,ORDINARY FULLY PAID,AU000000ALL7,PASS,ORDINARY_SHARE_BY_ASX_SECURITY_TYPE,ASX_OFFICIAL_ISIN_DIRECTORY_SECURITY_TYPE,ASX_SECURITY_TYPE_ORDINARY_FULLY_PAID,https://www.asx.com.au/content/dam/asx/issuers/ISIN.xls,Official ASX ISIN directory; Security type column; frozen 63/63 target coverage from v0.7. Security type is read from the frozen v0.7 reference-match file; no new request is made.
WS:XASX:ALQ,ALS,Australia,AU_ASX200,XASX,ALQ,ALQ.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,508,508,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,18730281.122865975,20325414.872351855,20,60,OK,2026-08-21,PASS,STANDARD_15_TO_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,MIXED_SECURITY_STRUCTURES_REIT_STAPLED_POSSIBLE,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,"Official S&P page calls constituents index-eligible stocks, but official index announcements also identify REIT constituents. Group-level ordinary-share PASS is therefore not allowed.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,MIXED_SECURITY_STRUCTURES_REIT_STAPLED_POSSIBLE,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,"Official S&P page calls constituents index-eligible stocks, but official index announcements also identify REIT constituents. Group-level ordinary-share PASS is therefore not allowed.",NOT_VERIFIED,ALQ,ALQ,ALS LIMITED,ORDINARY FULLY PAID,AU000000ALQ6,PASS,ORDINARY_SHARE_BY_ASX_SECURITY_TYPE,ASX_OFFICIAL_ISIN_DIRECTORY_SECURITY_TYPE,ASX_SECURITY_TYPE_ORDINARY_FULLY_PAID,https://www.asx.com.au/content/dam/asx/issuers/ISIN.xls,Official ASX ISIN directory; Security type column; frozen 63/63 target coverage from v0.7. Security type is read from the frozen v0.7 reference-match file; no new request is made.
WS:XASX:ANZ,Australia & New Zealand Banking Group,Australia,AU_ASX200,XASX,ANZ,ANZ.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,ISOLATED_INVALID_BAR_EXCLUDED,508,507,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,91056491.01292387,88875106.0224073,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,MIXED_SECURITY_STRUCTURES_REIT_STAPLED_POSSIBLE,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,"Official S&P page calls constituents index-eligible stocks, but official index announcements also identify REIT constituents. Group-level ordinary-share PASS is therefore not allowed.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,MIXED_SECURITY_STRUCTURES_REIT_STAPLED_POSSIBLE,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,"Official S&P page calls constituents index-eligible stocks, but official index announcements also identify REIT constituents. Group-level ordinary-share PASS is therefore not allowed.",NOT_VERIFIED,ANZ,ANZ,ANZ GROUP HOLDINGS LIMITED,ORDINARY FULLY PAID,AU000000ANZ3,PASS,ORDINARY_SHARE_BY_ASX_SECURITY_TYPE,ASX_OFFICIAL_ISIN_DIRECTORY_SECURITY_TYPE,ASX_SECURITY_TYPE_ORDINARY_FULLY_PAID,https://www.asx.com.au/content/dam/asx/issuers/ISIN.xls,Official ASX ISIN directory; Security type column; frozen 63/63 target coverage from v0.7. Security type is read from the frozen v0.7 reference-match file; no new request is made.
WS:XASX:ASX,ASX,Australia,AU_ASX200,XASX,ASX,ASX.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,508,508,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,24104127.467697755,26414056.163645424,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,MIXED_SECURITY_STRUCTURES_REIT_STAPLED_POSSIBLE,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,"Official S&P page calls constituents index-eligible stocks, but official index announcements also identify REIT constituents. Group-level ordinary-share PASS is therefore not allowed.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,MIXED_SECURITY_STRUCTURES_REIT_STAPLED_POSSIBLE,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,"Official S&P page calls constituents index-eligible stocks, but official index announcements also identify REIT constituents. Group-level ordinary-share PASS is therefore not allowed.",NOT_VERIFIED,ASX,ASX,ASX LIMITED,ORDINARY FULLY PAID,AU000000ASX7,PASS,ORDINARY_SHARE_BY_ASX_SECURITY_TYPE,ASX_OFFICIAL_ISIN_DIRECTORY_SECURITY_TYPE,ASX_SECURITY_TYPE_ORDINARY_FULLY_PAID,https://www.asx.com.au/content/dam/asx/issuers/ISIN.xls,Official ASX ISIN directory; Security type column; frozen 63/63 target coverage from v0.7. Security type is read from the frozen v0.7 reference-match file; no new request is made.
WS:XASX:AZJ,Aurizon,Australia,AU_ASX200,XASX,AZJ,AZJ.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,508,508,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,17249328.971567806,15121377.228867024,20,60,OK,2026-08-21,PASS,STANDARD_15_TO_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,MIXED_SECURITY_STRUCTURES_REIT_STAPLED_POSSIBLE,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,"Official S&P page calls constituents index-eligible stocks, but official index announcements also identify REIT constituents. Group-level ordinary-share PASS is therefore not allowed.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,MIXED_SECURITY_STRUCTURES_REIT_STAPLED_POSSIBLE,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,"Official S&P page calls constituents index-eligible stocks, but official index announcements also identify REIT constituents. Group-level ordinary-share PASS is therefore not allowed.",NOT_VERIFIED,AZJ,AZJ,AURIZON HOLDINGS LIMITED,ORDINARY FULLY PAID,AU000000AZJ1,PASS,ORDINARY_SHARE_BY_ASX_SECURITY_TYPE,ASX_OFFICIAL_ISIN_DIRECTORY_SECURITY_TYPE,ASX_SECURITY_TYPE_ORDINARY_FULLY_PAID,https://www.asx.com.au/content/dam/asx/issuers/ISIN.xls,Official ASX ISIN directory; Security type column; frozen 63/63 target coverage from v0.7. Security type is read from the frozen v0.7 reference-match file; no new request is made.
WS:XASX:BHP,BHP,Australia,AU_ASX200,XASX,BHP,BHP.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,,508,508,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,255388416.97694266,267389167.79465044,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,MIXED_SECURITY_STRUCTURES_REIT_STAPLED_POSSIBLE,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,"Official S&P page calls constituents index-eligible stocks, but official index announcements also identify REIT constituents. Group-level ordinary-share PASS is therefore not allowed.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,MIXED_SECURITY_STRUCTURES_REIT_STAPLED_POSSIBLE,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,"Official S&P page calls constituents index-eligible stocks, but official index announcements also identify REIT constituents. Group-level ordinary-share PASS is therefore not allowed.",NOT_VERIFIED,BHP,BHP,BHP GROUP LIMITED,ORDINARY FULLY PAID,AU000000BHP4,PASS,ORDINARY_SHARE_BY_ASX_SECURITY_TYPE,ASX_OFFICIAL_ISIN_DIRECTORY_SECURITY_TYPE,ASX_SECURITY_TYPE_ORDINARY_FULLY_PAID,https://www.asx.com.au/content/dam/asx/issuers/ISIN.xls,Official ASX ISIN directory; Security type column; frozen 63/63 target coverage from v0.7. Security type is read from the frozen v0.7 reference-match file; no new request is made.
WS:XASX:BSL,BlueScope,Australia,AU_ASX200,XASX,BSL,BSL.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,ISOLATED_INVALID_BAR_EXCLUDED,508,507,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,28185113.268952124,25794466.423659444,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,MIXED_SECURITY_STRUCTURES_REIT_STAPLED_POSSIBLE,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,"Official S&P page calls constituents index-eligible stocks, but official index announcements also identify REIT constituents. Group-level ordinary-share PASS is therefore not allowed.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,MIXED_SECURITY_STRUCTURES_REIT_STAPLED_POSSIBLE,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,"Official S&P page calls constituents index-eligible stocks, but official index announcements also identify REIT constituents. Group-level ordinary-share PASS is therefore not allowed.",NOT_VERIFIED,BSL,BSL,BLUESCOPE STEEL LIMITED,ORDINARY FULLY PAID,AU000000BSL0,PASS,ORDINARY_SHARE_BY_ASX_SECURITY_TYPE,ASX_OFFICIAL_ISIN_DIRECTORY_SECURITY_TYPE,ASX_SECURITY_TYPE_ORDINARY_FULLY_PAID,https://www.asx.com.au/content/dam/asx/issuers/ISIN.xls,Official ASX ISIN directory; Security type column; frozen 63/63 target coverage from v0.7. Security type is read from the frozen v0.7 reference-match file; no new request is made.
WS:XASX:BXB,Brambles,Australia,AU_ASX200,XASX,BXB,BXB.AX,AUD,AUD,1.0,UNVERIFIED_EQUITY_SECURITY,NOT_VERIFIED,INSTRUMENT_TYPE_NOT_STRICTLY_VERIFIED,NOT_VERIFIED,READY,ISOLATED_INVALID_BAR_EXCLUDED,508,507,,NOT_COLLECTED_BULK_RELIABLY_QA_ONLY,20,60,41218689.02623574,44820071.80399458,20,60,OK,2026-08-21,PASS,PREFERRED_GE_20M,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,INSTRUMENT_NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,MIXED_SECURITY_STRUCTURES_REIT_STAPLED_POSSIBLE,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,"Official S&P page calls constituents index-eligible stocks, but official index announcements also identify REIT constituents. Group-level ordinary-share PASS is therefore not allowed.",NOT_VERIFIED,NOT_VERIFIED,UNKNOWN,TARGETED_REVIEW_REQUIRED,MIXED_SECURITY_STRUCTURES_REIT_STAPLED_POSSIBLE,https://www.spglobal.com/spdji/en/indices/equity/sp-asx-200/,"Official S&P page calls constituents index-eligible stocks, but official index announcements also identify REIT constituents. Group-level ordinary-share PASS is therefore not allowed.",NOT_VERIFIED,BXB,BXB,BRAMBLES LIMITED,ORDINARY FULLY PAID,AU000000BXB1,PASS,ORDINARY_SHARE_BY_ASX_SECURITY_TYPE,ASX_OFFICIAL_ISIN_DIRECTORY_SECURITY_TYPE,ASX_SECURITY_TYPE_ORDINARY_FULLY_PAID,https://www.asx.com.au/content/dam/asx/issuers/ISIN.xls,Official ASX ISIN directory; Security type column; frozen 63/63 target coverage from v0.7. Security type is read from the frozen v0.7 reference-match file; no new request is made.
