Primary_Universe_Index,Source_Name,Label,URL
MX_IPC,BMV Empresas Listadas,Descargar Código de Mejores Prácticas Corporativas,https://www.bmv.com.mx/es/Grupo_BMV/Empresas_listadas/_rid/451/_mto/3/_act/download/doc/Codigo_de_Principios_y_Mejores_Practicas_en_Gobienro_Corporativo_CCE__11-02-25_.pdf
ZA_TOP40,JSE Reference Data Discovery,Listed Companies,https://clientportal.jse.co.za/companies-and-financial-instruments
ZA_TOP40,JSE Reference Data Discovery,Downloadable Files,https://clientportal.jse.co.za/reports/downloadable-files
ZA_TOP40,JSE Reference Data Discovery,116/2026,https://clientportal.jse.co.za/Content/JSEHotlinesItems/JSE Service Hotline 11626 Bond and IRD - Correction to Issuer Valuation Prices (Attachment).xlsx
ZA_TOP40,JSE Reference Data Discovery,104/2026,https://clientportal.jse.co.za/Content/JSEHotlinesItems/JSE Service Hotline 10426 Bond and IRD - NN513 Issuer Prices (Attachment).xlsx
ZA_TOP40,JSE Reference Data Discovery,079/2026,https://clientportal.jse.co.za/Content/JSEHotlinesItems/JSE Service Hotline 07926 EQM - Equity Market June 2026 Quarterly Review (Attachment).xlsx
ZA_TOP40,JSE Reference Data Discovery,066/2026 Attachment,https://clientportal.jse.co.za/Content/JSEHotlinesItems/JSE Service Hotline 06626 IRD and BONDS - NNF190 Issuer Prices - Attachment.xlsx
ZA_TOP40,JSE Reference Data Discovery,056/2026 Attachment,https://clientportal.jse.co.za/Content/JSEHotlinesItems/JSE Service Hotline 05626 All Markets - Client DR Checklist - Mandatory JSE Market Facing Test - 16 and 17 May 2026 - Attachment.xlsx
ZA_TOP40,JSE Reference Data Discovery,052/2026,"https://clientportal.jse.co.za/Content/JSEHotlinesItems/JSE Service Hotline 05226 Bond, IRD - Price Correction due to change in Valuation Methodology - Nedbank NN467 NN469 EOD Prices (Attachment).xlsx"
ZA_TOP40,JSE Reference Data Discovery,040/2026 Attachment,https://clientportal.jse.co.za/Content/JSEHotlinesItems/JSE Service Hotline 04026 BOND - JIBAR to ZARONIA Issuer Template Instruction Listed Bonds - Attachment.xlsx
ZA_TOP40,JSE Reference Data Discovery,032/2026,https://clientportal.jse.co.za/Content/JSEHotlinesItems/JSE Service Hotline 03226 Bond and IRD - Correct Prices for 10 March 2026 MTM Prices (Attachment).xlsx
ZA_TOP40,JSE Reference Data Discovery,027/2026 Attachment,https://clientportal.jse.co.za/Content/JSEHotlinesItems/JSE Service Hotline 02726 EQM - Equity Market Quarterly Review - March 2026 - Attachment.xlsx
ZA_TOP40,JSE Reference Data Discovery,022/2026,https://clientportal.jse.co.za/Content/JSEHotlinesItems/JSE Service Hotline 02226 BONDS - JIBAR to ZARONIA Linked Instruments Conversion and Bond Reference and Corporate Actions Data Products Enhancement - Effective 11 May 2026.pdf
ZA_TOP40,JSE Reference Data Discovery,014/2026 Attachment,https://clientportal.jse.co.za/Content/JSEHotlinesItems/JSE Service Hotline 01426 MARKET DATA - Bonds - BTNC11 and H141T4 Pricing - Attachment.xlsx
ZA_TOP40,JSE Reference Data Discovery,008/2026 Attachment,https://clientportal.jse.co.za/Content/JSEHotlinesItems/JSE Service Hotline 00826 - Copy of JIBAR Curve vs Zaronia Curve Layout Comparison - Attachment.xlsx
ZA_TOP40,JSE Reference Data Discovery,003/2026 Attachment,https://clientportal.jse.co.za/Content/JSEHotlinesItems/JSE Service Hotline 00326 Bonds and IRD - Nedbank Issuer Valuated Pricing NNF173 - Attachment.xlsx
ZA_TOP40,JSE Reference Data Discovery,146/2025,https://clientportal.jse.co.za/Content/JSEHotlinesItems/JSE Service Hotline 14625 Bond - BTNC10 and H141T3 Price Corrections (Attachment).xlsx
ZA_TOP40,JSE Reference Data Discovery,143/2025,https://clientportal.jse.co.za/Content/JSEHotlinesItems/JSE Srevice Hotline EQM - Equity Market Quarterly Review December 2025 (Attachment).xlsx
ZA_TOP40,JSE Reference Data Discovery,121/2025,"https://clientportal.jse.co.za/Content/JSEHotlinesItems/JSE Service Hotline 12125 Bond, IRD - Nedbank Issuer Valuation Pricing 13 October 2025 (Attachment).xlsx"
ZA_TOP40,JSE Reference Data Discovery,120/2025,"https://clientportal.jse.co.za/Content/JSEHotlinesItems/JSE Service Hotline 12025 Bond, IRD - SBC137, SBC138 SBC139 Valuation Files (Attachment).xlsx"
ZA_TOP40,JSE Reference Data Discovery,107/2025 Attachment,https://clientportal.jse.co.za/Content/JSEHotlinesItems/JSE Service Hotline 10725 All Markets - Mandatory JSE Market Facing Disaster Recovery and Business Continuity Test – 18 and 19 October 2025 DR Checklist - Attachment.xlsx
