WS_ID,Name,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,HKEX_Stock Code,HKEX_Name of Securities,HKEX_Category,HKEX_Sub-Category,HKEX_Board Lot,HKEX_ISIN,HKEX_Expiry Date,HKEX_Subject to Stamp Duty,HKEX_Shortsell Eligible,HKEX_CAS Eligible,HKEX_VCM Eligible,HKEX_Admitted to CCASS,HKEX_Debt Securities Board Lot (Nominal),HKEX_Debt Securities Investor Type,HKEX_POS Eligible,"HKEX_Spread Table
1 = Part A
3 = Part B
5 = Part D
4 & 6 = Part E",HKEX_Trading Currency,HKEX_RMB Counter,HKEX_Match_Key,HKEX_Match_Status
WS:XHKG:1,CKH HOLDINGS,HK_HSI,XHKG,1,0001.HK,00001,CKH HOLDINGS,Equity,Equity Securities (Main Board),500,KYG217651051,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00001,MATCHED
WS:XHKG:1024,KUAISHOU - W,HK_HSI,XHKG,1024,1024.HK,01024,KUAISHOU-W,Equity,Equity Securities (Main Board),100,KYG532631028,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,81024,01024,MATCHED
WS:XHKG:1088,CHINA SHENHUA,HK_HSI,XHKG,1088,1088.HK,01088,CHINA SHENHUA,Equity,Equity Securities (Main Board),500,CNE1000002R0,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,01088,MATCHED
WS:XHKG:1093,CSPC PHARMA,HK_HSI,XHKG,1093,1093.HK,01093,CSPC PHARMA,Equity,Equity Securities (Main Board),"2,000",HK1093012172,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,01093,MATCHED
WS:XHKG:1109,CHINA RES LAND,HK_HSI,XHKG,1109,1109.HK,01109,CHINA RES LAND,Equity,Equity Securities (Main Board),500,KYG2108Y1052,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,01109,MATCHED
WS:XHKG:1113,CK ASSET,HK_HSI,XHKG,1113,1113.HK,01113,CK ASSET,Equity,Equity Securities (Main Board),500,KYG2177B1014,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,01113,MATCHED
WS:XHKG:1177,SBP GROUP,HK_HSI,XHKG,1177,1177.HK,01177,SBP GROUP,Equity,Equity Securities (Main Board),"1,000",KYG8167W1380,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,01177,MATCHED
WS:XHKG:12,HENDERSON LAND,HK_HSI,XHKG,12,0012.HK,00012,HENDERSON LAND,Equity,Equity Securities (Main Board),"1,000",HK0012000102,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00012,MATCHED
WS:XHKG:1209,CHINA RES MIXC,HK_HSI,XHKG,1209,1209.HK,01209,CHINA RES MIXC,Equity,Equity Securities (Main Board),200,KYG2122G1064,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,01209,MATCHED
WS:XHKG:1211,BYD COMPANY,HK_HSI,XHKG,1211,1211.HK,01211,BYD COMPANY,Equity,Equity Securities (Main Board),100,CNE100000296,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,81211,01211,MATCHED
WS:XHKG:1299,AIA,HK_HSI,XHKG,1299,1299.HK,01299,AIA,Equity,Equity Securities (Main Board),200,HK0000069689,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,81299,01299,MATCHED
WS:XHKG:1378,CHINAHONGQIAO,HK_HSI,XHKG,1378,1378.HK,01378,CHINAHONGQIAO,Equity,Equity Securities (Main Board),500,KYG211501005,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,01378,MATCHED
WS:XHKG:1398,ICBC,HK_HSI,XHKG,1398,1398.HK,01398,ICBC,Equity,Equity Securities (Main Board),"1,000",CNE1000003G1,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,01398,MATCHED
WS:XHKG:1519,J&T EXPRESS - W,HK_HSI,XHKG,1519,1519.HK,01519,J&T EXPRESS-W,Equity,Equity Securities (Main Board),200,KYG4990A1040,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,01519,MATCHED
WS:XHKG:16,SHK PPT,HK_HSI,XHKG,16,0016.HK,00016,SHK PPT,Equity,Equity Securities (Main Board),500,HK0016000132,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,80016,00016,MATCHED
WS:XHKG:175,GEELY AUTO,HK_HSI,XHKG,175,0175.HK,00175,GEELY AUTO,Equity,Equity Securities (Main Board),"1,000",KYG3777B1032,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,80175,00175,MATCHED
WS:XHKG:1801,INNOVENT BIO,HK_HSI,XHKG,1801,1801.HK,01801,INNOVENT BIO,Equity,Equity Securities (Main Board),500,KYG4818G1010,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,01801,MATCHED
WS:XHKG:1810,XIAOMI - W,HK_HSI,XHKG,1810,1810.HK,01810,XIAOMI-W,Equity,Equity Securities (Main Board),200,KYG9830T1067,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,81810,01810,MATCHED
WS:XHKG:1928,SANDS CHINA LTD,HK_HSI,XHKG,1928,1928.HK,01928,SANDS CHINA LTD,Equity,Equity Securities (Main Board),400,KYG7800X1079,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,01928,MATCHED
WS:XHKG:1929,CHOW TAI FOOK,HK_HSI,XHKG,1929,1929.HK,01929,CHOW TAI FOOK,Equity,Equity Securities (Main Board),200,KYG211461085,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,01929,MATCHED
WS:XHKG:2,CLP HOLDINGS,HK_HSI,XHKG,2,0002.HK,00002,CLP HOLDINGS,Equity,Equity Securities (Main Board),500,HK0002007356,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00002,MATCHED
WS:XHKG:2015,LI AUTO - W,HK_HSI,XHKG,2015,2015.HK,02015,LI AUTO-W,Equity,Equity Securities (Main Board),100,KYG5479M1050,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,02015,MATCHED
WS:XHKG:2020,ANTA SPORTS,HK_HSI,XHKG,2020,2020.HK,02020,ANTA SPORTS,Equity,Equity Securities (Main Board),200,KYG040111059,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,82020,02020,MATCHED
WS:XHKG:2057,ZTO EXPRESS - W,HK_HSI,XHKG,2057,2057.HK,02057,ZTO EXPRESS-W,Equity,Equity Securities (Main Board),50,KYG9897K1058,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,02057,MATCHED
WS:XHKG:2269,WUXI BIO,HK_HSI,XHKG,2269,2269.HK,02269,WUXI BIO,Equity,Equity Securities (Main Board),500,KYG970081173,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,02269,MATCHED
WS:XHKG:2313,SHENZHOU INTL,HK_HSI,XHKG,2313,2313.HK,02313,SHENZHOU INTL,Equity,Equity Securities (Main Board),100,KYG8087W1015,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,02313,MATCHED
WS:XHKG:2318,PING AN,HK_HSI,XHKG,2318,2318.HK,02318,PING AN,Equity,Equity Securities (Main Board),500,CNE1000003X6,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,82318,02318,MATCHED
WS:XHKG:2319,MENGNIU DAIRY,HK_HSI,XHKG,2319,2319.HK,02319,MENGNIU DAIRY,Equity,Equity Securities (Main Board),"1,000",KYG210961051,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,02319,MATCHED
WS:XHKG:2331,LI NING,HK_HSI,XHKG,2331,2331.HK,02331,LI NING,Equity,Equity Securities (Main Board),500,KYG5496K1242,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,82331,02331,MATCHED
WS:XHKG:2359,WUXI APPTEC,HK_HSI,XHKG,2359,2359.HK,02359,WUXI APPTEC,Equity,Equity Securities (Main Board),100,CNE100003F19,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,02359,MATCHED
WS:XHKG:2382,SUNNY OPTICAL,HK_HSI,XHKG,2382,2382.HK,02382,SUNNY OPTICAL,Equity,Equity Securities (Main Board),100,KYG8586D1097,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,02382,MATCHED
WS:XHKG:2388,BOC HONG KONG,HK_HSI,XHKG,2388,2388.HK,02388,BOC HONG KONG,Equity,Equity Securities (Main Board),500,HK2388011192,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,82388,02388,MATCHED
WS:XHKG:241,ALI HEALTH,HK_HSI,XHKG,241,0241.HK,00241,ALI HEALTH,Equity,Equity Securities (Main Board),"2,000",BMG0171K1018,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00241,MATCHED
WS:XHKG:2600,CHALCO,HK_HSI,XHKG,2600,2600.HK,02600,CHALCO,Equity,Equity Securities (Main Board),"2,000",CNE1000001T8,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,02600,MATCHED
WS:XHKG:2618,JD LOGISTICS,HK_HSI,XHKG,2618,2618.HK,02618,JD LOGISTICS,Equity,Equity Securities (Main Board),100,KYG5074S1012,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,02618,MATCHED
WS:XHKG:2628,CHINA LIFE,HK_HSI,XHKG,2628,2628.HK,02628,CHINA LIFE,Equity,Equity Securities (Main Board),"1,000",CNE1000002L3,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,02628,MATCHED
WS:XHKG:267,CITIC,HK_HSI,XHKG,267,0267.HK,00267,CITIC,Equity,Equity Securities (Main Board),"1,000",HK0267001375,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00267,MATCHED
WS:XHKG:2688,ENN ENERGY,HK_HSI,XHKG,2688,2688.HK,02688,ENN ENERGY,Equity,Equity Securities (Main Board),100,KYG3066L1014,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,02688,MATCHED
WS:XHKG:27,GALAXY ENT,HK_HSI,XHKG,27,0027.HK,00027,GALAXY ENT,Equity,Equity Securities (Main Board),"1,000",HK0027032686,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00027,MATCHED
WS:XHKG:285,BYD ELECTRONIC,HK_HSI,XHKG,285,0285.HK,00285,BYD ELECTRONIC,Equity,Equity Securities (Main Board),500,HK0285041858,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00285,MATCHED
WS:XHKG:288,WH GROUP,HK_HSI,XHKG,288,0288.HK,00288,WH GROUP,Equity,Equity Securities (Main Board),500,KYG960071028,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00288,MATCHED
WS:XHKG:2899,ZIJIN MINING,HK_HSI,XHKG,2899,2899.HK,02899,ZIJIN MINING,Equity,Equity Securities (Main Board),"2,000",CNE100000502,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,02899,MATCHED
WS:XHKG:291,CHINA RES BEER,HK_HSI,XHKG,291,0291.HK,00291,CHINA RES BEER,Equity,Equity Securities (Main Board),500,HK0291001490,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,80291,00291,MATCHED
WS:XHKG:3,HK & CHINA GAS,HK_HSI,XHKG,3,0003.HK,00003,HK & CHINA GAS,Equity,Equity Securities (Main Board),"1,000",HK0003000038,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00003,MATCHED
WS:XHKG:300,MIDEA GROUP,HK_HSI,XHKG,300,0300.HK,00300,MIDEA GROUP,Equity,Equity Securities (Main Board),100,CNE100006M58,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00300,MATCHED
WS:XHKG:316,OOIL,HK_HSI,XHKG,316,0316.HK,00316,OOIL,Equity,Equity Securities (Main Board),500,BMG677491539,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00316,MATCHED
WS:XHKG:322,TINGYI,HK_HSI,XHKG,322,0322.HK,00322,TINGYI,Equity,Equity Securities (Main Board),"2,000",KYG8878S1030,,Y,Y,Y,Y,Y,,,Y,1 ,HKD,,00322,MATCHED
