WS_ID,Yahoo_Symbol,Mapping_Status,Instrument_Type_Before,Instrument_Type_After,Verified_Share_Class,Share_Class_After,Class_Bucket,Action,Universe_Write_Fields
WS:XAMS:ABND.AS,ABN.AS,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,UNKNOWN,ordinary share represented by depositary receipts,ordinary share represented by depositary receipts,REVIEW,HOLD_REVIEW,Share_Class
WS:XAMS:AEGN.AS,AGN.AS,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XAMS:AKZO.AS,AKZA.AS,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XAMS:ARDS.AS,ARCAD.AS,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XAMS:ASMI.AS,ASM.AS,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XAMS:BAMN.AS,BAMNB.AS,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XAMS:EXOR.AS,EXO.AS,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XAMS:MICCT.AS,MICC.AS,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XAMS:PHG.AS,PHIA.AS,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XAMS:SHEL.AS,SHELL.AS,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XAMS:VOPA.AS,VPK.AS,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XBRU:AGES.BR,AGS.BR,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XBRU:AOO.BR,AED.BR,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XBRU:IETB.BR,DIE.BR,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XBRU:WDPP.BR,WDP.BR,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XCSE:ALKB.CO,ALK-B.CO,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,B shares,B shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XCSE:CARLB.CO,CARL-B.CO,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,B shares,B shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XCSE:COLOB.CO,COLO-B.CO,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,B shares,B shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XCSE:MAERSKB.CO,MAERSK-B.CO,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,B shares,B shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XCSE:NOVOB.CO,NOVO-B.CO,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,B shares,B shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XCSE:NSISB.CO,NSIS-B.CO,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,B shares,B shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XCSE:ROCKB.CO,ROCK-B.CO,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,B shares,B shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XCSE:ZELA.CO,ZEAL.CO,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XDUB:AIBG.I,A5G.IR,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XDUB:KSP.I,KRX.IR,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XDUB:KYGA.I,KRZ.IR,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:ADSGN.DE,ADS.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary bearer shares,ordinary bearer shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:AG1G.DE,AG1.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,bearer shares with no par value,bearer shares with no par value,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:AIXGN.DE,AIXA.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,no-par-value registered ordinary shares,no-par-value registered ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:ALVG.DE,ALV.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,UNKNOWN,registered shares with restricted transferability,registered shares with restricted transferability,REVIEW,HOLD_REVIEW,Share_Class
WS:XETR:AMV0N.DE,AMV0.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,registered no-par-value ordinary shares,registered no-par-value ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:BASFN.DE,BAS.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,UNKNOWN,registered shares with no par value,registered shares with no par value,REVIEW,HOLD_REVIEW,Share_Class
WS:XETR:BAYGN.DE,BAYN.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,UNKNOWN,registered no-par-value shares,registered no-par-value shares,REVIEW,HOLD_REVIEW,Share_Class
WS:XETR:BC8G.DE,BC8.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary no-par shares,ordinary no-par shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:BEIG.DE,BEI.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary no-par shares,ordinary no-par shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:BMWG.DE,BMW.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,stimmberechtigte Inhaber-Stammaktie,stimmberechtigte Inhaber-Stammaktie,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:BNRGN.DE,BNR.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:CBKG.DE,CBK.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:CONG.DE,CON.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary no-par shares,ordinary no-par shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:DB1GN.DE,DB1.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,Registered shares without par value (ordinary equity),Registered shares without par value (ordinary equity),ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:DBKGN.DE,DBK.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:DHLN.DE,DHL.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:DTEGN.DE,DTE.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:DTGGE.DE,DTG.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:ENR1N.DE,ENR.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:EONGN.DE,EOAN.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:EVDG.DE,EVD.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares (KGaA),ordinary shares (KGaA),ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:EVKN.DE,EVK.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:FMEG.DE,FME.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:FNTGN.DE,FNTN.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:FPE3_P.DE,FPE3.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,PREFERRED_SHARE,preference shares / Vorzugsaktien,preference shares / Vorzugsaktien,PREFERRED_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:FRAG.DE,FRA.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:FREG.DE,FRE.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary registered shares / Namensaktien,ordinary registered shares / Namensaktien,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:FTKN.DE,FTK.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:G1AG.DE,G1A.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
WS:XETR:G24N.DE,G24.DE,EVIDENCE_CANDIDATE_APPLIED,UNKNOWN,ORDINARY_SHARE,ordinary shares,ordinary shares,ORDINARY_SHARE,APPLY,"Instrument_Type,Share_Class"
