WS_ID,Yahoo_Symbol,Mapping_Status,Instrument_Type_Before,Instrument_Type_After,Verified_Share_Class,Share_Class_After,Class_Bucket,Action,Universe_Write_Fields
WS:ISIN:INE002A01018,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE009A01021,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE018A01030,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE019A01038,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE021A01026,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE027H01010,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE030A01027,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE038A01020,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE040A01034,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE044A01036,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE047A01021,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE059A01026,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE062A01020,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE066A01021,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE075A01022,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE081A01020,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE089A01031,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE090A01021,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE101A01026,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE123W01016,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE154A01025,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE155A01022,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE192A01025,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE213A01029,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE237A01036,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE238A01034,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE239A01024,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE263A01024,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE280A01028,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE296A01032,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE397D01024,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE423A01024,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE437A01024,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE467B01029,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE481G01011,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE522F01014,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE585B01010,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE646L01027,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE669C01036,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE721A01047,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE733E01010,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE742F01042,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE752E01010,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE758E01017,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE758T01015,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE795G01014,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE849A01020,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE860A01027,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE917I01010,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:INE918I01026,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:KYG022421088,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:KYG114741062,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:KYG989221000,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0001216000,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0001303006,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002059003,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002301009,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002303005,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002308004,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002317005,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002327004,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002330008,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002344009,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002345006,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002357001,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002360005,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002368008,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002382009,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002383007,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002395001,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002408002,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002412004,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002449006,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002454006,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002603008,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002880002,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002881000,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002882008,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002883006,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002884004,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002885001,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002886009,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002887007,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002890001,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002891009,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
WS:ISIN:TW0002892007,,UNMAPPED,COMMON_STOCK,COMMON_STOCK,,,MISSING_EVIDENCE,NO_EVIDENCE,NO
