WS_ID,Yahoo_Symbol,Name,Primary_MIC,Primary_Currency,Scale,Usable20,MedianTurnover20_EUR,Liquidity_Class,Liquidity_Status,FX_Status,Last_Session
WS:XAMS:ABND.AS,ABN.AS,ABN AMRO BANK,XAMS,EUR,1.0,20,65638802.28,PREFERRED,OK,IDENTITY,2026-09-03
WS:XAMS:AEGN.AS,AGN.AS,AEGON,XAMS,EUR,1.0,20,29923948.6,PREFERRED,OK,IDENTITY,2026-09-03
WS:XAMS:AKZO.AS,AKZA.AS,AKZO NOBEL,XAMS,EUR,1.0,20,21521880.01,PREFERRED,OK,IDENTITY,2026-09-03
WS:XAMS:ARDS.AS,ARCAD.AS,ARCADIS,XAMS,EUR,1.0,20,6354351.91,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XAMS:ASMI.AS,ASM.AS,ASM INTERNATIONAL,XAMS,EUR,1.0,20,102295655.66,PREFERRED,OK,IDENTITY,2026-09-03
WS:XAMS:BAMN.AS,BAMNB.AS,BAM GROEP KON.,XAMS,EUR,1.0,20,7033706.25,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XAMS:EXOR.AS,EXO.AS,EXOR NV,XAMS,EUR,1.0,20,9021921.12,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XAMS:PHG.AS,PHIA.AS,PHILIPS,XAMS,EUR,1.0,20,31494127.58,PREFERRED,OK,IDENTITY,2026-09-03
WS:XAMS:SHEL.AS,SHELL.AS,SHELL,XAMS,EUR,1.0,20,153459841.39,PREFERRED,OK,IDENTITY,2026-09-03
WS:XAMS:VOPA.AS,VPK.AS,VOPAK,XAMS,EUR,1.0,20,4017976.04,FAIL_LIQ,OK,IDENTITY,2026-09-03
WS:XBRU:AGES.BR,AGS.BR,AGEAS,XBRU,EUR,1.0,20,15893045.04,STANDARD,OK,IDENTITY,2026-09-03
WS:XBRU:AOO.BR,AED.BR,AEDIFICA,XBRU,EUR,1.0,20,6502727.6,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
WS:XBRU:IETB.BR,DIE.BR,D'IETEREN GROUP,XBRU,EUR,1.0,20,5383990.19,LOW_EXCEPTION,OK,IDENTITY,2026-09-03
