WS_ID,Name,Primary_Ticker,Old_Yahoo_Symbol,New_Yahoo_Symbol,Old_Mapping_Status,New_Mapping_Status
WS:XAMS:ABND.AS,ABN AMRO BANK,ABNd.AS,,ABN.AS,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XAMS:AEGN.AS,AEGON,AEGN.AS,,AGN.AS,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XAMS:AKZO.AS,AKZO NOBEL,AKZO.AS,,AKZA.AS,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XAMS:ARDS.AS,ARCADIS,ARDS.AS,,ARCAD.AS,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XAMS:ASMI.AS,ASM INTERNATIONAL,ASMI.AS,,ASM.AS,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XAMS:BAMN.AS,BAM GROEP KON.,BAMN.AS,,BAMNB.AS,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XAMS:EXOR.AS,EXOR NV,EXOR.AS,,EXO.AS,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XAMS:MICCT.AS,THE MAGNUM ICE CREAM COMPANY,MICCT.AS,,MICC.AS,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XAMS:PHG.AS,PHILIPS,PHG.AS,,PHIA.AS,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XAMS:SHEL.AS,SHELL,SHEL.AS,,SHELL.AS,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XAMS:VOPA.AS,VOPAK,VOPA.AS,,VPK.AS,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XBRU:AGES.BR,AGEAS,AGES.BR,,AGS.BR,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XBRU:AOO.BR,AEDIFICA,AOO.BR,,AED.BR,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XBRU:IETB.BR,D'IETEREN GROUP,IETB.BR,,DIE.BR,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
WS:XBRU:WDPP.BR,WDP,WDPP.BR,,WDP.BR,UNMAPPED,EVIDENCE_CANDIDATE_APPLIED
