WS_ID,Name,ISIN,Primary_MIC,Primary_Exchange,Primary_Ticker,Primary_Currency,Primary_Universe_Index,v0_39_Static_Symbol_Relation,v0_39_Diagnostic_Classification,Current_Yahoo_Symbol,Static_Candidate_Yahoo_Symbol,Proposed_Yahoo_Symbol,Provider_Listing_Type,Primary_Listing_Status,Provider_Symbol_Status,Corporate_Action_Status,Evidence_Status,Evidence_Confidence,Evidence_Primary_URL,Evidence_Provider_URL,Evidence_Secondary_URL,Evidence_Note,Evidence_AsOf_UTC,Decision,Needs_Price_Verification,Verified_Primary_Ticker,Verified_Share_Class,Research_Status
WS:XAMS:ABND.AS,,,XAMS,,ABNd.AS,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,ABNd.AS,ABND.AS,ABN.AS,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://live.euronext.com/el/product/equities/NL0011540547-XAMS/company-information,https://finance.yahoo.com/quote/ABN.AS/,https://www.abnamro.com/en/investor-relations/shareholders,"Euronext confirms ABN AMRO BANK N.V., ISIN NL0011540547 and XAMS listing. Official ABN AMRO IR confirms depositary receipts on Euronext Amsterdam and Reuters ticker ABNd.AS. Yahoo Finance confirms ABN.AS for the same ABN AMRO instrument. Primary ticker differs from source/provider RIC-style spelling; identity, share class and currency align; no collision or corporate action identified.",2026-09-02T19:20:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,ABN,ordinary share represented by depositary receipts,RESEARCHED
WS:XCSE:CARLB.CO,,,XCSE,,CARLb.CO,DKK,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,CARLb.CO,CARLB.CO,CARL-B.CO,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://www.carlsberggroup.com/investor-relations/shares/,https://finance.yahoo.com/quote/CARL-B.CO/,https://www.carlsberggroup.com/investor-relations/investor-home/faq/,"Carlsberg IR states Carlsberg A/S is listed on NASDAQ Copenhagen and identifies the B share series; its FAQ distinguishes A and B classes. Yahoo has a concrete CARL-B.CO quote page. The B share, Copenhagen primary listing, DKK currency and provider instrument correspond; no unresolved corporate action or collision. Source RIC-style CARLb.CO is retained in frozen fields; no mapping apply.",2026-09-02T20:10:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,CARL B,B shares,RESEARCHED
WS:XCSE:COLOB.CO,,,XCSE,,COLOb.CO,DKK,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,COLOb.CO,COLOB.CO,COLO-B.CO,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://www.coloplast.com/investor-relations/investor-tools/share-information/,https://finance.yahoo.com/quote/COLO-B.CO/,https://www.nasdaq.com/european-market-activity/shares/colo-b?id=TX2198,"Coloplast IR share information identifies the Copenhagen B share; Nasdaq identifies Coloplast B (COLO B), ISIN DK0060448595. Yahoo has a concrete COLO-B.CO quote page. Primary listing, B share class, DKK currency and provider instrument correspond; no unresolved corporate action or collision. Source RIC-style COLOb.CO is retained in frozen fields; no mapping apply.",2026-09-02T20:10:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,COLO B,B shares,RESEARCHED
WS:XCSE:MAERSKB.CO,,,XCSE,,MAERSKb.CO,DKK,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MAERSKb.CO,MAERSKB.CO,MAERSK-B.CO,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://investor.maersk.com/stock/stock-quote-and-chart,https://uk.finance.yahoo.com/quote/MAERSK-B.CO/,https://www.nasdaq.com/european-market-activity/shares/maersk-b?id=TX2196,"A.P. Moller - Maersk IR states both A and B classes trade on Nasdaq Copenhagen; Nasdaq identifies MAERSK B, ISIN DK0010244508. Yahoo has a concrete MAERSK-B.CO quote page. Primary listing, B share class, DKK currency and provider instrument correspond; no unresolved corporate action or collision. Source RIC-style MAERSKb.CO is retained in frozen fields; no mapping apply.",2026-09-02T20:10:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,MAERSK B,B shares,RESEARCHED
WS:XCSE:NOVOB.CO,,,XCSE,,NOVOb.CO,DKK,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,NOVOb.CO,NOVOB.CO,NOVO-B.CO,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://www.novonordisk.com/investors/stock-information.html,https://finance.yahoo.com/quote/NOVO-B.CO/,https://www.nasdaq.com/european-market-activity/shares/novo-b?id=TX2178,"Novo Nordisk IR states B shares are listed on Nasdaq Copenhagen; Nasdaq identifies Novo Nordisk B, ISIN DK0062498333. Yahoo has a concrete NOVO-B.CO quote page. Primary listing, B share class, DKK currency and provider instrument correspond; no unresolved corporate action or collision. Source RIC-style NOVOb.CO is retained in frozen fields; no mapping apply.",2026-09-02T20:10:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,NOVO B,B shares,RESEARCHED
WS:XCSE:NSISB.CO,,,XCSE,,NSISb.CO,DKK,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,NSISb.CO,NSISB.CO,NSIS-B.CO,PRIMARY,VERIFIED,VERIFIED,RENAME_MERGER_REVIEWED,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://www.novonesis.com/en/investors/stock-information,https://uk.finance.yahoo.com/quote/NSIS-B.CO/,https://www.nasdaq.com/european-market-activity/shares/nsis-b?id=TX2376,"Novonesis IR identifies the current stock ticker NSIS B on Copenhagen; Nasdaq identifies Novonesis (Novozymes) B, ISIN DK0060336014. Yahoo has a concrete NSIS-B.CO quote page. The 2024 Novozymes/Chr. Hansen merger/name transition is reviewed; ticker, B share class, DKK currency and primary listing remain identifiable, with no unresolved collision. Source RIC-style NSISb.CO is retained in frozen fields; no mapping apply.",2026-09-02T20:10:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,NSIS B,B shares,RESEARCHED
WS:XCSE:ROCKB.CO,,,XCSE,,ROCKb.CO,DKK,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,ROCKb.CO,ROCKB.CO,ROCK-B.CO,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://www.rockwool.com/group/about-us/investors/,https://finance.yahoo.com/quote/ROCK-B.CO/,https://www.nasdaq.com/european-market-activity/shares/rock-b?id=TX2348,"ROCKWOOL IR states the company has A and B share classes and was introduced on Nasdaq Copenhagen; Nasdaq identifies Rockwool B, ISIN DK0063855168. Yahoo has a concrete ROCK-B.CO quote page. Primary listing, B share class, DKK currency and provider instrument correspond; no unresolved corporate action or collision. Source RIC-style ROCKb.CO is retained in frozen fields; no mapping apply.",2026-09-02T20:10:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,ROCK B,B shares,RESEARCHED
WS:XDUB:AIBG.I,,,XDUB,,AIBG.I,EUR,,SUFFIX_CHANGED,SUFFIX_MAPPING_SUSPECT,AIBG.I,AIBG.IR,A5G.IR,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://live.euronext.com/en/product/equities/IE00BF0L3536-XMSM/company-information,https://uk.finance.yahoo.com/quote/A5G.IR/,https://www.aib.ie/investorrelations/shareholder-information/annual-general-meeting,"Euronext Dublin identifies AIB Group plc common stock, ISIN IE00BF0L3536; AIB IR confirms the same ISIN for ordinary shares. Yahoo has a concrete A5G.IR quote page identifying AIB Group plc. Yahoo uses a provider alias different from the frozen RIC-style AIBG.I, but the issuer, ISIN, Dublin primary instrument and EUR ordinary share identity match. No unresolved corporate action or collision; no mapping apply.",2026-09-02T20:25:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,AIBG,ordinary shares,RESEARCHED
WS:XDUB:KSP.I,,,XDUB,,KSP.I,EUR,,SUFFIX_CHANGED,SUFFIX_MAPPING_SUSPECT,KSP.I,KSP.IR,KRX.IR,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://live.euronext.com/en/product/equities/IE0004927939-XDUB,https://uk.finance.yahoo.com/quote/KRX.IR/,https://www.kingspangroup.com/en/investors/share-price/,"Euronext Dublin identifies Kingspan Group plc common stock, ISIN IE0004927939; Kingspan IR provides the issuer share-price page. Yahoo has a concrete KRX.IR quote page identifying Kingspan Group plc. Yahoo uses a provider alias different from the frozen RIC-style KSP.I, but issuer, ISIN, Dublin primary instrument and EUR ordinary share identity match. No unresolved corporate action or collision; no mapping apply.",2026-09-02T20:25:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,KSP,ordinary shares,RESEARCHED
WS:XDUB:KYGA.I,,,XDUB,,KYGa.I,EUR,,SUFFIX_CHANGED,SUFFIX_MAPPING_SUSPECT,KYGa.I,KYGA.IR,KRZ.IR,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://live.euronext.com/en/product/equities/IE0004906560-XMSM,https://uk.finance.yahoo.com/quote/KRZ.IR/,https://www.kerry.com/investors/faq,"Euronext Dublin identifies Kerry Group plc, ISIN IE0004906560; Kerry IR states the Dublin ticker KYGa.I and distinguishes it from the London listing KYGa.L. Yahoo has a concrete KRZ.IR quote page identifying Kerry Group plc. Yahoo uses a provider alias different from the frozen RIC-style KYGa.I, but issuer, ISIN, Dublin primary instrument and EUR ordinary share identity match; London/secondary listing was explicitly excluded. No unresolved corporate action or collision; no mapping apply.",2026-09-02T20:25:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,KYGA,ordinary shares,RESEARCHED
