WS_ID,Name,ISIN,Primary_MIC,Primary_Exchange,Primary_Ticker,Primary_Currency,Primary_Universe_Index,v0_39_Static_Symbol_Relation,v0_39_Diagnostic_Classification,Current_Yahoo_Symbol,Static_Candidate_Yahoo_Symbol,Proposed_Yahoo_Symbol,Provider_Listing_Type,Primary_Listing_Status,Provider_Symbol_Status,Corporate_Action_Status,Evidence_Status,Evidence_Confidence,Evidence_Primary_URL,Evidence_Provider_URL,Evidence_Secondary_URL,Evidence_Note,Evidence_AsOf_UTC,Decision,Needs_Price_Verification,Verified_Primary_Ticker,Verified_Share_Class,Research_Status
WS:XAMS:ABND.AS,,,XAMS,,ABNd.AS,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,ABNd.AS,ABND.AS,ABN.AS,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://live.euronext.com/el/product/equities/NL0011540547-XAMS/company-information,https://finance.yahoo.com/quote/ABN.AS/,https://www.abnamro.com/en/investor-relations/shareholders,"Euronext confirms ABN AMRO BANK N.V., ISIN NL0011540547 and XAMS listing. Official ABN AMRO IR confirms depositary receipts on Euronext Amsterdam and Reuters ticker ABNd.AS. Yahoo Finance confirms ABN.AS for the same ABN AMRO instrument. Primary ticker differs from source/provider RIC-style spelling; identity, share class and currency align; no collision or corporate action identified.",2026-09-02T19:20:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,ABN,ordinary share represented by depositary receipts,RESEARCHED
WS:XAMS:AEGN.AS,,,XAMS,,AEGN.AS,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,AEGN.AS,AEGN.AS,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XAMS:AKZO.AS,,,XAMS,,AKZO.AS,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,AKZO.AS,AKZO.AS,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XAMS:ARDS.AS,,,XAMS,,ARDS.AS,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,ARDS.AS,ARDS.AS,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XAMS:ASMI.AS,,,XAMS,,ASMI.AS,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,ASMI.AS,ASMI.AS,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XAMS:BAMN.AS,,,XAMS,,BAMN.AS,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,BAMN.AS,BAMN.AS,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XAMS:EXOR.AS,,,XAMS,,EXOR.AS,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,EXOR.AS,EXOR.AS,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XAMS:MICCT.AS,,,XAMS,,MICCT.AS,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,MICCT.AS,MICCT.AS,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XAMS:PHG.AS,,,XAMS,,PHG.AS,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,PHG.AS,PHG.AS,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XAMS:SHEL.AS,,,XAMS,,SHEL.AS,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,SHEL.AS,SHEL.AS,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XAMS:VOPA.AS,,,XAMS,,VOPA.AS,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,VOPA.AS,VOPA.AS,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XBRU:AGES.BR,,,XBRU,,AGES.BR,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,AGES.BR,AGES.BR,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XBRU:AOO.BR,,,XBRU,,AOO.BR,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,AOO.BR,AOO.BR,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XBRU:IETB.BR,,,XBRU,,IETB.BR,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,IETB.BR,IETB.BR,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XBRU:WDPP.BR,,,XBRU,,WDPP.BR,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,WDPP.BR,WDPP.BR,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XCSE:ALKB.CO,,,XCSE,,ALKb.CO,DKK,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,ALKb.CO,ALKB.CO,ALK-B.CO,PRIMARY,VERIFIED,CURRENT_QUOTE_PAGE_FOUND_BUT_ALIAS_AMBIGUITY,SHARE_SPLIT_2022_ISIN_CHANGE_NOTATION_REVIEWED,PRIMARY_AND_PROVIDER_FOUND_ALIAS_REVIEW,MEDIUM,https://ir.alk.net/share-information,https://uk.finance.yahoo.com/quote/ALK-B.CO/,https://ir.alk-abello.com/news-releases/news-release-details/decision-complete-share-split-ratio-120,"Official ALK investor-relations share information identifies ALK-Abelló A/S, ISIN DK0061802139, Copenhagen listing. Official split notice confirms B shares and 2022 ISIN change; Yahoo exposes both ALK-B.CO and ALKB.CO aliases, so provider alias/current-symbol identity needs later price verification. No automatic mapping apply.",2026-09-02T19:35:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,ALK B,B shares,RESEARCHED
WS:XCSE:CARLB.CO,,,XCSE,,CARLb.CO,DKK,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,CARLb.CO,CARLB.CO,CARL-B.CO,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://www.carlsberggroup.com/investor-relations/shares/,https://finance.yahoo.com/quote/CARL-B.CO/,https://www.carlsberggroup.com/investor-relations/investor-home/faq/,"Carlsberg IR states Carlsberg A/S is listed on NASDAQ Copenhagen and identifies the B share series; its FAQ distinguishes A and B classes. Yahoo has a concrete CARL-B.CO quote page. The B share, Copenhagen primary listing, DKK currency and provider instrument correspond; no unresolved corporate action or collision. Source RIC-style CARLb.CO is retained in frozen fields; no mapping apply.",2026-09-02T20:10:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,CARL B,B shares,RESEARCHED
WS:XCSE:COLOB.CO,,,XCSE,,COLOb.CO,DKK,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,COLOb.CO,COLOB.CO,COLO-B.CO,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://www.coloplast.com/investor-relations/investor-tools/share-information/,https://finance.yahoo.com/quote/COLO-B.CO/,https://www.nasdaq.com/european-market-activity/shares/colo-b?id=TX2198,"Coloplast IR share information identifies the Copenhagen B share; Nasdaq identifies Coloplast B (COLO B), ISIN DK0060448595. Yahoo has a concrete COLO-B.CO quote page. Primary listing, B share class, DKK currency and provider instrument correspond; no unresolved corporate action or collision. Source RIC-style COLOb.CO is retained in frozen fields; no mapping apply.",2026-09-02T20:10:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,COLO B,B shares,RESEARCHED
WS:XCSE:MAERSKB.CO,,,XCSE,,MAERSKb.CO,DKK,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MAERSKb.CO,MAERSKB.CO,MAERSK-B.CO,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://investor.maersk.com/stock/stock-quote-and-chart,https://uk.finance.yahoo.com/quote/MAERSK-B.CO/,https://www.nasdaq.com/european-market-activity/shares/maersk-b?id=TX2196,"A.P. Moller - Maersk IR states both A and B classes trade on Nasdaq Copenhagen; Nasdaq identifies MAERSK B, ISIN DK0010244508. Yahoo has a concrete MAERSK-B.CO quote page. Primary listing, B share class, DKK currency and provider instrument correspond; no unresolved corporate action or collision. Source RIC-style MAERSKb.CO is retained in frozen fields; no mapping apply.",2026-09-02T20:10:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,MAERSK B,B shares,RESEARCHED
WS:XCSE:NOVOB.CO,,,XCSE,,NOVOb.CO,DKK,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,NOVOb.CO,NOVOB.CO,NOVO-B.CO,PRIMARY,VERIFIED,VERIFIED,NONE,VERIFIED_PRIMARY_AND_PROVIDER,HIGH,https://www.novonordisk.com/investors/stock-information.html,https://finance.yahoo.com/quote/NOVO-B.CO/,https://www.nasdaq.com/european-market-activity/shares/novo-b?id=TX2178,"Novo Nordisk IR states B shares are listed on Nasdaq Copenhagen; Nasdaq identifies Novo Nordisk B, ISIN DK0062498333. Yahoo has a concrete NOVO-B.CO quote page. Primary listing, B share class, DKK currency and provider instrument correspond; no unresolved corporate action or collision. Source RIC-style NOVOb.CO is retained in frozen fields; no mapping apply.",2026-09-02T20:10:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,NOVO B,B shares,RESEARCHED
