WS_ID,Frozen_Source_Symbol,Proposed_Yahoo_Symbol,MIC,Confidence,Research_Status,Decision,Primary_Status,Provider_Status,Corporate_Action_Status,Verified_Primary_Ticker,Verified_Share_Class,Primary_URL_Present,Provider_URL_Present,Reason
WS:XCSE:ALKB.CO,ALKb.CO,ALK-B.CO,XCSE,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,VERIFIED,CURRENT_QUOTE_PAGE_FOUND_BUT_ALIAS_AMBIGUITY,SHARE_SPLIT_2022_ISIN_CHANGE_NOTATION_REVIEWED,ALK B,B shares,YES,YES,Confidence MEDIUM
WS:XETR:BASFN.DE,BASFn.DE,,XETR,UNRESOLVED,PARTIAL,UNRESOLVED_MANUAL,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,NO,NO,Primary evidence URL missing; Provider evidence URL missing; Research status PARTIAL; Confidence UNRESOLVED; Share class not fully verified
WS:XETR:BAYGN.DE,BAYGn.DE,,XETR,UNRESOLVED,PARTIAL,UNRESOLVED_MANUAL,UNVERIFIED,UNVERIFIED,UNVERIFIED,,,NO,NO,Primary evidence URL missing; Provider evidence URL missing; Research status PARTIAL; Confidence UNRESOLVED; Share class not fully verified
WS:XETR:BNRGN.DE,BNRGn.DE,BNR.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,BNR,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:DBKGN.DE,DBKGn.DE,DBK.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,DBK,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:DHLN.DE,DHLn.DE,DHL.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,DHL,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:DTEGN.DE,DTEGn.DE,DTE.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,DTE,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:DTGGE.DE,DTGGe.DE,DTG.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,DTG,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:ENR1N.DE,ENR1n.DE,ENR.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,ENR,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
WS:XETR:EONGN.DE,EONGn.DE,EOAN.DE,XETR,MEDIUM,RESEARCHED,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,UNVERIFIED,VERIFIED,UNVERIFIED,EOAN,,NO,YES,Primary evidence URL missing; Confidence MEDIUM; Share class not fully verified
