WS_ID,Diagnostic_Classification,Research_Status,Evidence_Confidence,Decision,Proposed_Yahoo_Symbol,Primary_MIC
WS:XAMS:ABND.AS,CASE_NORMALIZATION_SUSPECT,RESEARCHED,HIGH,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,ABN.AS,XAMS
WS:XCSE:ALKB.CO,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,ALK-B.CO,XCSE
WS:XCSE:CARLB.CO,CASE_NORMALIZATION_SUSPECT,RESEARCHED,HIGH,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,CARL-B.CO,XCSE
WS:XCSE:COLOB.CO,CASE_NORMALIZATION_SUSPECT,RESEARCHED,HIGH,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,COLO-B.CO,XCSE
WS:XCSE:MAERSKB.CO,CASE_NORMALIZATION_SUSPECT,RESEARCHED,HIGH,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,MAERSK-B.CO,XCSE
WS:XCSE:NOVOB.CO,CASE_NORMALIZATION_SUSPECT,RESEARCHED,HIGH,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,NOVO-B.CO,XCSE
WS:XCSE:NSISB.CO,CASE_NORMALIZATION_SUSPECT,RESEARCHED,HIGH,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,NSIS-B.CO,XCSE
WS:XCSE:ROCKB.CO,CASE_NORMALIZATION_SUSPECT,RESEARCHED,HIGH,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,ROCK-B.CO,XCSE
WS:XDUB:AIBG.I,SUFFIX_MAPPING_SUSPECT,RESEARCHED,HIGH,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,A5G.IR,XDUB
WS:XDUB:KSP.I,SUFFIX_MAPPING_SUSPECT,RESEARCHED,HIGH,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,KRX.IR,XDUB
WS:XDUB:KYGA.I,SUFFIX_MAPPING_SUSPECT,RESEARCHED,HIGH,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,KRZ.IR,XDUB
WS:XETR:ADSGN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,HIGH,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,ADS.DE,XETR
WS:XETR:AIXGN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,HIGH,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,AIXA.DE,XETR
WS:XETR:AMV0N.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,HIGH,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,AMV0.DE,XETR
WS:XETR:BASFN.DE,CASE_NORMALIZATION_SUSPECT,PARTIAL,UNRESOLVED,UNRESOLVED_MANUAL,,XETR
WS:XETR:BAYGN.DE,CASE_NORMALIZATION_SUSPECT,PARTIAL,UNRESOLVED,UNRESOLVED_MANUAL,,XETR
WS:XETR:BNRGN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,BNR.DE,XETR
WS:XETR:DB1GN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,HIGH,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,DB1.DE,XETR
WS:XETR:DBKGN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,DBK.DE,XETR
WS:XETR:DHLN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,DHL.DE,XETR
WS:XETR:DTEGN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,DTE.DE,XETR
WS:XETR:DTGGE.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,DTG.DE,XETR
WS:XETR:ENR1N.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,ENR.DE,XETR
WS:XETR:EONGN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,EOAN.DE,XETR
WS:XETR:EVKN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,EVK.DE,XETR
WS:XETR:FNTGN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,FNTN.DE,XETR
WS:XETR:FPE3_P.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,FRE.DE,XETR
WS:XETR:FTKN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,FTK.DE,XETR
WS:XETR:G24N.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,G24.DE,XETR
WS:XETR:HNKG_P.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,HIGH,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,HEN3.DE,XETR
WS:XETR:HNRGN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,HNR1.DE,XETR
WS:XETR:IFXGN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,IFX.DE,XETR
WS:XETR:LEGN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,LEG.DE,XETR
WS:XETR:MBGN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,MBG.DE,XETR
WS:XETR:MTXGN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,MTX.DE,XETR
WS:XETR:MUVGN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,MUV2.DE,XETR
WS:XETR:PSHG_P.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,PSH2.DE,XETR
WS:XETR:SATG_P.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,SRT3.DE,XETR
WS:XETR:SDFGN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,SDF.DE,XETR
WS:XETR:SIEGN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,SIE.DE,XETR
WS:XETR:TLXGN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,TLX.DE,XETR
WS:XETR:TUI1N.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,TUI1.DE,XETR
WS:XETR:VNAN.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,VNA.DE,XETR
WS:XETR:VOWG_P.DE,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,VOW3.DE,XETR
WS:XMAD:PUIGB.MC,CASE_NORMALIZATION_SUSPECT,RESEARCHED,HIGH,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,PUIG.MC,XMAD
WS:XPAR:SESFD.PA,CASE_NORMALIZATION_SUSPECT,RESEARCHED,HIGH,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,SESG.PA,XPAR
WS:XSTO:ADDTB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,ADDT-B.ST,XSTO
WS:XSTO:ASSAB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,ASSA-B.ST,XSTO
WS:XSTO:ATCOA.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,ATCO-A.ST,XSTO
WS:XSTO:BALDB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,BALD-B.ST,XSTO
WS:XSTO:BEIJB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,BEIJ-B.ST,XSTO
WS:XSTO:EPIRA.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,EPI-A.ST,XSTO
WS:XSTO:ERICB.ST,CASE_NORMALIZATION_SUSPECT,RESEARCHED,MEDIUM,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,ERIC-B.ST,XSTO
