WS_ID,Research_Status,Evidence_AsOf_UTC,Decision
WS:XAMS:ABND.AS,RESEARCHED,2026-09-02T19:20:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE
WS:XAMS:AEGN.AS,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XAMS:AKZO.AS,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XAMS:ARDS.AS,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XAMS:ASMI.AS,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XAMS:BAMN.AS,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XAMS:EXOR.AS,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XAMS:MICCT.AS,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XAMS:PHG.AS,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XAMS:SHEL.AS,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XAMS:VOPA.AS,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XBRU:AGES.BR,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XBRU:AOO.BR,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XBRU:IETB.BR,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XBRU:WDPP.BR,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XCSE:ALKB.CO,RESEARCHED,2026-09-02T19:35:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XCSE:CARLB.CO,RESEARCHED,2026-09-02T20:10:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE
WS:XCSE:COLOB.CO,RESEARCHED,2026-09-02T20:10:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE
WS:XCSE:MAERSKB.CO,RESEARCHED,2026-09-02T20:10:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE
WS:XCSE:NOVOB.CO,RESEARCHED,2026-09-02T20:10:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE
WS:XCSE:NSISB.CO,RESEARCHED,2026-09-02T20:10:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE
WS:XCSE:ROCKB.CO,RESEARCHED,2026-09-02T20:10:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE
WS:XCSE:ZELA.CO,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XDUB:AIBG.I,RESEARCHED,2026-09-02T20:25:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE
WS:XDUB:KSP.I,RESEARCHED,2026-09-02T20:25:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE
WS:XDUB:KYGA.I,RESEARCHED,2026-09-02T20:25:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE
WS:XETR:ADSGN.DE,RESEARCHED,2026-09-02T20:40:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE
WS:XETR:AG1G.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:AIXGN.DE,RESEARCHED,2026-09-02T20:50:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE
WS:XETR:ALVG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:AMV0N.DE,RESEARCHED,2026-09-02T21:25:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE
WS:XETR:BASFN.DE,PARTIAL,2026-09-02T18:50:00Z,UNRESOLVED_MANUAL
WS:XETR:BAYGN.DE,PARTIAL,2026-09-02T18:50:00Z,UNRESOLVED_MANUAL
WS:XETR:BC8G.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:BEIG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:BMWG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:BNRGN.DE,RESEARCHED,2026-09-02T22:00:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:CBKG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:CONG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:DB1GN.DE,RESEARCHED,2026-09-02T22:20:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE
WS:XETR:DBKGN.DE,RESEARCHED,2026-09-02T22:00:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:DHLN.DE,RESEARCHED,2026-09-02T22:00:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:DTEGN.DE,RESEARCHED,2026-09-02T22:00:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:DTGGE.DE,RESEARCHED,2026-09-02T22:00:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:ENR1N.DE,RESEARCHED,2026-09-02T22:00:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:EONGN.DE,RESEARCHED,2026-09-02T22:00:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:EVDG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:EVKN.DE,RESEARCHED,2026-09-02T22:00:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:FMEG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:FNTGN.DE,RESEARCHED,2026-09-02T21:45:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:FPE3_P.DE,RESEARCHED,2026-09-02T22:00:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:FRAG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:FREG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:FTKN.DE,RESEARCHED,2026-09-02T21:45:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:G1AG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:G24N.DE,RESEARCHED,2026-09-02T21:45:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:GBFG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:HAGG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:HEIG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:HNKG_P.DE,RESEARCHED,2026-09-02T22:20:00Z,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE
WS:XETR:HNRGN.DE,RESEARCHED,2026-09-02T21:45:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:HOTG.DE,NOT_STARTED,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL
WS:XETR:IFXGN.DE,RESEARCHED,2026-09-02T21:45:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
WS:XETR:LEGN.DE,RESEARCHED,2026-09-02T21:05:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED
