WS_ID,Name,Yahoo_Symbol,Original_Status,Original_Reason,exact_equity_search_hit,exact_result_name,exact_exchange,search_errors,top_candidates_json
WS:XASX:IFL,Insignia Financial,IFL.AX,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,False,,,,[]
WS:XASX:NSR,National Storage,NSR.AX,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,False,,,,"[{""symbol"": ""4GC.DU"", ""name"": ""National Storage Affiliates Trust"", ""exchange"": ""DUS"", ""quoteType"": ""EQUITY""}, {""symbol"": ""4GC.MU"", ""name"": ""National Storage Affiliates Trust"", ""exchange"": ""MUN"", ""quoteType"": ""EQUITY""}, {""symbol"": ""4GC.SG"", ""name"": ""National Storage Affiliates Trust"", ""exchange"": ""STU"", ""quoteType"": ""EQUITY""}]"
WS:XASX:XYX,"Block, Inc.",XYX.AX,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,False,,,,"[{""symbol"": ""XYZ"", ""name"": ""Block, Inc."", ""exchange"": ""NYQ"", ""quoteType"": ""EQUITY""}, {""symbol"": ""MU"", ""name"": ""Micron Technology, Inc."", ""exchange"": ""NMS"", ""quoteType"": ""EQUITY""}]"
WS:XMEX:ALFAA,ALFA,ALFAA.MX,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,False,,,,"[{""symbol"": ""ALFA-UN.V"", ""name"": ""Margaux Real Estate Investment Trust"", ""exchange"": ""VAN"", ""quoteType"": ""EQUITY""}, {""symbol"": ""ALFFF"", ""name"": ""Sigma Foods, S.A.B. de C.V."", ""exchange"": ""PNK"", ""quoteType"": ""EQUITY""}, {""symbol"": ""9618.SR"", ""name"": ""Al-Fakhera Men's Tailoring Company"", ""exchange"": ""SAU"", ""quoteType"": ""EQUITY""}, {""symbol"": ""PSBAF"", ""name"": ""PT Sumber Alfaria Trijaya Tbk"", ""exchange"": ""PNK"", ""quoteType"": ""EQUITY""}, {""symbol"": ""ALFA.L"", ""name"": ""Alfa Financial Software Holdings PLC"", ""exchange"": ""LSE"", ""quoteType"": ""EQUITY""}, {""symbol"": ""ALFVF"", ""name"": ""Alfa Laval AB (publ)"", ""exchange"": ""PNK"", ""quoteType"": ""EQUITY""}, {""symbol"": ""ALFA.ST"", ""name"": ""Alfa Laval AB (publ)"", ""exchange"": ""STO"", ""quoteType"": ""EQUITY""}]"
WS:XMEX:ELEKTRA,Grupo Elektra,ELEKTRA.MX,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,False,,,,[]
WS:XNZE:ARV,Arvida Group Limited,ARV.NZ,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,False,,,,[]
WS:XNZE:GMT,Goodman Property Trust,GMT.NZ,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,False,,,,"[{""symbol"": ""GNZ.NZ"", ""name"": ""Goodman Property Trust"", ""exchange"": ""NZE"", ""quoteType"": ""EQUITY""}, {""symbol"": ""NJK.F"", ""name"": ""Goodman Property Trust"", ""exchange"": ""FRA"", ""quoteType"": ""EQUITY""}]"
WS:XNZE:MNW,Manawa Energy Limited,MNW.NZ,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,False,,,,[]
WS:US:CWEN.A,"Clearway Energy, Inc. (Class A)",CWEN-A,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,False,,,,"[{""symbol"": ""CWEN260821C00030000"", ""name"": ""CWEN Aug 2026 30.000 call"", ""exchange"": ""OPR"", ""quoteType"": ""OPTION""}, {""symbol"": ""CWEN260821P00025000"", ""name"": ""CWEN Aug 2026 25.000 put"", ""exchange"": ""OPR"", ""quoteType"": ""OPTION""}, {""symbol"": ""CWEN260821C00050000"", ""name"": ""CWEN Aug 2026 50.000 call"", ""exchange"": ""OPR"", ""quoteType"": ""OPTION""}, {""symbol"": ""CWEN260821C00045000"", ""name"": ""CWEN Aug 2026 45.000 call"", ""exchange"": ""OPR"", ""quoteType"": ""OPTION""}, {""symbol"": ""CWEN260821P00040000"", ""name"": ""CWEN Aug 2026 40.000 put"", ""exchange"": ""OPR"", ""quoteType"": ""OPTION""}, {""symbol"": ""CWEN260821C00035000"", ""name"": ""CWEN Aug 2026 35.000 call"", ""exchange"": ""OPR"", ""quoteType"": ""OPTION""}, {""symbol"": ""CWEN260821P00030000"", ""name"": ""CWEN Aug 2026 30.000 put"", ""exchange"": ""OPR"", ""quoteType"": ""OPTION""}, {""symbol"": ""CWEN"", ""name"": ""Clearway Energy, Inc."", ""exchange"": ""NYQ"", ""quoteType"": ""EQUITY""}]"
WS:US:IESC,IES Holdings,IESC,STALE,LAST_BAR_TOO_OLD,True,"IES Holdings, Inc.",NGM,,"[{""symbol"": ""IESC"", ""name"": ""IES Holdings, Inc."", ""exchange"": ""NGM"", ""quoteType"": ""EQUITY""}, {""symbol"": ""IESC260821C00460000"", ""name"": ""IESC Aug 2026 460.000 call"", ""exchange"": ""OPR"", ""quoteType"": ""OPTION""}, {""symbol"": ""IESC260821P01040000"", ""name"": ""IESC Aug 2026 1040.000 put"", ""exchange"": ""OPR"", ""quoteType"": ""OPTION""}, {""symbol"": ""IESC260918P00560000"", ""name"": ""IESC Sep 2026 560.000 put"", ""exchange"": ""OPR"", ""quoteType"": ""OPTION""}, {""symbol"": ""IESC270115C00880000"", ""name"": ""IESC Jan 2027 880.000 call"", ""exchange"": ""OPR"", ""quoteType"": ""OPTION""}, {""symbol"": ""IESC261016P00230000"", ""name"": ""IESC Oct 2026 230.000 put"", ""exchange"": ""OPR"", ""quoteType"": ""OPTION""}, {""symbol"": ""IESC270115P00580000"", ""name"": ""IESC Jan 2027 580.000 put"", ""exchange"": ""OPR"", ""quoteType"": ""OPTION""}, {""symbol"": ""45T.F"", ""name"": ""IES Holdings, Inc."", ""exchange"": ""FRA"", ""quoteType"": ""EQUITY""}]"
