Original_Status,Original_Reason,Primary_Universe_Index,Diagnostic_Classification,Recommended_Action,Rows
DOWNLOAD_FAILED,NO_DATA_IN_BATCH,AU_ASX200,NO_DATA_PROVIDER_OR_SOURCE_REVIEW,TARGETED_SYMBOL_AND_LISTING_EVIDENCE,3
DOWNLOAD_FAILED,NO_DATA_IN_BATCH,NZ_NZX50,NO_DATA_PROVIDER_OR_SOURCE_REVIEW,TARGETED_SYMBOL_AND_LISTING_EVIDENCE,3
DOWNLOAD_FAILED,NO_DATA_IN_BATCH,MX_IPC,NO_DATA_PROVIDER_OR_SOURCE_REVIEW,TARGETED_SYMBOL_AND_LISTING_EVIDENCE,2
DOWNLOAD_FAILED,NO_DATA_IN_BATCH,US_SP1500,NO_DATA_PROVIDER_OR_SOURCE_REVIEW,TARGETED_SYMBOL_AND_LISTING_EVIDENCE,1
QUARANTINE,INVALID_OHLC_OR_VOLUME,KR_KOSPI200,LIKELY_ISOLATED_INVALID_BARS_FILTERABLE,QA_POLICY_REVIEW_FOR_FILTERED_READY,11
QUARANTINE,INVALID_OHLC_OR_VOLUME,ZA_TOP40,LIKELY_ISOLATED_INVALID_BARS_FILTERABLE,QA_POLICY_REVIEW_FOR_FILTERED_READY,10
QUARANTINE,INVALID_OHLC_OR_VOLUME,ZA_TOP40,INVALID_BAR_QUARANTINE_REVIEW,KEEP_QUARANTINE_PENDING_BAR_ANALYSIS,5
QUARANTINE,INVALID_OHLC_OR_VOLUME,NZ_NZX50,LIKELY_ISOLATED_INVALID_BARS_FILTERABLE,QA_POLICY_REVIEW_FOR_FILTERED_READY,2
QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,US_SP1500,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,17
QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,AU_ASX200,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,2
QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,CA_TSX,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,2
QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,EU_STOXX600,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,2
QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,ZA_TOP40,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,2
QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,BR_IBRX100,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,1
QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,NZ_NZX50,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,1
STALE,LAST_BAR_TOO_OLD,US_SP1500,STALE_PROVIDER_OR_SOURCE_REVIEW,VERIFY_CURRENT_LISTING_OR_PROVIDER_SYMBOL,1
WARMUP,INSUFFICIENT_HISTORY,US_SP1500,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,8
WARMUP,INSUFFICIENT_HISTORY,EU_STOXX600,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,6
WARMUP,INSUFFICIENT_HISTORY,AU_ASX200,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,3
WARMUP,INSUFFICIENT_HISTORY,BR_IBRX100,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,1
WARMUP,INSUFFICIENT_HISTORY,CN_CSI300,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,1
WARMUP,INSUFFICIENT_HISTORY,KR_KOSPI200,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,1
