WS_ID,Name,Country,Primary_Universe_Index,Primary_MIC,Yahoo_Symbol,Original_Status,Original_Reason,Unique_Bars,Valid_Bars,First_Bar_Date,Last_Bar_Date,Last_Bar_Age_Days,Cached_Price_Rows,Invalid_Cached_Bars,Suspicious_Return_Events_Recomputed,Diagnostic_Classification,Recommended_Action,Exact_Equity_Search_Hit,Search_Result_Name,Search_Result_Exchange,Search_Errors
WS:XASX:ASK,Abacus Storage King,Australia,AU_ASX200,XASX,ASK.AX,WARMUP,INSUFFICIENT_HISTORY,26,26,2026-07-17,2026-08-21,3.0,26,0,0,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,,,,
WS:XASX:L1G,L1 Group,Australia,AU_ASX200,XASX,L1G.AX,WARMUP,INSUFFICIENT_HISTORY,224,224,2025-10-03,2026-08-21,3.0,224,0,0,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,,,,
WS:XASX:IFL,Insignia Financial,Australia,AU_ASX200,XASX,IFL.AX,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,,,,0,0,0,NO_DATA_PROVIDER_OR_SOURCE_REVIEW,TARGETED_SYMBOL_AND_LISTING_EVIDENCE,False,,,
WS:XASX:MSB,Mesoblast,Australia,AU_ASX200,XASX,MSB.AX,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,508,508,2024-08-21,2026-08-21,3.0,508,0,1,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,,,,
WS:XASX:RYM,Ryman Healthcare,Australia,AU_ASX200,XASX,RYM.AX,WARMUP,INSUFFICIENT_HISTORY,223,223,2025-10-06,2026-08-21,3.0,223,0,0,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,,,,
WS:XASX:TUA,Tuas,Australia,AU_ASX200,XASX,TUA.AX,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,508,508,2024-08-21,2026-08-21,3.0,508,0,1,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,,,,
WS:XASX:NSR,National Storage,Australia,AU_ASX200,XASX,NSR.AX,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,,,,0,0,0,NO_DATA_PROVIDER_OR_SOURCE_REVIEW,TARGETED_SYMBOL_AND_LISTING_EVIDENCE,False,,,
WS:XASX:XYX,"Block, Inc.",Australia,AU_ASX200,XASX,XYX.AX,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,,,,0,0,0,NO_DATA_PROVIDER_OR_SOURCE_REVIEW,TARGETED_SYMBOL_AND_LISTING_EVIDENCE,False,,,
WS:BVMF:AUAU3,AUAU3,Brazil,BR_IBRX100,BVMF,AUAU3.SA,WARMUP,INSUFFICIENT_HISTORY,159,159,2026-01-05,2026-08-21,3.0,159,0,0,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,,,,
WS:BVMF:NATU3,NATU3,Brazil,BR_IBRX100,BVMF,NATU3.SA,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,291,291,2025-06-26,2026-08-21,3.0,291,0,1,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,,,,
WS:XTSE:IAU,i-80 Gold Corp.,Canada,CA_TSX,XTSE,IAU.TO,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,503,503,2024-08-21,2026-08-21,3.0,503,0,1,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,,,,
WS:XTSE:LAC,Lithium Americas Corp.,Canada,CA_TSX,XTSE,LAC.TO,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,503,503,2024-08-21,2026-08-21,3.0,503,0,1,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,,,,
WS:XSHE:001280,"China National Uranium Co., Ltd.",China,CN_CSI300,XSHE,001280.SZ,WARMUP,INSUFFICIENT_HISTORY,175,175,2025-12-03,2026-08-21,3.0,175,0,0,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,,,,
WS:XAMS:CSG.AS,CSG A,NL,EU_STOXX600,XAMS,CSG.AS,WARMUP,INSUFFICIENT_HISTORY,148,148,2026-01-23,2026-08-21,3.0,148,0,0,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,,,,
WS:XAMS:MICCT.AS,THE MAGNUM ICE CREAM COMPANY,NL,EU_STOXX600,XAMS,MICC.AS,WARMUP,INSUFFICIENT_HISTORY,179,179,2025-12-08,2026-08-21,3.0,179,0,0,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,,,,
WS:XETR:AMV0N.DE,AUMOVIO,DE,EU_STOXX600,XETR,AMV0.DE,WARMUP,INSUFFICIENT_HISTORY,234,234,2025-09-18,2026-08-21,3.0,234,0,0,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,,,,
WS:XLON:ROR.L,ROTORK,GB,EU_STOXX600,XLON,ROR.L,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,507,507,2024-08-21,2026-08-21,3.0,507,0,1,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,,,,
WS:XOSL:KMAR.OL,KONGSBERG MARITIME,NO,EU_STOXX600,XOSL,KMAR.OL,WARMUP,INSUFFICIENT_HISTORY,84,84,2026-04-23,2026-08-21,3.0,84,0,0,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,,,,
WS:XPAR:ABVX.PA,ABIVAX,FR,EU_STOXX600,XPAR,ABVX.PA,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,511,511,2024-08-21,2026-08-21,3.0,511,0,1,SUSPICIOUS_RETURN_RESEARCH_REQUIRED,TARGETED_EVENT_RESEARCH_KEEP_QUARANTINE,,,,
WS:XSTO:OCTVSDB.ST,OCTAVE INTELLIGENCE SDR,SE,EU_STOXX600,XSTO,OCTV,WARMUP,INSUFFICIENT_HISTORY,64,64,2026-05-21,2026-08-21,3.0,64,0,0,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,,,,
WS:XSTO:VSURE.ST,VERISURE,SE,EU_STOXX600,XSTO,VSURE.ST,WARMUP,INSUFFICIENT_HISTORY,1,1,2026-08-21,2026-08-21,3.0,1,0,0,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,,,,
WS:XKRX:006400,Samsung SDI,South Korea,KR_KOSPI200,XKRX,006400.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,2024-08-21,2026-08-21,3.0,484,2,0,LIKELY_ISOLATED_INVALID_BARS_FILTERABLE,QA_POLICY_REVIEW_FOR_FILTERED_READY,,,,
WS:XKRX:007660,Isu Petasys,South Korea,KR_KOSPI200,XKRX,007660.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,2024-08-21,2026-08-21,3.0,484,2,0,LIKELY_ISOLATED_INVALID_BARS_FILTERABLE,QA_POLICY_REVIEW_FOR_FILTERED_READY,,,,
WS:XKRX:009830,Hanwha Solutions,South Korea,KR_KOSPI200,XKRX,009830.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,2024-08-21,2026-08-21,3.0,484,2,0,LIKELY_ISOLATED_INVALID_BARS_FILTERABLE,QA_POLICY_REVIEW_FOR_FILTERED_READY,,,,
WS:XKRX:010120,LS Electric,South Korea,KR_KOSPI200,XKRX,010120.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,2024-08-21,2026-08-21,3.0,484,2,0,LIKELY_ISOLATED_INVALID_BARS_FILTERABLE,QA_POLICY_REVIEW_FOR_FILTERED_READY,,,,
WS:XKRX:010140,Samsung Heavy Industries,South Korea,KR_KOSPI200,XKRX,010140.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,2024-08-21,2026-08-21,3.0,484,2,0,LIKELY_ISOLATED_INVALID_BARS_FILTERABLE,QA_POLICY_REVIEW_FOR_FILTERED_READY,,,,
WS:XKRX:012450,Hanwha Aerospace,South Korea,KR_KOSPI200,XKRX,012450.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,2024-08-21,2026-08-21,3.0,484,2,0,LIKELY_ISOLATED_INVALID_BARS_FILTERABLE,QA_POLICY_REVIEW_FOR_FILTERED_READY,,,,
WS:XKRX:0126Z0,Samsung Epis,South Korea,KR_KOSPI200,XKRX,0126Z0.KS,WARMUP,INSUFFICIENT_HISTORY,181,181,2025-11-25,2026-08-21,3.0,181,0,0,ACCEPT_WARMUP_SHORT_HISTORY,KEEP_WARMUP_NO_REPAIR,,,,
WS:XKRX:034020,Doosan Enerbility,South Korea,KR_KOSPI200,XKRX,034020.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,2024-08-21,2026-08-21,3.0,484,2,0,LIKELY_ISOLATED_INVALID_BARS_FILTERABLE,QA_POLICY_REVIEW_FOR_FILTERED_READY,,,,
WS:XKRX:034220,LG Display,South Korea,KR_KOSPI200,XKRX,034220.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,2024-08-21,2026-08-21,3.0,484,2,0,LIKELY_ISOLATED_INVALID_BARS_FILTERABLE,QA_POLICY_REVIEW_FOR_FILTERED_READY,,,,
WS:XKRX:042700,Hanmi Semiconductor,South Korea,KR_KOSPI200,XKRX,042700.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,2024-08-21,2026-08-21,3.0,484,2,0,LIKELY_ISOLATED_INVALID_BARS_FILTERABLE,QA_POLICY_REVIEW_FOR_FILTERED_READY,,,,
WS:XKRX:047050,POSCO International,South Korea,KR_KOSPI200,XKRX,047050.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,2024-08-21,2026-08-21,3.0,484,2,0,LIKELY_ISOLATED_INVALID_BARS_FILTERABLE,QA_POLICY_REVIEW_FOR_FILTERED_READY,,,,
WS:XKRX:051910,LG Chem,South Korea,KR_KOSPI200,XKRX,051910.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,2024-08-21,2026-08-21,3.0,484,2,0,LIKELY_ISOLATED_INVALID_BARS_FILTERABLE,QA_POLICY_REVIEW_FOR_FILTERED_READY,,,,
WS:XMEX:ALFAA,ALFA,Mexico,MX_IPC,XMEX,ALFAA.MX,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,,,,0,0,0,NO_DATA_PROVIDER_OR_SOURCE_REVIEW,TARGETED_SYMBOL_AND_LISTING_EVIDENCE,False,,,
WS:XMEX:ELEKTRA,Grupo Elektra,Mexico,MX_IPC,XMEX,ELEKTRA.MX,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,,,,0,0,0,NO_DATA_PROVIDER_OR_SOURCE_REVIEW,TARGETED_SYMBOL_AND_LISTING_EVIDENCE,False,,,
WS:XNZE:KPG,Kiwi Property Group Limited,New Zealand,NZ_NZX50,XNZE,KPG.NZ,QUARANTINE,INVALID_OHLC_OR_VOLUME,499,497,2024-08-26,2026-08-24,0.0,499,2,0,LIKELY_ISOLATED_INVALID_BARS_FILTERABLE,QA_POLICY_REVIEW_FOR_FILTERED_READY,,,,
WS:XNZE:SKL,Skellerup Holdings Limited,New Zealand,NZ_NZX50,XNZE,SKL.NZ,QUARANTINE,INVALID_OHLC_OR_VOLUME,499,497,2024-08-26,2026-08-24,0.0,499,2,0,LIKELY_ISOLATED_INVALID_BARS_FILTERABLE,QA_POLICY_REVIEW_FOR_FILTERED_READY,,,,
