WS_ID,Name,Primary_Universe_Index,Yahoo_Symbol,Invalid_Bars,Cached_Bars,Valid_Bars,Invalid_Share,Fresh,Suspicious_Return_Events,Strict_Filtered_QA_Pass,Shadow_Status
WS:XKRX:006400,Samsung SDI,KR_KOSPI200,006400.KS,2,484,482,0.004132231404958678,True,0,True,READY_FILTERED_QA_CANDIDATE_NOT_PROMOTED
WS:XKRX:007660,Isu Petasys,KR_KOSPI200,007660.KS,2,484,482,0.004132231404958678,True,0,True,READY_FILTERED_QA_CANDIDATE_NOT_PROMOTED
WS:XKRX:009830,Hanwha Solutions,KR_KOSPI200,009830.KS,2,484,482,0.004132231404958678,True,0,True,READY_FILTERED_QA_CANDIDATE_NOT_PROMOTED
WS:XKRX:010120,LS Electric,KR_KOSPI200,010120.KS,2,484,482,0.004132231404958678,True,0,True,READY_FILTERED_QA_CANDIDATE_NOT_PROMOTED
WS:XKRX:010140,Samsung Heavy Industries,KR_KOSPI200,010140.KS,2,484,482,0.004132231404958678,True,0,True,READY_FILTERED_QA_CANDIDATE_NOT_PROMOTED
WS:XKRX:012450,Hanwha Aerospace,KR_KOSPI200,012450.KS,2,484,482,0.004132231404958678,True,0,True,READY_FILTERED_QA_CANDIDATE_NOT_PROMOTED
WS:XKRX:034020,Doosan Enerbility,KR_KOSPI200,034020.KS,2,484,482,0.004132231404958678,True,0,True,READY_FILTERED_QA_CANDIDATE_NOT_PROMOTED
WS:XKRX:034220,LG Display,KR_KOSPI200,034220.KS,2,484,482,0.004132231404958678,True,0,True,READY_FILTERED_QA_CANDIDATE_NOT_PROMOTED
WS:XKRX:042700,Hanmi Semiconductor,KR_KOSPI200,042700.KS,2,484,482,0.004132231404958678,True,0,True,READY_FILTERED_QA_CANDIDATE_NOT_PROMOTED
WS:XKRX:047050,POSCO International,KR_KOSPI200,047050.KS,2,484,482,0.004132231404958678,True,0,True,READY_FILTERED_QA_CANDIDATE_NOT_PROMOTED
WS:XKRX:051910,LG Chem,KR_KOSPI200,051910.KS,2,484,482,0.004132231404958678,True,0,True,READY_FILTERED_QA_CANDIDATE_NOT_PROMOTED
WS:XNZE:KPG,Kiwi Property Group Limited,NZ_NZX50,KPG.NZ,2,499,497,0.004008016032064128,True,0,True,READY_FILTERED_QA_CANDIDATE_NOT_PROMOTED
WS:XNZE:SKL,Skellerup Holdings Limited,NZ_NZX50,SKL.NZ,2,499,497,0.004008016032064128,True,0,True,READY_FILTERED_QA_CANDIDATE_NOT_PROMOTED
WS:SRC:ZA_TOP40:1EFE66E75F1BEAE6,NEPI Rockcastle,ZA_TOP40,NRP.JO,2,501,499,0.003992015968063872,True,0,True,READY_FILTERED_QA_CANDIDATE_NOT_PROMOTED
WS:SRC:ZA_TOP40:2DF0FDC7A9EB6AF3,AB InBev,ZA_TOP40,ANH.JO,2,501,499,0.003992015968063872,True,2,False,KEEP_QUARANTINE_OVERLAPPING_ANOMALY
WS:SRC:ZA_TOP40:3598A879F2EA6E99,Sanlam,ZA_TOP40,SLM.JO,2,501,499,0.003992015968063872,True,2,False,KEEP_QUARANTINE_OVERLAPPING_ANOMALY
WS:SRC:ZA_TOP40:5F247CB49B9B155E,Vodacom,ZA_TOP40,VOD.JO,2,501,499,0.003992015968063872,True,2,False,KEEP_QUARANTINE_OVERLAPPING_ANOMALY
WS:SRC:ZA_TOP40:8D915874D6D1F74D,Growthpoint Properties,ZA_TOP40,GRT.JO,2,501,499,0.003992015968063872,True,0,True,READY_FILTERED_QA_CANDIDATE_NOT_PROMOTED
WS:SRC:ZA_TOP40:9CADEA732F4AE055,Remgro,ZA_TOP40,REM.JO,2,501,499,0.003992015968063872,True,0,True,READY_FILTERED_QA_CANDIDATE_NOT_PROMOTED
WS:SRC:ZA_TOP40:A5EBFF44983C436F,Bidcorp,ZA_TOP40,BID.JO,2,501,499,0.003992015968063872,True,0,True,READY_FILTERED_QA_CANDIDATE_NOT_PROMOTED
WS:SRC:ZA_TOP40:C46C9A1E2438665A,Anglo American,ZA_TOP40,AGL.JO,2,501,499,0.003992015968063872,True,0,True,READY_FILTERED_QA_CANDIDATE_NOT_PROMOTED
WS:SRC:ZA_TOP40:D7462C43096E07C0,Reinet Investments,ZA_TOP40,RNI.JO,2,501,499,0.003992015968063872,True,0,True,READY_FILTERED_QA_CANDIDATE_NOT_PROMOTED
WS:SRC:ZA_TOP40:FA44132B238E6795,Discovery,ZA_TOP40,DSY.JO,2,501,499,0.003992015968063872,True,0,True,READY_FILTERED_QA_CANDIDATE_NOT_PROMOTED
