WS_ID,Name,ISIN,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Primary_Universe_Index,Index_Tags,Yahoo_Symbol,AsOf,Bars,Bars_Raw,Bars_Used,Excluded_Invalid_Bars,Close_Raw,Close_Tech,EMA20,EMA50,SMA200,ATR14_Wilder_DEV,ATR14_Pct_DEV,R5,R20,R60,High20,High60,High252,Low20,Low60,Dist_EMA20,Dist_EMA50,Dist_SMA200,Dist_High252,Range20_Pct,MedianVolume20_Tech,MedianTurnover20_Native,Split_Count,Feature_Status
WS:XKRX:006400,Samsung SDI,,South Korea,006400,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,006400.KS,2026-08-21,482,484,482,2,478000.0,478000.0,462809.1938312879,470338.83678058605,428727.5,32857.815615248364,0.06874020003190034,-0.01848049281314168,0.023554603854389677,-0.25545171339563866,518000.0,707000.0,723000.0,341500.0,341500.0,0.03282304321346241,0.016288604342889812,0.11492731396982925,-0.338865836791148,0.3692468619246862,398146.0,185716779000.0,0,DEV_QA_FILTERED_CANDIDATE_NOT_PROMOTED
WS:XKRX:007660,Isu Petasys,,South Korea,007660,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,007660.KS,2026-08-21,482,484,482,2,99300.0,99300.0,93044.34723767995,98481.37195008378,116476.0,8849.895510305594,0.08912281480670287,0.025826446280991844,0.06316916488222701,-0.28919112383679313,110800.0,150100.0,164400.0,57900.0,57900.0,0.06723302326298342,0.008312516709567674,-0.1474638552148082,-0.39598540145985406,0.5327291037260826,630762.0,57976425750.0,0,DEV_QA_FILTERED_CANDIDATE_NOT_PROMOTED
WS:XKRX:009830,Hanwha Solutions,,South Korea,009830,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,009830.KS,2026-08-21,482,484,482,2,32050.0,32050.0,32375.37250012046,33055.479301109975,35787.522265625,3133.30306892172,0.09776296626900842,-0.12311901504787959,0.06833333333333336,-0.2789651293588301,38550.0,44100.0,59300.0,22000.0,22000.0,-0.010050000200592213,-0.03041793137987303,-0.1044364635775582,-0.4595278246205734,0.516380655226209,4062487.0,107694701200.0,0,DEV_QA_FILTERED_CANDIDATE_NOT_PROMOTED
WS:XKRX:010120,LS Electric,,South Korea,010120,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,010120.KS,2026-08-21,482,484,482,2,187000.0,187000.0,200237.7355123488,203100.5558350012,113660.2,16016.575203407621,0.08565013477758086,-0.12616822429906538,-0.1633109619686801,-0.343859649122807,226000.0,282500.0,335000.0,148000.0,148000.0,-0.06611009397642942,-0.07927381473087292,0.6452548913339937,-0.4417910447761194,0.41711229946524064,699513.5,139209904500.0,1,DEV_QA_FILTERED_CANDIDATE_NOT_PROMOTED
WS:XKRX:010140,Samsung Heavy Industries,,South Korea,010140,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,010140.KS,2026-08-21,482,484,482,2,20200.0,20200.0,21580.54545309567,23046.899385355482,26720.25,1132.6120984923782,0.056069905865959314,-0.08181818181818179,-0.14587737843551796,-0.33661740558292286,23850.0,30250.0,35350.0,18440.0,18440.0,-0.06397175901305285,-0.12352635110493282,-0.24401904922296758,-0.4285714285714286,0.26782178217821784,2988571.5,67522949850.0,0,DEV_QA_FILTERED_CANDIDATE_NOT_PROMOTED
WS:XKRX:012450,Hanwha Aerospace,,South Korea,012450,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,012450.KS,2026-08-21,482,484,482,2,1085000.0,1085000.0,1076514.9752296554,1072563.565314653,1146800.0,77368.54283334718,0.07130741274962873,-0.08438818565400841,0.13256784968684765,-0.13269384492406078,1255000.0,1304000.0,1655000.0,783000.0,783000.0,0.007881938445430725,0.011595056076418642,-0.05388908266480641,-0.34441087613293053,0.43502304147465437,240213.5,237206275000.0,1,DEV_QA_FILTERED_CANDIDATE_NOT_PROMOTED
WS:XKRX:034020,Doosan Enerbility,,South Korea,034020,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,034020.KS,2026-08-21,482,484,482,2,73300.0,73300.0,75890.6768000037,80734.74969748137,91172.0,4786.21389285837,0.06529623319042796,-0.09394313967861556,0.001366120218579292,-0.34902309058614567,85700.0,114800.0,139200.0,57000.0,57000.0,-0.03413695738714995,-0.09208859537361402,-0.19602509542403368,-0.4734195402298851,0.39154160982264663,2100871.5,159318539900.0,2,DEV_QA_FILTERED_CANDIDATE_NOT_PROMOTED
WS:XKRX:034220,LG Display,,South Korea,034220,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,034220.KS,2026-08-21,482,484,482,2,9500.0,9500.0,9852.426108129586,10678.821538331855,12277.1,569.177517044151,0.05991342284675274,-0.044265593561368166,-0.0935114503816794,-0.3921944977607166,10370.0,17950.0,17950.0,8120.0,8120.0,-0.03577048985313247,-0.110388729140238,-0.22620162742015626,-0.47075208913649025,0.23684210526315788,3119241.5,29345981640.0,0,DEV_QA_FILTERED_CANDIDATE_NOT_PROMOTED
WS:XKRX:042700,Hanmi Semiconductor,,South Korea,042700,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,042700.KS,2026-08-21,482,484,482,2,213500.0,213500.0,216094.64301984938,233109.64438713697,228431.5,18787.465355554225,0.08799749581055843,-0.05530973451327437,-0.01157407407407407,-0.35106382978723405,242000.0,372500.0,426000.0,148900.0,148900.0,-0.012006975201190206,-0.08412197804467603,-0.06536532833694131,-0.49882629107981225,0.4360655737704918,618136.5,132851488500.0,0,DEV_QA_FILTERED_CANDIDATE_NOT_PROMOTED
WS:XKRX:047050,POSCO International,,South Korea,047050,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,047050.KS,2026-08-21,482,484,482,2,50600.0,50600.0,53031.07301103796,55047.39371855487,61566.75,2688.1723882287865,0.0531259365262606,-0.06813996316758753,-0.10600706713780916,-0.25915080527086387,58200.0,68300.0,91200.0,47400.0,44850.0,-0.04584242544992356,-0.08079208511293756,-0.17812780437492637,-0.4451754385964912,0.2134387351778656,448697.5,23938718900.0,0,DEV_QA_FILTERED_CANDIDATE_NOT_PROMOTED
WS:XKRX:051910,LG Chem,,South Korea,051910,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,051910.KS,2026-08-21,482,484,482,2,252500.0,252500.0,265918.75506658206,280980.4575169412,334280.0,14615.502583977855,0.057883178550407345,-0.08348457350272231,-0.06998158379373853,-0.2806267806267806,282500.0,381000.0,437500.0,224000.0,224000.0,-0.050461860289704674,-0.10136099061346293,-0.24464520761038655,-0.4228571428571428,0.2316831683168317,157686.5,42139391750.0,0,DEV_QA_FILTERED_CANDIDATE_NOT_PROMOTED
WS:XNZE:KPG,Kiwi Property Group Limited,,New Zealand,KPG,New Zealand Exchange,XNZE,NZD,NZ_NZX50,NZ_NZX50,KPG.NZ,2026-08-24,497,499,497,2,0.9200000166893005,0.9200000166893005,0.9259005563161857,0.9336757018460798,0.9789999985694885,0.019339790786977184,0.02102151134363355,0.005464475534834312,-0.03664918034874143,0.005464475534834312,0.9700000286102295,0.9950000047683716,1.1449999809265137,0.8999999761581421,0.8999999761581421,-0.006372757405353813,-0.014647146894515406,-0.060265558699079236,-0.19650652225788434,0.07608701215461781,945408.0,872864.7133927047,0,DEV_QA_FILTERED_CANDIDATE_NOT_PROMOTED
WS:XNZE:SKL,Skellerup Holdings Limited,,New Zealand,SKL,New Zealand Exchange,XNZE,NZD,NZ_NZX50,NZ_NZX50,SKL.NZ,2026-08-24,497,499,497,2,7.389999866485596,7.389999866485596,7.136226328393876,6.822441291986871,5.867599992752075,0.12979277768573821,0.017563299056927148,0.026388897535241984,0.09481479503490298,0.24831077217010833,7.5,7.5,7.5,6.699999809265137,5.869999885559082,0.03556130739323615,0.08318995359701176,0.25945870127719295,-0.01466668446858721,0.10825442560059384,156875.0,1112084.1309866905,0,DEV_QA_FILTERED_CANDIDATE_NOT_PROMOTED
WS:SRC:ZA_TOP40:1EFE66E75F1BEAE6,NEPI Rockcastle,,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,ZA_TOP40,ZA_TOP40,NRP.JO,2026-08-21,499,501,499,2,14736.0,14736.0,14981.771721438243,14801.504630029702,14425.465,243.28829528100994,0.01650979202504139,-0.02125398512221044,-0.002504569146415725,0.028116932951929074,15296.0,15296.0,15450.0,14634.0,13695.0,-0.016404716745653913,-0.004425538596718348,0.02152686239230417,-0.04621359223300969,0.04492399565689468,1321526.0,20005675769.0,0,DEV_QA_FILTERED_CANDIDATE_NOT_PROMOTED
WS:SRC:ZA_TOP40:8D915874D6D1F74D,Growthpoint Properties,,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,ZA_TOP40,ZA_TOP40,GRT.JO,2026-08-21,499,501,499,2,1647.0,1647.0,1720.1089657081636,1719.633787558038,1719.525,32.698968140769324,0.019853654001681435,-0.048526863084922045,-0.020808561236623113,-0.03117647058823525,1784.0,1787.0,1892.0,1647.0,1611.0,-0.042502519994752075,-0.04223793931217268,-0.04217734548785279,-0.12949260042283295,0.08318154219793564,5084915.5,8830039970.5,0,DEV_QA_FILTERED_CANDIDATE_NOT_PROMOTED
WS:SRC:ZA_TOP40:9CADEA732F4AE055,Remgro,,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,ZA_TOP40,ZA_TOP40,REM.JO,2026-08-21,499,501,499,2,19122.0,19122.0,19235.276365348887,19192.22818832948,18649.705,311.7657925589481,0.01630403684546324,-0.010094735207330285,0.02486868903419448,-0.008092125739184608,20030.0,20030.0,20497.0,18649.0,18202.0,-0.005888990789492787,-0.003659199319659301,0.025324529261990802,-0.06708298775430555,0.07222047902939023,788193.5,15237558155.0,0,DEV_QA_FILTERED_CANDIDATE_NOT_PROMOTED
