Primary_Universe_Index,Remediation_Class_v0_23,Data_Gap_State_v0_25,Rows
US_SP1500,DATA_HISTORY_REMEDIATION_CANDIDATE,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,26
ZA_TOP40,DATA_HISTORY_REMEDIATION_CANDIDATE,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,9
EU_STOXX600,DATA_HISTORY_REMEDIATION_CANDIDATE,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,8
AU_ASX200,DATA_HISTORY_REMEDIATION_CANDIDATE,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,5
AU_ASX200,DATA_OR_FX_VERIFICATION_CANDIDATE,STILL_REQUIRES_LIQUIDITY_DATA_OR_FX_RECOMPUTE,3
BR_IBRX100,DATA_HISTORY_REMEDIATION_CANDIDATE,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,2
CA_TSX,DATA_HISTORY_REMEDIATION_CANDIDATE,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,2
CN_CSI300,DATA_HISTORY_REMEDIATION_CANDIDATE,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,1
CN_CSI300,DATA_OR_FX_VERIFICATION_CANDIDATE,STILL_REQUIRES_LIQUIDITY_DATA_OR_FX_RECOMPUTE,1
KR_KOSPI200,DATA_HISTORY_REMEDIATION_CANDIDATE,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,1
KR_KOSPI200,DATA_OR_FX_VERIFICATION_CANDIDATE,STILL_REQUIRES_LIQUIDITY_DATA_OR_FX_RECOMPUTE,1
NZ_NZX50,DATA_HISTORY_REMEDIATION_CANDIDATE,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,1
