WS_ID,Name,Country,Primary_Universe_Index,Primary_MIC,Primary_Ticker,Yahoo_Symbol,Cache_Status,Cache_Reason,Liquidity_Data_Status,Liquidity_Gate,Liquidity_Bucket,MedianTurnover20_EUR,MedianTurnover60_EUR,Scalable_Tradeability_Status,Scalable_Gate,Instrument_Decision_v0_14,Instrument_Type_Resolved_v0_14,Instrument_Resolution_Method_v0_14,Instrument_Resolution_Reason_v0_14,Strict_Eligibility_v0_14,Primary_Root_Cause_v0_23,Primary_Root_Cause_Detail_v0_23,Remediation_Class_v0_23,All_Blockers_v0_23,status,reason_code,unique_bars,valid_bars,suspicious_returns,first_bar_date,last_bar_date,Current_Evidence_State_v0_24,Recommended_Next_Action_v0_24,Automatic_Eligibility_Promotion_v0_24,Recheck_Mode_v0_25,Data_Gap_State_v0_25,Automatic_Eligibility_Promotion_v0_25
WS:XASX:MSB,Mesoblast,Australia,AU_ASX200,XASX,MSB,MSB.AX,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,CACHE_NOT_READY:QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:QUARANTINE:SUSPICIOUS_RETURN_NEEDS_REPAIR;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,508,508,1,2024-08-21,2026-08-21,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False,FROZEN_REPOSITORY_EVIDENCE_ONLY_NO_PRICE_OR_FX_DOWNLOAD,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,False
WS:XASX:TUA,Tuas,Australia,AU_ASX200,XASX,TUA,TUA.AX,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,CACHE_NOT_READY:QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:QUARANTINE:SUSPICIOUS_RETURN_NEEDS_REPAIR;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,508,508,1,2024-08-21,2026-08-21,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False,FROZEN_REPOSITORY_EVIDENCE_ONLY_NO_PRICE_OR_FX_DOWNLOAD,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,False
WS:XASX:ASK,Abacus Storage King,Australia,AU_ASX200,XASX,ASK,ASK.AX,WARMUP,INSUFFICIENT_HISTORY,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,CACHE_NOT_READY:WARMUP,INSUFFICIENT_HISTORY,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:WARMUP:INSUFFICIENT_HISTORY;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON,WARMUP,INSUFFICIENT_HISTORY,26,26,0,2026-07-17,2026-08-21,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False,FROZEN_REPOSITORY_EVIDENCE_ONLY_NO_PRICE_OR_FX_DOWNLOAD,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,False
WS:XASX:L1G,L1 Group,Australia,AU_ASX200,XASX,L1G,L1G.AX,WARMUP,INSUFFICIENT_HISTORY,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,CACHE_NOT_READY:WARMUP,INSUFFICIENT_HISTORY,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:WARMUP:INSUFFICIENT_HISTORY;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON,WARMUP,INSUFFICIENT_HISTORY,224,224,0,2025-10-03,2026-08-21,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False,FROZEN_REPOSITORY_EVIDENCE_ONLY_NO_PRICE_OR_FX_DOWNLOAD,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,False
WS:XASX:RYM,Ryman Healthcare,Australia,AU_ASX200,XASX,RYM,RYM.AX,WARMUP,INSUFFICIENT_HISTORY,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,CACHE_NOT_READY:WARMUP,INSUFFICIENT_HISTORY,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:WARMUP:INSUFFICIENT_HISTORY;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON,WARMUP,INSUFFICIENT_HISTORY,223,223,0,2025-10-06,2026-08-21,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False,FROZEN_REPOSITORY_EVIDENCE_ONLY_NO_PRICE_OR_FX_DOWNLOAD,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,False
WS:XASX:CTD,Corporate Travel Management,Australia,AU_ASX200,XASX,CTD,CTD.AX,READY,,USABLE_SESSIONS_BELOW_18_OF_20,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,NOT_VERIFIED,LIQUIDITY_NOT_VERIFIED:NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,DATA_OR_FX_VERIFICATION_CANDIDATE,LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON,,,,,,,,CACHE_READY_BUT_LIQUIDITY_DATA_OR_FX_RECHECK_REQUIRED,RECOMPUTE_LIQUIDITY_DATA_COVERAGE_WITH_ACCEPTED_CACHE_AND_FX_INPUTS,False,FROZEN_REPOSITORY_EVIDENCE_ONLY_NO_PRICE_OR_FX_DOWNLOAD,STILL_REQUIRES_LIQUIDITY_DATA_OR_FX_RECOMPUTE,False
WS:XASX:FRW,Freightways Group,Australia,AU_ASX200,XASX,FRW,FRW.AX,READY,,USABLE_SESSIONS_BELOW_18_OF_20,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,1219.5591158917896,964.6590886631246,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,NOT_VERIFIED,LIQUIDITY_NOT_VERIFIED:NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,DATA_OR_FX_VERIFICATION_CANDIDATE,LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON,,,,,,,,CACHE_READY_BUT_LIQUIDITY_DATA_OR_FX_RECHECK_REQUIRED,RECOMPUTE_LIQUIDITY_DATA_COVERAGE_WITH_ACCEPTED_CACHE_AND_FX_INPUTS,False,FROZEN_REPOSITORY_EVIDENCE_ONLY_NO_PRICE_OR_FX_DOWNLOAD,STILL_REQUIRES_LIQUIDITY_DATA_OR_FX_RECOMPUTE,False
WS:XASX:QUB,Qube Holdings,Australia,AU_ASX200,XASX,QUB,QUB.AX,READY,,USABLE_SESSIONS_BELOW_18_OF_20,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,19658644.648758303,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,NOT_VERIFIED,LIQUIDITY_NOT_VERIFIED:NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,DATA_OR_FX_VERIFICATION_CANDIDATE,LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON,,,,,,,,CACHE_READY_BUT_LIQUIDITY_DATA_OR_FX_RECHECK_REQUIRED,RECOMPUTE_LIQUIDITY_DATA_COVERAGE_WITH_ACCEPTED_CACHE_AND_FX_INPUTS,False,FROZEN_REPOSITORY_EVIDENCE_ONLY_NO_PRICE_OR_FX_DOWNLOAD,STILL_REQUIRES_LIQUIDITY_DATA_OR_FX_RECOMPUTE,False
WS:BVMF:NATU3,NATU3,Brazil,BR_IBRX100,BVMF,NATU3,NATU3.SA,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,CACHE_NOT_READY:QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:QUARANTINE:SUSPICIOUS_RETURN_NEEDS_REPAIR;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,291,291,1,2025-06-26,2026-08-21,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False,FROZEN_REPOSITORY_EVIDENCE_ONLY_NO_PRICE_OR_FX_DOWNLOAD,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,False
WS:BVMF:AUAU3,AUAU3,Brazil,BR_IBRX100,BVMF,AUAU3,AUAU3.SA,WARMUP,INSUFFICIENT_HISTORY,NOT_EVALUATED_NON_READY,NOT_VERIFIED,DATA_OR_FX_NOT_VERIFIED,,,NOT_VERIFIED,PASS_OR_NOT_VERIFIED,NOT_VERIFIED,,,,FAIL,CACHE_NOT_READY:WARMUP,INSUFFICIENT_HISTORY,DATA_HISTORY_REMEDIATION_CANDIDATE,CACHE:WARMUP:INSUFFICIENT_HISTORY;LIQUIDITY:NOT_VERIFIED:DATA_OR_FX_NOT_VERIFIED;INSTRUMENT:NOT_VERIFIED:NO_REASON,WARMUP,INSUFFICIENT_HISTORY,159,159,0,2026-01-05,2026-08-21,QA_V0_4_RESIDUAL_NON_READY,BOUNDED_CURRENT_HISTORY_RECHECK_OR_TARGETED_REFRESH_AFTER_REASON_REVIEW,False,FROZEN_REPOSITORY_EVIDENCE_ONLY_NO_PRICE_OR_FX_DOWNLOAD,STILL_REQUIRES_TARGETED_HISTORY_REPAIR_OR_REQUALIFICATION,False
