Country,Primary_MIC,Rows,Unique_Primary_Tickers,Unique_Yahoo_Symbols,Preferred_Source_Class_v0_24,Required_Security_Fields_v0_24,Deterministic_Match_Key_v0_24,Ambiguous_Mapping_Policy_v0_24,Per_Security_Web_Fanout_Allowed_v0_24,Route_Status_v0_24,Configured_Official_Probe_v0_25,Configured_Source_IDs_v0_25,Instrument_Decision_v0_25,Per_Security_Fanout_Used_v0_25
GB,XLON,82,82,82,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED,True,EU_LSE_REPORTS,UNCHANGED_NOT_VERIFIED,False
DE,XETR,53,53,53,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED,True,EU_XETRA_SHARES,UNCHANGED_NOT_VERIFIED,False
FR,XPAR,45,45,45,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED,True,EU_EURONEXT_EQUITIES,UNCHANGED_NOT_VERIFIED,False
CH,XSWX,34,34,34,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED,True,EU_SIX_EQUITIES,UNCHANGED_NOT_VERIFIED,False
IT,XMIL,32,32,32,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED,True,EU_EURONEXT_EQUITIES,UNCHANGED_NOT_VERIFIED,False
SE,XSTO,25,25,25,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED,True,EU_NASDAQ_NORDIC_EQUITIES,UNCHANGED_NOT_VERIFIED,False
NL,XAMS,19,19,19,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED,True,EU_EURONEXT_EQUITIES,UNCHANGED_NOT_VERIFIED,False
ES,XMAD,17,17,17,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED,False,,UNCHANGED_NOT_VERIFIED,False
DK,XCSE,11,11,11,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED,True,EU_NASDAQ_NORDIC_EQUITIES,UNCHANGED_NOT_VERIFIED,False
NO,XOSL,11,11,11,OFFICIAL_PRIMARY_EXCHANGE_BULK_SECURITY_REFERENCE,PRIMARY_EXCHANGE_CODE_OR_ISIN + SECURITY_TYPE_OR_CLASS_OR_CFI + SOURCE_VERSION_OR_ASOF,Primary_MIC + Primary_Ticker,FAIL_CLOSED,False,OFFICIAL_BULK_ROUTE_PROBE_REQUIRED,True,EU_EURONEXT_EQUITIES,UNCHANGED_NOT_VERIFIED,False
