Source_ID,Coverage_Route,Probe_Status,Materialization_Status_v0_25,Candidate_Link_Count,Recommended_Next_Action_v0_25,May_Change_Instrument_Decisions_In_v0_25
EU_LSE_REPORTS,EU_PRIMARY_EXCHANGES,HTTP_OK,RAW_OFFICIAL_PAGE_SAVED,0,SOURCE_CAPABILITY_ONLY_FIND_MACHINE_READABLE_OR_EXPLICIT_SECURITY_TYPE_ROUTE,False
EU_XETRA_SHARES,EU_PRIMARY_EXCHANGES,HTTP_OK,RAW_OFFICIAL_PAGE_SAVED,40,REVIEW_DISCOVERED_OFFICIAL_BULK_CANDIDATES_THEN_MATERIALIZE_BOUNDED_SOURCE,False
EU_EURONEXT_EQUITIES,EU_PRIMARY_EXCHANGES,HTTP_OK,RAW_OFFICIAL_PAGE_SAVED,40,REVIEW_DISCOVERED_OFFICIAL_BULK_CANDIDATES_THEN_MATERIALIZE_BOUNDED_SOURCE,False
EU_SIX_EQUITIES,EU_PRIMARY_EXCHANGES,HTTP_OK,RAW_OFFICIAL_PAGE_SAVED,40,REVIEW_DISCOVERED_OFFICIAL_BULK_CANDIDATES_THEN_MATERIALIZE_BOUNDED_SOURCE,False
EU_NASDAQ_NORDIC_EQUITIES,EU_PRIMARY_EXCHANGES,HTTP_OK,RAW_OFFICIAL_PAGE_SAVED,16,REVIEW_DISCOVERED_OFFICIAL_BULK_CANDIDATES_THEN_MATERIALIZE_BOUNDED_SOURCE,False
EU_GPW_LISTED_COMPANIES,EU_PRIMARY_EXCHANGES,HTTP_OK,RAW_OFFICIAL_PAGE_SAVED,7,REVIEW_DISCOVERED_OFFICIAL_BULK_CANDIDATES_THEN_MATERIALIZE_BOUNDED_SOURCE,False
EU_VIENNA_COMPANIES,EU_PRIMARY_EXCHANGES,HTTP_OK,RAW_OFFICIAL_PAGE_SAVED,40,REVIEW_DISCOVERED_OFFICIAL_BULK_CANDIDATES_THEN_MATERIALIZE_BOUNDED_SOURCE,False
HKEX_FULL_LIST,HK_HSI,HTTP_OK,PARSED_OFFICIAL_BULK_REFERENCE,0,VALIDATE_OFFICIAL_SECURITY_TYPE_SEMANTICS_AND_DETERMINISTIC_MATCHING,False
TMX_LISTED_DIRECTORY,CA_TSX,HTTP_OK,RAW_OFFICIAL_PAGE_SAVED,40,REVIEW_DISCOVERED_OFFICIAL_BULK_CANDIDATES_THEN_MATERIALIZE_BOUNDED_SOURCE,False
KRX_DATA_MARKETPLACE,KR_KOSPI200,ERROR,NOT_MATERIALIZED,0,REVIEW_OFFICIAL_ROUTE_OR_TRANSPORT_WITHOUT_PER_SECURITY_FANOUT,False
BMV_LISTED_COMPANIES,MX_IPC,HTTP_OK,RAW_OFFICIAL_PAGE_SAVED,21,REVIEW_DISCOVERED_OFFICIAL_BULK_CANDIDATES_THEN_MATERIALIZE_BOUNDED_SOURCE,False
