ws_id,yahoo_symbol,price_rows,first_day,last_day
WS:BVMF:AUAU3,AUAU3.SA,164,2026-01-05,2026-08-28
WS:BVMF:NATU3,NATU3.SA,296,2025-06-26,2026-08-28
WS:SRC:ZA_TOP40:2DF0FDC7A9EB6AF3,ANH.JO,500,2024-08-28,2026-08-28
WS:SRC:ZA_TOP40:3598A879F2EA6E99,SLM.JO,500,2024-08-28,2026-08-28
WS:SRC:ZA_TOP40:5F247CB49B9B155E,VOD.JO,500,2024-08-28,2026-08-28
WS:SRC:ZA_TOP40:670585B513E60D68,WHL.JO,500,2024-08-28,2026-08-28
WS:SRC:ZA_TOP40:72B40FB15EDACCA3,CLS.JO,500,2024-08-28,2026-08-28
WS:SRC:ZA_TOP40:92DB8C1EE0FA61A7,EXX.JO,500,2024-08-28,2026-08-28
WS:SRC:ZA_TOP40:CCFFACA1ACD941D3,SBK.JO,500,2024-08-28,2026-08-28
WS:SRC:ZA_TOP40:DE0F69D92EFF3FE9,OMU.JO,500,2024-08-28,2026-08-28
WS:SRC:ZA_TOP40:FBAF8D9D0C6FF09E,MTN.JO,500,2024-08-28,2026-08-28
WS:US:AAP,AAP,501,2024-08-29,2026-08-28
WS:US:ADIG,ADIG,22,2026-07-30,2026-08-28
WS:US:CORT,CORT,501,2024-08-29,2026-08-28
WS:US:ECHO,ECHO,501,2024-08-29,2026-08-28
WS:US:EFOR,EFOR,501,2024-08-29,2026-08-28
WS:US:FDXF,FDXF,66,2026-05-27,2026-08-28
WS:US:HONA,HONA,53,2026-06-15,2026-08-28
WS:US:IESC,IESC,500,2024-08-29,2026-08-28
WS:US:KD,KD,501,2024-08-29,2026-08-28
WS:US:LRN,LRN,501,2024-08-29,2026-08-28
WS:US:MBGL,MBGL,45,2026-06-26,2026-08-28
WS:US:MEDP,MEDP,501,2024-08-29,2026-08-28
WS:US:MFP,MFP,45,2026-06-26,2026-08-28
WS:US:MNST,MNST,500,2024-08-29,2026-08-28
WS:US:MP,MP,501,2024-08-29,2026-08-28
WS:US:MRNA,MRNA,501,2024-08-29,2026-08-28
WS:US:MXL,MXL,501,2024-08-29,2026-08-28
WS:US:PRIM,PRIM,501,2024-08-29,2026-08-28
WS:US:Q,Q,211,2025-10-27,2026-08-28
WS:US:SEZL,SEZL,501,2024-08-29,2026-08-28
WS:US:SOLS,SOLS,216,2025-10-20,2026-08-28
WS:US:STRL,STRL,501,2024-08-29,2026-08-28
WS:US:VGNT,VGNT,107,2026-03-27,2026-08-28
WS:US:VIR,VIR,501,2024-08-29,2026-08-28
WS:US:VRRM,VRRM,501,2024-08-29,2026-08-28
WS:US:VSNT,VSNT,177,2025-12-15,2026-08-28
WS:XAMS:CSG.AS,CSG.AS,153,2026-01-23,2026-08-28
WS:XAMS:MICCT.AS,MICC.AS,184,2025-12-08,2026-08-28
WS:XASX:ASK,ASK.AX,31,2026-07-17,2026-08-28
WS:XASX:L1G,L1G.AX,229,2025-10-03,2026-08-28
WS:XASX:MSB,MSB.AX,508,2024-08-28,2026-08-28
WS:XASX:RYM,RYM.AX,228,2025-10-06,2026-08-28
WS:XASX:TUA,TUA.AX,508,2024-08-28,2026-08-28
WS:XETR:AMV0N.DE,AMV0.DE,239,2025-09-18,2026-08-28
WS:XKRX:0126Z0,0126Z0.KS,186,2025-11-25,2026-08-28
WS:XLON:ROR.L,ROR.L,508,2024-08-28,2026-08-28
WS:XNZE:THL,THL.NZ,501,2024-08-28,2026-08-28
WS:XOSL:KMAR.OL,KMAR.OL,89,2026-04-23,2026-08-28
WS:XPAR:ABVX.PA,ABVX.PA,511,2024-08-28,2026-08-28
WS:XSHE:001280,001280.SZ,180,2025-12-03,2026-08-28
WS:XSTO:OCTVSDB.ST,OCTV,69,2026-05-21,2026-08-28
WS:XSTO:VSURE.ST,VSURE.ST,1,2026-08-28,2026-08-28
WS:XTSE:IAU,IAU.TO,503,2024-08-28,2026-08-28
WS:XTSE:LAC,LAC.TO,503,2024-08-28,2026-08-28
