ws_id,yahoo_symbol,price_rows,first_day,last_day
WS:BVMF:AUAU3,AUAU3.SA,159,2026-01-05,2026-08-21
WS:BVMF:NATU3,NATU3.SA,291,2025-06-26,2026-08-21
WS:SRC:ZA_TOP40:2DF0FDC7A9EB6AF3,ANH.JO,501,2024-08-21,2026-08-21
WS:SRC:ZA_TOP40:3598A879F2EA6E99,SLM.JO,501,2024-08-21,2026-08-21
WS:SRC:ZA_TOP40:5F247CB49B9B155E,VOD.JO,501,2024-08-21,2026-08-21
WS:SRC:ZA_TOP40:670585B513E60D68,WHL.JO,501,2024-08-21,2026-08-21
WS:SRC:ZA_TOP40:72B40FB15EDACCA3,CLS.JO,501,2024-08-21,2026-08-21
WS:SRC:ZA_TOP40:92DB8C1EE0FA61A7,EXX.JO,501,2024-08-21,2026-08-21
WS:SRC:ZA_TOP40:CCFFACA1ACD941D3,SBK.JO,501,2024-08-21,2026-08-21
WS:SRC:ZA_TOP40:DE0F69D92EFF3FE9,OMU.JO,501,2024-08-21,2026-08-21
WS:SRC:ZA_TOP40:FBAF8D9D0C6FF09E,MTN.JO,501,2024-08-21,2026-08-21
WS:US:AAP,AAP,501,2024-08-22,2026-08-21
WS:US:ADIG,ADIG,17,2026-07-30,2026-08-21
WS:US:CORT,CORT,501,2024-08-22,2026-08-21
WS:US:ECHO,ECHO,501,2024-08-22,2026-08-21
WS:US:EFOR,EFOR,501,2024-08-22,2026-08-21
WS:US:FDXF,FDXF,61,2026-05-27,2026-08-21
WS:US:HONA,HONA,48,2026-06-15,2026-08-21
WS:US:IESC,IESC,477,2024-08-22,2026-08-21
WS:US:KD,KD,501,2024-08-22,2026-08-21
WS:US:LRN,LRN,501,2024-08-22,2026-08-21
WS:US:MBGL,MBGL,40,2026-06-26,2026-08-21
WS:US:MEDP,MEDP,501,2024-08-22,2026-08-21
WS:US:MFP,MFP,40,2026-06-26,2026-08-21
WS:US:MNST,MNST,500,2024-08-22,2026-08-21
WS:US:MP,MP,501,2024-08-22,2026-08-21
WS:US:MRNA,MRNA,501,2024-08-22,2026-08-21
WS:US:MXL,MXL,501,2024-08-22,2026-08-21
WS:US:PRIM,PRIM,501,2024-08-22,2026-08-21
WS:US:Q,Q,206,2025-10-27,2026-08-21
WS:US:SEZL,SEZL,501,2024-08-22,2026-08-21
WS:US:SOLS,SOLS,211,2025-10-20,2026-08-21
WS:US:STRL,STRL,501,2024-08-22,2026-08-21
WS:US:VGNT,VGNT,102,2026-03-27,2026-08-21
WS:US:VIR,VIR,501,2024-08-22,2026-08-21
WS:US:VRRM,VRRM,501,2024-08-22,2026-08-21
WS:US:VSNT,VSNT,172,2025-12-15,2026-08-21
WS:XAMS:CSG.AS,CSG.AS,148,2026-01-23,2026-08-21
WS:XAMS:MICCT.AS,MICC.AS,179,2025-12-08,2026-08-21
WS:XASX:ASK,ASK.AX,26,2026-07-17,2026-08-21
WS:XASX:L1G,L1G.AX,224,2025-10-03,2026-08-21
WS:XASX:MSB,MSB.AX,508,2024-08-21,2026-08-21
WS:XASX:RYM,RYM.AX,223,2025-10-06,2026-08-21
WS:XASX:TUA,TUA.AX,508,2024-08-21,2026-08-21
WS:XETR:AMV0N.DE,AMV0.DE,234,2025-09-18,2026-08-21
WS:XKRX:0126Z0,0126Z0.KS,181,2025-11-25,2026-08-21
WS:XLON:ROR.L,ROR.L,507,2024-08-21,2026-08-21
WS:XNZE:THL,THL.NZ,499,2024-08-26,2026-08-24
WS:XOSL:KMAR.OL,KMAR.OL,84,2026-04-23,2026-08-21
WS:XPAR:ABVX.PA,ABVX.PA,511,2024-08-21,2026-08-21
WS:XSHE:001280,001280.SZ,175,2025-12-03,2026-08-21
WS:XSTO:OCTVSDB.ST,OCTV,64,2026-05-21,2026-08-21
WS:XSTO:VSURE.ST,VSURE.ST,1,2026-08-21,2026-08-21
WS:XTSE:IAU,IAU.TO,503,2024-08-21,2026-08-21
WS:XTSE:LAC,LAC.TO,503,2024-08-21,2026-08-21
