ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:BVMF:AUAU3,AUAU3.SA,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,159,159,0,0,0.0,2026-01-05,2026-08-21,2026-08-23T23:00:59+00:00,YF-20260823T230054341938-cd389239,
WS:BVMF:NATU3,NATU3.SA,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,291,291,0,1,0.013745704467353952,2025-06-26,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:SRC:ZA_TOP40:2DF0FDC7A9EB6AF3,ANH.JO,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,499,0,2,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:34+00:00,YF-20260823T230632999374-221e5dbb-R,NO_DATA_IN_BATCH
WS:SRC:ZA_TOP40:3598A879F2EA6E99,SLM.JO,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,499,0,2,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:34+00:00,YF-20260823T230632999374-221e5dbb-R,NO_DATA_IN_BATCH
WS:SRC:ZA_TOP40:5F247CB49B9B155E,VOD.JO,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,499,0,2,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:34+00:00,YF-20260823T230632999374-221e5dbb-R,NO_DATA_IN_BATCH
WS:SRC:ZA_TOP40:670585B513E60D68,WHL.JO,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,501,498,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:34+00:00,YF-20260823T230632999374-221e5dbb-R,NO_DATA_IN_BATCH
WS:SRC:ZA_TOP40:72B40FB15EDACCA3,CLS.JO,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,501,498,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:34+00:00,YF-20260823T230632999374-221e5dbb-R,NO_DATA_IN_BATCH
WS:SRC:ZA_TOP40:92DB8C1EE0FA61A7,EXX.JO,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,501,496,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:34+00:00,YF-20260823T230632999374-221e5dbb-R,NO_DATA_IN_BATCH
WS:SRC:ZA_TOP40:CCFFACA1ACD941D3,SBK.JO,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,500,0,2,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:35+00:00,YF-20260823T230634953361-b9c886b6-R,NO_DATA_IN_BATCH
WS:SRC:ZA_TOP40:DE0F69D92EFF3FE9,OMU.JO,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,501,498,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:35+00:00,YF-20260823T230634953361-b9c886b6-R,NO_DATA_IN_BATCH
WS:SRC:ZA_TOP40:FBAF8D9D0C6FF09E,MTN.JO,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,501,498,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:35+00:00,YF-20260823T230634953361-b9c886b6-R,NO_DATA_IN_BATCH
WS:US:AAP,AAP,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,0,1,0.0,2024-08-22,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:US:ADIG,ADIG,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,17,17,0,0,0.0,2026-07-30,2026-08-21,2026-08-23T23:04:04+00:00,YF-20260823T230359204196-622e4304,
WS:US:CORT,CORT,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,0,2,0.0,2024-08-22,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:US:ECHO,ECHO,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,0,1,0.0,2024-08-22,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:US:EFOR,EFOR,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,0,1,0.0,2024-08-22,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:US:FDXF,FDXF,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,61,61,0,0,0.0,2026-05-27,2026-08-21,2026-08-23T23:04:51+00:00,YF-20260823T230447001891-36b6d455,
WS:US:HONA,HONA,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,48,48,0,0,0.0,2026-06-15,2026-08-21,2026-08-23T23:05:01+00:00,YF-20260823T230456696379-30a24de9,
WS:US:IESC,IESC,EXPLICIT,STALE,LAST_BAR_TOO_OLD,477,476,0,0,0.0,2024-08-22,2026-07-17,2026-08-24T05:16:43+00:00,YF-20260824T051641575605-ce0b7bc5,
WS:US:KD,KD,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,0,1,0.0,2024-08-22,2026-08-21,2026-08-23T23:06:34+00:00,YF-20260823T230632999374-221e5dbb-R,NO_DATA_IN_BATCH
WS:US:LRN,LRN,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,0,1,0.0,2024-08-22,2026-08-21,2026-08-23T23:06:34+00:00,YF-20260823T230632999374-221e5dbb-R,NO_DATA_IN_BATCH
WS:US:MBGL,MBGL,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,40,40,0,0,0.0,2026-06-26,2026-08-21,2026-08-23T23:05:20+00:00,YF-20260823T230515647335-590890e0,
WS:US:MEDP,MEDP,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,0,1,0.0,2024-08-22,2026-08-21,2026-08-23T23:06:34+00:00,YF-20260823T230632999374-221e5dbb-R,NO_DATA_IN_BATCH
WS:US:MFP,MFP,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,40,40,0,1,0.025,2026-06-26,2026-08-21,2026-08-23T23:06:34+00:00,YF-20260823T230632999374-221e5dbb-R,NO_DATA_IN_BATCH
WS:US:MNST,MNST,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,500,500,0,5,0.0,2024-08-22,2026-08-21,2026-08-24T05:16:44+00:00,YF-20260824T051644267374-95fa10b2-R,NO_DATA_IN_BATCH
WS:US:MP,MP,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,0,1,0.0,2024-08-22,2026-08-21,2026-08-23T23:06:34+00:00,YF-20260823T230632999374-221e5dbb-R,NO_DATA_IN_BATCH
WS:US:MRNA,MRNA,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,0,1,0.0,2024-08-22,2026-08-21,2026-08-23T23:06:34+00:00,YF-20260823T230632999374-221e5dbb-R,NO_DATA_IN_BATCH
WS:US:MXL,MXL,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,0,1,0.0,2024-08-22,2026-08-21,2026-08-23T23:06:34+00:00,YF-20260823T230632999374-221e5dbb-R,NO_DATA_IN_BATCH
WS:US:PRIM,PRIM,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,0,1,0.0,2024-08-22,2026-08-21,2026-08-23T23:06:34+00:00,YF-20260823T230632999374-221e5dbb-R,NO_DATA_IN_BATCH
WS:US:Q,Q,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,206,206,0,0,0.0,2025-10-27,2026-08-21,2026-08-23T23:05:49+00:00,YF-20260823T230544483070-6e07d11d,
WS:US:SEZL,SEZL,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,0,1,0.0,2024-08-22,2026-08-21,2026-08-23T23:06:34+00:00,YF-20260823T230632999374-221e5dbb-R,NO_DATA_IN_BATCH
WS:US:SOLS,SOLS,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,211,211,0,0,0.0,2025-10-20,2026-08-21,2026-08-23T23:05:58+00:00,YF-20260823T230553979943-f188b865,
WS:US:STRL,STRL,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,0,1,0.0,2024-08-22,2026-08-21,2026-08-23T23:06:34+00:00,YF-20260823T230632999374-221e5dbb-R,NO_DATA_IN_BATCH
WS:US:VGNT,VGNT,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,102,102,0,0,0.0,2026-03-27,2026-08-21,2026-08-23T23:06:17+00:00,YF-20260823T230613076378-9776054c,
WS:US:VIR,VIR,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,0,1,0.0,2024-08-22,2026-08-21,2026-08-23T23:06:34+00:00,YF-20260823T230632999374-221e5dbb-R,NO_DATA_IN_BATCH
WS:US:VRRM,VRRM,EXPLICIT,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,501,0,1,0.0,2024-08-22,2026-08-21,2026-08-23T23:06:34+00:00,YF-20260823T230632999374-221e5dbb-R,NO_DATA_IN_BATCH
WS:US:VSNT,VSNT,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,172,172,0,0,0.0,2025-12-15,2026-08-21,2026-08-23T23:06:17+00:00,YF-20260823T230613076378-9776054c,
WS:XAMS:CSG.AS,CSG.AS,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,148,148,0,0,0.0,2026-01-23,2026-08-21,2026-08-23T23:01:56+00:00,YF-20260823T230152070161-055d3901,
WS:XAMS:MICCT.AS,MICC.AS,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,179,179,0,0,0.0,2025-12-08,2026-08-21,2026-08-23T23:01:56+00:00,YF-20260823T230152070161-055d3901,
WS:XASX:ASK,ASK.AX,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,26,26,0,0,0.0,2026-07-17,2026-08-21,2026-08-23T23:00:39+00:00,YF-20260823T230033613015-0204f4e9,
WS:XASX:L1G,L1G.AX,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,224,224,0,0,0.004464285714285714,2025-10-03,2026-08-21,2026-08-23T23:00:39+00:00,YF-20260823T230033613015-0204f4e9,
