WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes,Identity_Audit_Status,Identity_Audit_Issues,Yahoo_Mapping_Confidence,Resolved_Exchange_Ticker_Candidate,Audit_UTC,Duplicate_ISIN_Group,Duplicate_Name_Group,Remediation_Method,Remediation_UTC,Source_Primary_Ticker,Primary_Ticker_Resolved_Candidate,Canonical_WS_ID_Candidate,Provider_Listing_Type,Final_Remediation_UTC,Final_Resolved_Ticker_Candidate,Evidence_Freeze_Status,Evidence_Primary_URL,Evidence_Provider_URL,Evidence_Note,Evidence_Frozen_UTC,Data_Remediation_Status,Current_Exchange_Ticker,Data_Remediation_Effective_Date,Data_Remediation_Evidence_URL,Data_Remediation_Evidence_Note,Data_Remediation_UTC
WS:BVMF:AUAU3,AUAU3,,UNVERIFIED_EQUITY_SECURITY,Brazil,AUAU3,B3,BVMF,BRL,AUAU3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,AUAU3,2026-08-23T21:48:44.264504+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.289553+00:00,AUAU3,AUAU3,,PRIMARY,2026-08-23T22:24:59.762332+00:00,AUAU3,,,,,,,,,,,
WS:BVMF:NATU3,NATU3,,UNVERIFIED_EQUITY_SECURITY,Brazil,NATU3,B3,BVMF,BRL,NATU3.SA,,BR_IBRX100,BR_IBRX100,True,ACTIVE_SOURCE_CAPTURED,DERIVED_RULE,NOT_VERIFIED,BR_IBRX100_DDM,2026-08-23,2026-08-23T21:30:44.679187+00:00,,Source-superset capture; source=https://www.dadosdemercado.com.br/b3/ibxx; identity/provider mapping pending,AUDITED_NO_CRITICAL_IDENTITY_ISSUE,ISIN_NOT_VERIFIED,0.93,NATU3,2026-08-23T21:48:44.359709+00:00,,,CARRY_FORWARD,2026-08-23T22:04:36.355299+00:00,NATU3,NATU3,,PRIMARY,2026-08-23T22:24:59.795718+00:00,NATU3,,,,,,,,,,,
WS:SRC:ZA_TOP40:2DF0FDC7A9EB6AF3,AB InBev,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,ANH.JO,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit,REVIEW_REQUIRED,MISSING_PRIMARY_TICKER;TEMPORARY_SOURCE_ID;ISIN_NOT_VERIFIED,0.32,,2026-08-23T21:49:48.432371+00:00,,,JSE_REVALIDATION_REVIEW,2026-08-23T22:05:08.882946+00:00,,,,PRIMARY,2026-08-23T22:25:59.813282+00:00,ANH,,,,,,,,,,,
WS:SRC:ZA_TOP40:3598A879F2EA6E99,Sanlam,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,SLM.JO,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit,REVIEW_REQUIRED,MISSING_PRIMARY_TICKER;TEMPORARY_SOURCE_ID;ISIN_NOT_VERIFIED,0.65,,2026-08-23T21:49:49.098262+00:00,,,JSE_REVALIDATION_REVIEW,2026-08-23T22:05:09.585863+00:00,,,,PRIMARY,2026-08-23T22:26:00.916188+00:00,SLM,,,,,,,,,,,
WS:SRC:ZA_TOP40:5F247CB49B9B155E,Vodacom,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,VOD.JO,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,SECOND_PASS_REVALIDATED_JSE,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit,REVIEW_REQUIRED,MISSING_PRIMARY_TICKER;TEMPORARY_SOURCE_ID;ISIN_NOT_VERIFIED,0.9,VOD,2026-08-23T21:49:49.830596+00:00,,,JSE_UNIQUE_MARKET_SEARCH,2026-08-23T22:05:10.316546+00:00,,VOD,WS:XJSE:VOD,PRIMARY,2026-08-23T22:26:00.918132+00:00,VOD,,,,,,,,,,,
WS:SRC:ZA_TOP40:670585B513E60D68,Woolworths Holdings,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,WHL.JO,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,SECOND_PASS_REVALIDATED_JSE,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit,REVIEW_REQUIRED,MISSING_PRIMARY_TICKER;TEMPORARY_SOURCE_ID;ISIN_NOT_VERIFIED;POSSIBLE_DUPLICATE,0.9,WHL,2026-08-23T21:49:50.080866+00:00,,NAME:e26419b5a92f,JSE_UNIQUE_MARKET_SEARCH,2026-08-23T22:05:10.527703+00:00,,WHL,WS:XJSE:WHL,PRIMARY,2026-08-23T22:26:00.918704+00:00,WHL,,,,,,,,,,,
WS:SRC:ZA_TOP40:72B40FB15EDACCA3,Clicks,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,CLS.JO,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,SECOND_PASS_REVALIDATED_JSE,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit,REVIEW_REQUIRED,MISSING_PRIMARY_TICKER;TEMPORARY_SOURCE_ID;ISIN_NOT_VERIFIED,0.9,CLS,2026-08-23T21:49:50.320647+00:00,,,JSE_UNIQUE_MARKET_SEARCH,2026-08-23T22:05:10.743489+00:00,,CLS,WS:XJSE:CLS,PRIMARY,2026-08-23T22:26:00.919327+00:00,CLS,,,,,,,,,,,
WS:SRC:ZA_TOP40:92DB8C1EE0FA61A7,Exxaro,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,EXX.JO,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,SECOND_PASS_REVALIDATED_JSE,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit,REVIEW_REQUIRED,MISSING_PRIMARY_TICKER;TEMPORARY_SOURCE_ID;ISIN_NOT_VERIFIED,0.65,,2026-08-23T21:49:51.455499+00:00,,,JSE_UNIQUE_MARKET_SEARCH,2026-08-23T22:05:11.800646+00:00,,EXX,WS:XJSE:EXX,PRIMARY,2026-08-23T22:26:01.974226+00:00,EXX,,,,,,,,,,,
WS:SRC:ZA_TOP40:CCFFACA1ACD941D3,Standard Bank,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,SBK.JO,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,CURATED_CANDIDATE_YAHOO_SEARCH_VERIFIED,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit,REVIEW_REQUIRED,MISSING_PRIMARY_TICKER;TEMPORARY_SOURCE_ID;ISIN_NOT_VERIFIED,0.9,,2026-08-23T21:49:53.594251+00:00,,,JSE_REVALIDATION_REVIEW,2026-08-23T22:05:14.005808+00:00,,,,PRIMARY,2026-08-23T22:26:05.640571+00:00,SBK,,,,,,,,,,,
WS:SRC:ZA_TOP40:DE0F69D92EFF3FE9,Old Mutual,,UNVERIFIED_EQUITY_SECURITY,South Africa,,Johannesburg Stock Exchange,XJSE,ZAR,OMU.JO,,ZA_TOP40,ZA_TOP40,True,ACTIVE_SOURCE_CAPTURED,SECOND_PASS_REVALIDATED_JSE,NOT_VERIFIED,ZA_TOP40_WIKI,2026-08-23,2026-08-23T21:30:45.298768+00:00,,Source-superset capture; source=https://en.wikipedia.org/wiki/FTSE/JSE_Top_40_Index; name-only source identity; real primary ticker pending one-shot audit,REVIEW_REQUIRED,MISSING_PRIMARY_TICKER;TEMPORARY_SOURCE_ID;ISIN_NOT_VERIFIED,0.9,OMU,2026-08-23T21:49:54.055445+00:00,,,JSE_UNIQUE_MARKET_SEARCH,2026-08-23T22:05:14.434778+00:00,,OMU,WS:XJSE:OMU,PRIMARY,2026-08-23T22:26:05.641954+00:00,OMU,,,,,,,,,,,
