Source_ID,Source_Name,Coverage_Route,Primary_MICs,Probe_Status,Official_Semantics_Strength_v0_25,Materialization_Status_v0_25,Error,Materialization_State_v0_26,Instrument_Decision_Changes_v0_26
EU_LSE_REPORTS,London Stock Exchange Issuers and Instruments Reports,EU_PRIMARY_EXCHANGES,XLON,HTTP_OK,EQUITY_SEMANTICS_ONLY,RAW_OFFICIAL_PAGE_SAVED,,OFFICIAL_PAGE_MATERIALIZED_CANDIDATE_LINKS_RANKED_NO_SECURITY_CLASS_DECISION,0
EU_XETRA_SHARES,Deutsche Boerse Xetra List of Tradable Shares,EU_PRIMARY_EXCHANGES,XETR,HTTP_OK,IDENTIFIER_PLUS_EQUITY_SEMANTICS,RAW_OFFICIAL_PAGE_SAVED,,OFFICIAL_PAGE_MATERIALIZED_CANDIDATE_LINKS_RANKED_NO_SECURITY_CLASS_DECISION,0
EU_EURONEXT_EQUITIES,Euronext Stocks All Markets,EU_PRIMARY_EXCHANGES,XPAR;XAMS;XBRU;XLIS;XMIL;XOSL;XDUB,HTTP_OK,IDENTIFIER_PLUS_EQUITY_SEMANTICS,RAW_OFFICIAL_PAGE_SAVED,,OFFICIAL_PAGE_MATERIALIZED_CANDIDATE_LINKS_RANKED_NO_SECURITY_CLASS_DECISION,0
EU_SIX_EQUITIES,SIX Swiss Exchange Equities,EU_PRIMARY_EXCHANGES,XSWX,HTTP_OK,IDENTIFIER_PLUS_EQUITY_SEMANTICS,RAW_OFFICIAL_PAGE_SAVED,,OFFICIAL_PAGE_MATERIALIZED_CANDIDATE_LINKS_RANKED_NO_SECURITY_CLASS_DECISION,0
EU_NASDAQ_NORDIC_EQUITIES,Nasdaq Nordic European Equities Market,EU_PRIMARY_EXCHANGES,XSTO;XCSE;XHEL,HTTP_OK,IDENTIFIER_PLUS_EQUITY_SEMANTICS,RAW_OFFICIAL_PAGE_SAVED,,OFFICIAL_PAGE_MATERIALIZED_CANDIDATE_LINKS_RANKED_NO_SECURITY_CLASS_DECISION,0
EU_GPW_LISTED_COMPANIES,Warsaw Stock Exchange Listed Companies,EU_PRIMARY_EXCHANGES,XWAR,HTTP_OK,CAPABILITY_ONLY,RAW_OFFICIAL_PAGE_SAVED,,OFFICIAL_PAGE_MATERIALIZED_CANDIDATE_LINKS_RANKED_NO_SECURITY_CLASS_DECISION,0
EU_VIENNA_COMPANIES,Vienna Stock Exchange Companies List,EU_PRIMARY_EXCHANGES,XWBO,HTTP_OK,STRONG_PAGE_LEVEL_SECURITY_TYPE_SEMANTICS,RAW_OFFICIAL_PAGE_SAVED,,OFFICIAL_PAGE_MATERIALIZED_CANDIDATE_LINKS_RANKED_NO_SECURITY_CLASS_DECISION,0
HKEX_FULL_LIST,HKEX Full List of Securities,HK_HSI,XHKG,HTTP_OK,BULK_IDENTIFIER_PLUS_CATEGORY_SUBCATEGORY,PARSED_OFFICIAL_BULK_REFERENCE,,OFFICIAL_BULK_IDENTITY_AND_CATEGORY_MATERIALIZED_NO_INSTRUMENT_DECISION,0
TMX_LISTED_DIRECTORY,TMX TSX Listed Company Directory,CA_TSX,XTSE,HTTP_OK,EQUITY_SEMANTICS_ONLY,RAW_OFFICIAL_PAGE_SAVED,,OFFICIAL_PAGE_MATERIALIZED_CANDIDATE_LINKS_RANKED_NO_SECURITY_CLASS_DECISION,0
KRX_DATA_MARKETPLACE,KRX Data Marketplace Main,KR_KOSPI200,XKRX,ERROR,NOT_VERIFIED,NOT_MATERIALIZED,RuntimeError: Official endpoint resolved to error landing page: https://data.krx.co.kr/comm/error/503.html,BLOCKED_HTTP200_ERROR_503_CARRIED_FORWARD,0
BMV_LISTED_COMPANIES,BMV Empresas Listadas,MX_IPC,XMEX,HTTP_OK,CAPABILITY_ONLY,RAW_OFFICIAL_PAGE_SAVED,,OFFICIAL_PAGE_MATERIALIZED_CANDIDATE_LINKS_RANKED_NO_SECURITY_CLASS_DECISION,0
