Research_Partial_Rank_v0_16,WS_ID,Name,Country,Primary_Ticker,Primary_MIC,Primary_Currency,Primary_Universe_Index,Yahoo_Symbol,Scalable_Tradeability_Status,Yahoo_Symbol_v0_19,Yahoo_Mapping_Status_v0_19,Cache_Status_v0_19,Cache_Reason_v0_19,AsOf,Bars,Bars_Raw,Bars_Used,Excluded_Invalid_Bars,Yahoo_Symbol_Observed,Close_Raw,Close_Tech,EMA20,EMA50,SMA200,ATR14_Wilder_DEV,ATR14_Pct_DEV,R5,R20,R60,High20,High60,High252,Low20,Low60,Dist_EMA20,Dist_EMA50,Dist_SMA200,Dist_High252,Range20_Pct,MedianVolume20_Tech,MedianTurnover20_Native,RVOL20_Current,TrueRange_Current,TrueRange_ATR14_Ratio,Range_Current_Pct,Close_Location_0_1,Gap_Pct,Range5_Pct,Range10_Pct,Range5_to_Range20,TR_Mean5,TR_Mean20,TR_Mean5_to_20,EMA20_Slope5_Pct,EMA50_Slope10_Pct,Consecutive_Close_Above_EMA20,Consecutive_Close_Above_EMA50,Consecutive_Close_Above_SMA200,Days_Since_Cross_Above_EMA20,Days_Since_Cross_Below_EMA20,Days_Since_Cross_Above_EMA50,Days_Since_Cross_Below_EMA50,RecentLow10,PriorLow10,RecentLow10_vs_Prior10_Pct,HigherLow10_Proxy,Distance_Low20_ATR,Distance_Low60_ATR,Distance_High20_ATR,Max_Daily_Return5,Min_Daily_Return5,Max_Daily_Return20,Min_Daily_Return20,Max_TR_Preceding_ATR14_20,Max_Volume_PrecedingMedian20_20,Impulse_Return20_Max,Impulse_Days_Ago,PostImpulse_Min_vs_ImpulseClose,PostImpulse_Latest_vs_ImpulseClose,PostImpulse_Range_Pct,ReturnStd5,ReturnStd20,ReturnStd5_to_20,AsOf_Age_Calendar_Days,Obs_R20_Warning_18pct,Obs_R60_Warning_30pct,HomeMarket_RS_Status,Sector_RS_Status,Feature_Status_v0_19,Core_Feature_Complete_v0_19
1,WS:US:MU,Micron Technology,,MU,,USD,US_SP1500,MU,NOT_VERIFIED,MU,EXPLICIT,READY,,2026-08-21,329,329,329,0,MU,966.780029296875,966.780029296875,928.3240190621239,907.0941537208586,571.0984007263183,66.73968945409452,0.0690329624440353,-0.0050222752634994094,0.04976384872400774,0.041328784978886146,1036.1300048828125,1255.0,1255.0,737.8800048828125,737.8800048828125,0.041425202240918946,0.0657989860602537,0.6928431739037124,-0.22965734717380482,0.30849830464217687,36244400.0,33497978866.897583,0.5937564617410515,31.70001220703125,0.47497991774198217,0.03278927082315323,0.2687702287180889,0.01575439052138128,0.12510603088791195,0.19809057279028347,0.40553231251309724,54.86201171875,70.2594970703125,0.7808483408847432,0.026468660723874438,0.019765652396917632,8,8,130,7,20,7,11,844.6199951171875,737.8800048828125,0.14465765372152495,True,3.4297436246164517,3.4297436246164517,1.0391114515694355,0.04125931700749952,-0.07016554507968864,0.1835723587882696,-0.09936263925250777,1.6958079516277251,1.6408948028699097,0.1835723587882696,16,-0.059028588746366184,0.1053209921349878,0.3041525135081441,0.045491787997147155,0.06263657012696584,0.7262815940421737,0,False,False,NOT_IMPLEMENTED_V0_19,NOT_IMPLEMENTED_V0_19,DEV_AUGMENTED_FEATURES_THRESHOLD_NEUTRAL,True
2,WS:US:SNDK,Sandisk,,SNDK,,USD,US_SP1500,SNDK,NOT_VERIFIED,SNDK,EXPLICIT,READY,,2026-08-21,329,329,329,0,SNDK,1596.0799560546875,1596.0799560546875,1497.34881041944,1511.4874939412223,939.2142988586426,154.4756465469294,0.09678440353876389,-0.027438763823759538,0.11104297137224584,0.0038617903032278633,1827.989990234375,2354.389892578125,2354.389892578125,998.1900024414062,998.1900024414062,0.06593730528799813,0.05596636588298143,0.6993778288877044,-0.3220834148642501,0.5198987586086425,17203700.0,24498397740.844727,0.4403994489557479,44.050048828125,0.28515853348276926,0.027598898577118454,0.5918255934467297,0.0026146484527975744,0.17918274654692545,0.39721066483152273,0.3446493063889128,130.3960205078125,156.89905700683593,0.8310822448227415,0.060033116734063086,0.00727576230373006,7,7,130,6,29,6,27,1194.010009765625,998.1900024414062,0.19617508374685744,True,3.870447976611274,3.870447976611274,1.501272461800208,0.08880574217160353,-0.09014184094344291,0.2599395037665051,-0.14248610004908668,1.5196376493852368,2.039132798799213,0.2599395037665051,16,-0.052931343219811966,0.2469764717371683,0.5521461585941333,0.06630083478209989,0.09644873457864526,0.6874204733918776,0,False,False,NOT_IMPLEMENTED_V0_19,NOT_IMPLEMENTED_V0_19,DEV_AUGMENTED_FEATURES_THRESHOLD_NEUTRAL,True
3,WS:US:NVDA,Nvidia,,NVDA,,USD,US_SP1500,NVDA,NOT_VERIFIED,NVDA,EXPLICIT,READY,,2026-08-21,329,329,329,0,NVDA,214.72000122070312,214.72000122070312,215.45176433333808,210.54129439831348,195.28750022888184,6.263411267003265,0.02917013427438148,-0.04636703798012565,0.038097104149720895,0.009971754733418381,227.9199981689453,232.27999877929688,236.5399932861328,190.00999450683594,189.8000030517578,-0.003396412718638997,0.01984744529253324,0.09950714187567522,-0.09224652356794028,0.17655553020951698,111362100.0,24664584572.758484,0.8643275078744667,4.2400054931640625,0.6769482814422781,0.019746672266483037,0.051887013131898384,0.007239990874984059,0.06249999111704256,0.06249999111704256,0.3539962245468853,4.78599853515625,6.650999450683594,0.7195908781295031,0.008707789154686951,0.023017075914052443,0,15,17,14,0,14,19,214.5,190.00999450683594,0.12888798590162054,True,3.945135591533607,3.978662282681033,2.1074772812352363,-0.0006662335798259811,-0.023421133026656604,0.0343493379986608,-0.049941993879074276,1.834823252755954,1.211942955997297,0.0343493379986608,12,-0.020527324034952277,-0.020527324034952277,0.061217033547201385,0.008817260955402738,0.02402290669794111,0.3670355576146172,0,False,False,NOT_IMPLEMENTED_V0_19,NOT_IMPLEMENTED_V0_19,DEV_AUGMENTED_FEATURES_THRESHOLD_NEUTRAL,True
4,WS:XTKS:285A,KIOXIA HOLDINGS CORP.,Japan,285A,XTKS,JPY,JP_N225,285A.T,NOT_VERIFIED,285A.T,EXPLICIT,READY,,2026-08-21,320,320,320,0,285A.T,54320.0,54320.0,54641.19169901864,59284.04434036649,36057.315,6680.396213458835,0.12298225724335116,0.010792705619650178,-0.12217194570135748,-0.10289017341040463,63350.0,112700.0,112700.0,36020.0,36020.0,-0.005878197181127809,-0.08373322696856689,0.5064904305825322,-0.5180124223602485,0.5031296023564065,46417950.0,2413868833500.0,0.8583963746783303,3560.0,0.532902523480232,0.06553755522827688,0.6769662921348315,-0.018885741265344702,0.2534977908689249,0.35309278350515466,0.5038419319429198,6044.0,6469.0,0.93430205595919,0.002855698889095093,-0.049854608972559444,0,0,121,4,2,4,3,44170.0,36020.0,0.22626318711826765,True,2.739358477440519,2.739358477440519,1.3517162323108134,0.15072571641235588,-0.12598425196850394,0.17721518987341778,-0.1833180568285976,1.2662565248084294,2.0321768193256275,0.17721518987341778,14,0.0,0.16817204301075273,0.4124731182795699,0.10997281067217039,0.09381253999741682,1.1722613061665164,0,False,False,NOT_IMPLEMENTED_V0_19,NOT_IMPLEMENTED_V0_19,DEV_AUGMENTED_FEATURES_THRESHOLD_NEUTRAL,True
5,WS:US:AAPL,Apple Inc.,,AAPL,,USD,US_SP1500,AAPL,NOT_VERIFIED,AAPL,EXPLICIT,READY,,2026-08-21,329,329,329,0,AAPL,309.3500061035156,309.3500061035156,312.0379496129457,309.3800142493795,281.5015495300293,7.633398170518293,0.024675603749508196,0.01117907204135693,-0.07107676323052337,-0.004825478431872643,344.57000732421875,344.57000732421875,344.57000732421875,300.0,273.75,-0.008614155787025957,-9.699445498012604e-05,0.09892825321913756,-0.1022143554925351,0.1440763098265613,48157800.0,14938402583.05664,0.9672479216574743,5.3699951171875,0.7034868347268314,0.017358962376715054,0.43575390420767884,0.0024092516203335634,0.05605300144098999,0.06371421065523661,0.3890507850212603,7.05999755859375,8.101499938964844,0.8714432650475129,-0.002631385836101896,-0.0017824339850995852,0,0,100,2,1,3,0,300.57000732421875,300.0,0.0019000244140625622,True,1.2248812251962977,4.663716644706148,4.613934768492727,0.021933322000267097,-0.017454152112068244,0.021933322000267097,-0.07353864245054431,4.1476662107449425,2.7113624642889302,0.021933322000267097,2,-0.023608814776892584,-0.023608814776892584,0.04188362710625286,0.015892017959280823,0.0204889684735123,0.7756377769737742,0,False,False,NOT_IMPLEMENTED_V0_19,NOT_IMPLEMENTED_V0_19,DEV_AUGMENTED_FEATURES_THRESHOLD_NEUTRAL,True
6,WS:US:MSFT,Microsoft,,MSFT,,USD,US_SP1500,MSFT,NOT_VERIFIED,MSFT,EXPLICIT,READY,,2026-08-21,329,329,329,0,MSFT,483.239990234375,483.239990234375,469.98079558294916,440.53449416768285,431.3127993774414,12.329011038453672,0.02551322590763651,-0.02454582925297788,0.2660203688237486,0.1710082499585317,513.72998046875,513.72998046875,553.719970703125,387.989990234375,349.20001220703125,0.028212205213576036,0.09694018659623271,0.12039334546038405,-0.12728451960880705,0.26020195508527794,29318650.0,14258382571.73462,0.767797971598283,7.829986572265625,0.6350863461671195,0.01620310142061716,0.6015325073176055,-0.0026394867084734708,0.03209587384955978,0.07569734978788502,0.12334985661057296,9.337994384765626,14.821498107910156,0.6300304002185844,0.017227946845388198,0.05797774345690443,19,17,17,18,22,16,22,477.1499938964844,387.989990234375,0.22979975232930627,True,7.7256804866926645,10.871916458609586,2.473028058720849,0.005564422167662286,-0.030379467053674447,0.15506733300956488,-0.030379467053674447,5.736040304244144,3.693612498386402,0.15506733300956488,16,0.0,0.07124802415428055,0.1802038947627277,0.015033408360357112,0.03803043175503623,0.3952994395959308,0,True,False,NOT_IMPLEMENTED_V0_19,NOT_IMPLEMENTED_V0_19,DEV_AUGMENTED_FEATURES_THRESHOLD_NEUTRAL,True
7,WS:US:AMD,Advanced Micro Devices,,AMD,,USD,US_SP1500,AMD,NOT_VERIFIED,AMD,EXPLICIT,READY,,2026-08-21,329,329,329,0,AMD,473.25,473.25,487.9116903770157,485.5224871975633,329.8632504272461,28.39986064276053,0.060010270771813055,-0.07997825283711013,-0.093303977522879,-0.04498124906276102,530.1300048828125,584.72998046875,584.72998046875,424.0299987792969,424.0299987792969,-0.03004988539152731,-0.025276866718161983,0.43468543218147593,-0.1906520688051292,0.22419441331963152,24548800.0,11954577291.81366,0.5709514862992978,15.25,0.5369744658901138,0.03222398309561542,0.7304927638319673,0.014995971271378306,0.12061275556738642,0.12061275556738642,0.5379828773673773,19.76400146484375,30.439999389648438,0.6492773278952425,-0.012537640094109181,-0.0034184177983250796,0,0,130,5,3,5,3,460.2699890136719,424.0299987792969,0.08546562823079307,True,1.733107138793299,1.733107138793299,2.00282690110002,0.008073123618425715,-0.042707480931941655,0.12997024259045054,-0.08148301059738983,1.7972109268181087,1.8291943784931648,0.12997024259045054,16,-0.03908197665426405,-0.02501084546873178,0.15416472286526595,0.023688690855446747,0.05074944419555839,0.4667773456624376,0,False,False,NOT_IMPLEMENTED_V0_19,NOT_IMPLEMENTED_V0_19,DEV_AUGMENTED_FEATURES_THRESHOLD_NEUTRAL,True
8,WS:US:TSLA,"Tesla, Inc.",,TSLA,,USD,US_SP1500,TSLA,NOT_VERIFIED,TSLA,EXPLICIT,READY,,2026-08-21,329,329,329,0,TSLA,362.8599853515625,362.8599853515625,342.09640662718806,358.78015090957854,403.3203997802734,13.85911742350604,0.0381941188970683,0.06015717707890578,0.15918597823398528,-0.175992375733521,366.5,443.9599914550781,498.8299865722656,297.3800048828125,297.3800048828125,0.06069510910414877,0.01137140511157253,-0.10031829396865,-0.2725778419116853,0.19048668331455595,35669450.0,11568888367.480469,1.6603564114389204,21.3699951171875,1.5419448774524762,0.054015341715140774,0.8142850247488139,0.013762929715753991,0.09750318665899199,0.11811714457860913,0.5118635327278089,13.365997314453125,11.814501953125,1.1313212666504107,0.011683602453817166,-0.02269616284009146,3,1,0,2,3,0,29,323.6400146484375,297.3800048828125,0.08830455758440525,True,4.724686173572016,4.724686173572016,0.2626440441484231,0.05137188948486271,-0.01705966711572726,0.05137188948486271,-0.029664308628561287,1.6090218906322489,1.6603564114389204,0.05137188948486271,0,0.0,0.0,0.054015341715140774,0.032044418907545606,0.023514193655595827,1.3627692013125776,0,False,False,NOT_IMPLEMENTED_V0_19,NOT_IMPLEMENTED_V0_19,DEV_AUGMENTED_FEATURES_THRESHOLD_NEUTRAL,True
9,WS:US:INTC,Intel,,INTC,,USD,US_SP1500,INTC,NOT_VERIFIED,INTC,EXPLICIT,READY,,2026-08-21,329,329,329,0,INTC,90.06999969482422,90.06999969482422,97.87350961142353,101.18818624828658,71.50794992446899,6.501139152790268,0.07217874069964995,-0.12126829566025155,-0.024371750513839552,-0.2603268278076871,107.56999969482422,142.35000610351562,142.35000610351562,81.79000091552734,81.79000091552734,-0.07973056190158845,-0.1098763300903679,0.2595802255548032,-0.36726381571542654,0.28622181488447695,109654050.0,10048702822.473907,0.8072883963537764,3.0199966430664062,0.4645334566896993,0.033529439916717876,0.10596028163107542,0.0062954721409498315,0.18008217248428826,0.1978461169668265,0.6291699762890955,5.059999084472656,6.46150016784668,0.7830997373724313,-0.022384527980689573,-0.01768126627971145,0,0,130,7,3,4,3,89.75,81.79000091552734,0.0973223987696703,True,1.2736227582120168,1.2736227582120168,2.6918359365510667,0.009658515744092933,-0.06570678870159552,0.11297020408258351,-0.06570678870159552,1.4522529842089678,1.5136247223021795,0.11297020408258351,16,-0.011631708444433175,-0.011631708444433175,0.24086467255345956,0.029211362057596762,0.04717703246763401,0.6191860854672734,0,False,False,NOT_IMPLEMENTED_V0_19,NOT_IMPLEMENTED_V0_19,DEV_AUGMENTED_FEATURES_THRESHOLD_NEUTRAL,True
10,WS:US:AMZN,Amazon,,AMZN,,USD,US_SP1500,AMZN,NOT_VERIFIED,AMZN,EXPLICIT,READY,,2026-08-21,329,329,329,0,AMZN,258.6300048828125,258.6300048828125,260.7755597888177,254.82811194905935,238.3259999847412,7.481783497975846,0.028928520885911545,-0.015305498218500801,0.11425618974936236,-0.048629762456835035,287.20001220703125,287.20001220703125,287.20001220703125,226.16000366210938,225.5500030517578,-0.008227591986544769,0.014919440813159435,0.08519425030995897,-0.09947773715143071,0.23601286545456948,35727450.0,9400676864.523315,1.0098474472538952,4.04998779296875,0.5413131500082101,0.015659388765831075,0.392592871675081,0.002422071117189173,0.03619063981305491,0.08931680650890618,0.15334180932615857,6.00999755859375,8.625499725341797,0.6967709408112694,0.0004666769705303775,0.019062593313175613,0,16,17,2,1,15,22,257.0400085449219,226.16000366210938,0.1365405216783966,True,4.339874473711743,4.421405917453277,3.8186092035339168,0.02462896060980113,-0.021554360010767937,0.15320588778032107,-0.023237715094833633,5.139793311852045,3.3033504531219404,0.15320588778032107,15,-0.04768385864106084,-0.04768385864106084,0.11105385209997423,0.01685399414973962,0.03965436785017644,0.4250223887925282,0,False,False,NOT_IMPLEMENTED_V0_19,NOT_IMPLEMENTED_V0_19,DEV_AUGMENTED_FEATURES_THRESHOLD_NEUTRAL,True
