Field,Rows_Present,Rows_Missing,Coverage_Pct,Min,P05,P25,Median,P75,P95,Max
Close_Tech,2037,0,100.0,1.2699999809265137,8.760000228881836,34.61000061035156,85.88999938964844,259.82000732421875,4899.599999999999,470258.0
EMA20,2037,0,100.0,1.2241712244329475,8.851258480509463,34.41577893811309,86.95036565418188,257.1224706527975,4846.645799982223,474762.9853318175
EMA50,2037,0,100.0,1.3661434733007947,8.97999404786594,34.27499668066353,85.69314638358615,252.1280989443239,4721.849732098161,468260.70872937446
SMA200,2037,0,100.0,1.563500006198883,9.159220035552979,33.585899934768676,81.38940006256104,234.18130012512208,4271.906999999994,438014.265
ATR14_Wilder_DEV,2037,0,100.0,0.024607319528614197,0.24182363917385097,1.088525602250755,2.8315714411725574,9.000309461893577,162.0725369057968,9405.773987303544
R5,2037,0,100.0,-0.23420778670854558,-0.09938039688154189,-0.04146337605600536,-0.0134529018534425,0.014637344199954105,0.0722034358107467,0.8981714347388137
R20,2037,0,100.0,-0.40841712272057196,-0.14209211329006713,-0.04601812851351905,0.009331235400655169,0.08211145554013011,0.2610093235305459,3.0099342585829074
R60,2037,0,100.0,-0.6775073297790677,-0.23163423127400465,-0.06293706652450304,0.03560437212933554,0.14967616720194576,0.4183050699411977,8.400723026451198
High20,2037,0,100.0,1.340000033378601,9.319999885559083,37.33000183105469,93.91000366210938,280.1099853515625,5395.799999999981,491185.0
High60,2037,0,100.0,1.600000023841858,9.864000320434572,38.900001525878906,96.8499984741211,299.32000732421875,5582.399999999991,491185.0
High252,2037,0,100.0,1.9299999475479126,12.488000106811525,43.470001220703125,108.56999969482422,326.6300048828125,5930.199999999998,491185.0
Low20,2037,0,100.0,0.9399999976158142,8.268000411987305,31.649999618530273,79.31999969482422,235.25999450683594,4329.799999999994,452501.0
Low60,2037,0,100.0,0.9399999976158142,7.796000194549561,29.219999313354492,73.91999816894531,215.77999877929688,3936.560009765619,428527.0
Dist_EMA20,2037,0,100.0,-0.2505096245019436,-0.07476830619682281,-0.02879299084282838,-0.004595178107151154,0.02623876278551407,0.08885935836373271,0.7870042348198756
Dist_EMA50,2037,0,100.0,-0.36037289979336196,-0.11111387817494574,-0.03824207768104826,0.003080634864875087,0.055304313256288706,0.16561480825502997,0.9250406292265587
Dist_SMA200,2037,0,100.0,-0.6038540619792825,-0.21059511345397777,-0.049985435519485866,0.04963560911376952,0.160710715371567,0.43255683670623796,3.1189942706820935
Dist_High252,2037,0,100.0,-0.827049665566661,-0.4861326751987821,-0.29149648319762567,-0.1620543505360259,-0.08421264378137239,-0.02186241818422008,-0.00024168048806738618
Range20_Pct,2037,0,100.0,0.008205410794190612,0.06809335118843989,0.10683069165439558,0.15117578995306538,0.2262903028918851,0.3756210430961816,0.9606264364319115
MedianVolume20_Tech,2037,0,100.0,25450.0,299310.0,881171.5,2264400.0,7841665.5,68821237.99999978,1737671412.5
MedianTurnover20_Native,2037,0,100.0,17325390.740299225,25706387.10918427,67622923.24256897,222155428.78917217,1209710501.3226929,17457770924.99997,2413868833500.0
RVOL20_Current,2037,0,100.0,0.0,0.516831026723137,0.7001618981538168,0.8758702246902155,1.099700989535602,1.754372761190775,8.36717482971132
TrueRange_Current,2037,0,100.0,0.0,0.1700000762939453,0.8649978637695312,2.3499984741210938,7.079986572265625,128.0,14269.0
TrueRange_ATR14_Ratio,2037,0,100.0,0.0,0.43774465639105214,0.6086330041115009,0.7502612728366478,0.9606176747545688,1.4822879912911497,10.974067435786559
Range_Current_Pct,2037,0,100.0,0.0,0.010743400147281364,0.01728724930460719,0.02371364653243848,0.03306966854915077,0.05537448399775828,0.20622567515829557
Close_Location_0_1,2036,1,99.9509,0.0,0.04121747206498848,0.2621782187425603,0.532846054785064,0.7927898806665754,0.9671303289855417,1.0
Gap_Pct,2037,0,100.0,-0.10128844380219171,-0.012565921345412966,-0.0013079566328692005,0.0028495702545241475,0.007831944185099138,0.015845722353227076,1.0160404350922785
