ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:BVMF:ABEV3,ABEV3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:43:33+00:00,YF-20260825T044328947917-13051dab,
WS:BVMF:ALOS3,ALOS3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:52+00:00,YF-20260825T044450517692-ee48d6b0,
WS:BVMF:AXIA3,AXIA3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:43:17+00:00,YF-20260825T044312246573-336293b2,
WS:BVMF:B3SA3,B3SA3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:43:33+00:00,YF-20260825T044328947917-13051dab,
WS:BVMF:BBAS3,BBAS3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:43:41+00:00,YF-20260825T044337004104-f2db9538,
WS:BVMF:BBSE3,BBSE3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:14+00:00,YF-20260825T044409795825-cc6a5627,
WS:BVMF:BRAV3,BRAV3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:38+00:00,YF-20260825T044434267498-4a99094f,
WS:BVMF:CPLE3,CPLE3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:14+00:00,YF-20260825T044409795825-cc6a5627,
WS:BVMF:CSAN3,CSAN3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:46+00:00,YF-20260825T044442369684-4d105dcc,
WS:BVMF:CSMG3,CSMG3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:14+00:00,YF-20260825T044409795825-cc6a5627,
WS:BVMF:CURY3,CURY3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:46+00:00,YF-20260825T044442369684-4d105dcc,
WS:BVMF:CXSE3,CXSE3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:46+00:00,YF-20260825T044442369684-4d105dcc,
WS:BVMF:CYRE3,CYRE3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:38+00:00,YF-20260825T044434267498-4a99094f,
WS:BVMF:EGIE3,EGIE3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:46+00:00,YF-20260825T044442369684-4d105dcc,
WS:BVMF:EMBJ3,EMBJ3.SA,EXPLICIT,READY,,329,329,0,0,0.00303951367781155,2025-05-02,2026-08-21,2026-08-25T04:43:25+00:00,YF-20260825T044320783393-dbb82b51,
WS:BVMF:ENEV3,ENEV3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:14+00:00,YF-20260825T044409795825-cc6a5627,
WS:BVMF:EQTL3,EQTL3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:43:49+00:00,YF-20260825T044345303752-f3a25080,
WS:BVMF:LREN3,LREN3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:22+00:00,YF-20260825T044417999983-4902e62c,
WS:BVMF:MBRF3,MBRF3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:46+00:00,YF-20260825T044442369684-4d105dcc,
WS:BVMF:MGLU3,MGLU3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:52+00:00,YF-20260825T044450517692-ee48d6b0,
WS:BVMF:MOTV3,MOTV3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:46+00:00,YF-20260825T044442369684-4d105dcc,
WS:BVMF:MULT3,MULT3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:46+00:00,YF-20260825T044442369684-4d105dcc,
WS:BVMF:PETR3,PETR3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:43:33+00:00,YF-20260825T044328947917-13051dab,
WS:BVMF:PRIO3,PRIO3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:43:41+00:00,YF-20260825T044337004104-f2db9538,
WS:BVMF:RADL3,RADL3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:30+00:00,YF-20260825T044426221909-13287f0f,
WS:BVMF:RAIL3,RAIL3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:30+00:00,YF-20260825T044426221909-13287f0f,
WS:BVMF:RDOR3,RDOR3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:22+00:00,YF-20260825T044417999983-4902e62c,
WS:BVMF:RENT3,RENT3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:43:58+00:00,YF-20260825T044353528523-ec32d6e0,
WS:BVMF:SBSP3,SBSP3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:43:41+00:00,YF-20260825T044337004104-f2db9538,
WS:BVMF:SMFT3,SMFT3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:38+00:00,YF-20260825T044434267498-4a99094f,
WS:BVMF:SUZB3,SUZB3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:06+00:00,YF-20260825T044401689036-1c37c147,
WS:BVMF:TIMS3,TIMS3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:30+00:00,YF-20260825T044426221909-13287f0f,
WS:BVMF:TOTS3,TOTS3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:38+00:00,YF-20260825T044434267498-4a99094f,
WS:BVMF:UGPA3,UGPA3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:43:58+00:00,YF-20260825T044353528523-ec32d6e0,
WS:BVMF:VALE3,VALE3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:42:44+00:00,YF-20260825T044239083664-b3ad6bfa,
WS:BVMF:VBBR3,VBBR3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:06+00:00,YF-20260825T044401689036-1c37c147,
WS:BVMF:VIVT3,VIVT3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:44:22+00:00,YF-20260825T044417999983-4902e62c,
WS:BVMF:WEGE3,WEGE3.SA,EXPLICIT,READY,,329,329,0,0,0.0,2025-05-02,2026-08-21,2026-08-25T04:43:58+00:00,YF-20260825T044353528523-ec32d6e0,
WS:ISIN:INE002A01018,RELIANCE.NS,EXPLICIT,READY,,329,329,0,0,0.0121580547112462,2025-05-02,2026-08-21,2026-08-25T04:43:17+00:00,YF-20260825T044312246573-336293b2,
WS:ISIN:INE009A01021,INFY.NS,EXPLICIT,READY,,329,329,0,0,0.0121580547112462,2025-05-02,2026-08-21,2026-08-25T04:43:25+00:00,YF-20260825T044320783393-dbb82b51,
WS:ISIN:INE018A01030,LT.NS,EXPLICIT,READY,,329,329,0,0,0.0121580547112462,2025-05-02,2026-08-21,2026-08-25T04:43:58+00:00,YF-20260825T044353528523-ec32d6e0,
