WS_ID,Yahoo_Symbol,Yahoo_Mapping_Status,Primary_Ticker,Primary_MIC,Primary_Currency
WS:US:MU,MU,EXPLICIT,MU,,USD
WS:US:SNDK,SNDK,EXPLICIT,SNDK,,USD
WS:US:NVDA,NVDA,EXPLICIT,NVDA,,USD
WS:XTKS:285A,285A.T,EXPLICIT,285A,XTKS,JPY
WS:US:AAPL,AAPL,EXPLICIT,AAPL,,USD
WS:US:MSFT,MSFT,EXPLICIT,MSFT,,USD
WS:US:AMD,AMD,EXPLICIT,AMD,,USD
WS:US:TSLA,TSLA,EXPLICIT,TSLA,,USD
WS:US:INTC,INTC,EXPLICIT,INTC,,USD
WS:US:AMZN,AMZN,EXPLICIT,AMZN,,USD
WS:US:META,META,EXPLICIT,META,,USD
WS:US:GOOGL,GOOGL,EXPLICIT,GOOGL,,USD
WS:US:AVGO,AVGO,EXPLICIT,AVGO,,USD
WS:US:PLTR,PLTR,EXPLICIT,PLTR,,USD
WS:US:GOOG,GOOG,EXPLICIT,GOOG,,USD
WS:XSHE:300308,300308.SZ,EXPLICIT,300308,XSHE,CNY
WS:US:MRVL,MRVL,EXPLICIT,MRVL,,USD
WS:US:WDC,WDC,EXPLICIT,WDC,,USD
WS:US:STX,STX,EXPLICIT,STX,,USD
WS:US:AMAT,AMAT,EXPLICIT,AMAT,,USD
WS:US:LITE,LITE,EXPLICIT,LITE,,USD
WS:US:ORCL,ORCL,EXPLICIT,ORCL,,USD
WS:XSHG:603986,603986.SS,EXPLICIT,603986,XSHG,CNY
WS:XSHE:300502,300502.SZ,EXPLICIT,300502,XSHE,CNY
WS:US:LLY,LLY,EXPLICIT,LLY,,USD
WS:US:LRCX,LRCX,EXPLICIT,LRCX,,USD
WS:US:WMT,WMT,EXPLICIT,WMT,,USD
WS:US:V,V,EXPLICIT,V,,USD
WS:US:DELL,DELL,EXPLICIT,DELL,,USD
WS:US:CAT,CAT,EXPLICIT,CAT,,USD
WS:US:NFLX,NFLX,EXPLICIT,NFLX,,USD
WS:US:CRM,CRM,EXPLICIT,CRM,,USD
WS:XSHE:002384,002384.SZ,EXPLICIT,002384,XSHE,CNY
WS:US:APP,APP,EXPLICIT,APP,,USD
WS:XSHG:688256,688256.SS,EXPLICIT,688256,XSHG,CNY
WS:US:NOW,NOW,EXPLICIT,NOW,,USD
WS:US:CSCO,CSCO,EXPLICIT,CSCO,,USD
WS:US:XOM,XOM,EXPLICIT,XOM,,USD
WS:US:BRK.B,BRK-B,EXPLICIT,BRK.B,,USD
WS:US:JPM,JPM,EXPLICIT,JPM,,USD
WS:US:GEV,GEV,EXPLICIT,GEV,,USD
WS:US:COHR,COHR,EXPLICIT,COHR,,USD
WS:XSHE:300394,300394.SZ,EXPLICIT,300394,XSHE,CNY
WS:US:KLAC,KLAC,EXPLICIT,KLAC,,USD
WS:US:PANW,PANW,EXPLICIT,PANW,,USD
WS:XTKS:5803,5803.T,EXPLICIT,5803,XTKS,JPY
WS:US:GS,GS,EXPLICIT,GS,,USD
WS:US:GLW,GLW,EXPLICIT,GLW,,USD
WS:US:BAC,BAC,EXPLICIT,BAC,,USD
WS:US:TXN,TXN,EXPLICIT,TXN,,USD
WS:US:COST,COST,EXPLICIT,COST,,USD
WS:US:JNJ,JNJ,EXPLICIT,JNJ,,USD
WS:US:MA,MA,EXPLICIT,MA,,USD
WS:US:UNH,UNH,EXPLICIT,UNH,,USD
WS:XTKS:6857,6857.T,EXPLICIT,6857,XTKS,JPY
WS:XSHG:600584,600584.SS,EXPLICIT,600584,XSHG,CNY
WS:XSHE:000938,000938.SZ,EXPLICIT,000938,XSHE,CNY
WS:XTKS:9984,9984.T,EXPLICIT,9984,XTKS,JPY
WS:ISIN:TW0002330008,2330.TW,EXPLICIT,2330,XTAI,TWD
WS:US:HOOD,HOOD,EXPLICIT,HOOD,,USD
WS:XSHG:600176,600176.SS,EXPLICIT,600176,XSHG,CNY
WS:US:CVX,CVX,EXPLICIT,CVX,,USD
WS:US:CRWD,CRWD,EXPLICIT,CRWD,,USD
WS:US:QCOM,QCOM,EXPLICIT,QCOM,,USD
WS:XSHG:688008,688008.SS,EXPLICIT,688008,XSHG,CNY
WS:XSHG:688012,688012.SS,EXPLICIT,688012,XSHG,CNY
WS:XSHE:000725,000725.SZ,EXPLICIT,000725,XSHE,CNY
WS:XSHG:603259,603259.SS,EXPLICIT,603259,XSHG,CNY
WS:XSHG:600183,600183.SS,EXPLICIT,600183,XSHG,CNY
WS:US:VRT,VRT,EXPLICIT,VRT,,USD
WS:US:ANET,ANET,EXPLICIT,ANET,,USD
WS:US:UBER,UBER,EXPLICIT,UBER,,USD
WS:XSHE:300408,300408.SZ,EXPLICIT,300408,XSHE,CNY
WS:XSHE:300750,300750.SZ,EXPLICIT,300750,XSHE,CNY
WS:XTKS:6976,6976.T,EXPLICIT,6976,XTKS,JPY
WS:US:KO,KO,EXPLICIT,KO,,USD
WS:US:IBM,IBM,EXPLICIT,IBM,,USD
WS:US:ADI,ADI,EXPLICIT,ADI,,USD
WS:US:ABBV,ABBV,EXPLICIT,ABBV,,USD
WS:XSHE:300476,300476.SZ,EXPLICIT,300476,XSHE,CNY
WS:US:SMCI,SMCI,EXPLICIT,SMCI,,USD
WS:US:PG,PG,EXPLICIT,PG,,USD
WS:US:HD,HD,EXPLICIT,HD,,USD
WS:US:BA,BA,EXPLICIT,BA,,USD
WS:XTKS:6981,6981.T,EXPLICIT,6981,XTKS,JPY
WS:ISIN:TW0002408002,2408.TW,EXPLICIT,2408,XTAI,TWD
WS:US:C,C,EXPLICIT,C,,USD
WS:XSHG:601138,601138.SS,EXPLICIT,601138,XSHG,CNY
WS:US:MCD,MCD,EXPLICIT,MCD,,USD
WS:XSHG:601899,601899.SS,EXPLICIT,601899,XSHG,CNY
WS:XTKS:8035,8035.T,EXPLICIT,8035,XTKS,JPY
WS:US:GE,GE,EXPLICIT,GE,,USD
WS:US:ADBE,ADBE,EXPLICIT,ADBE,,USD
WS:US:TER,TER,EXPLICIT,TER,,USD
WS:US:INTU,INTU,EXPLICIT,INTU,,USD
WS:US:MRK,MRK,EXPLICIT,MRK,,USD
WS:US:DDOG,DDOG,EXPLICIT,DDOG,,USD
WS:XSHG:688981,688981.SS,EXPLICIT,688981,XSHG,CNY
WS:US:WFC,WFC,EXPLICIT,WFC,,USD
WS:US:AMGN,AMGN,EXPLICIT,AMGN,,USD
WS:US:COIN,COIN,EXPLICIT,COIN,,USD
WS:XSHG:600522,600522.SS,EXPLICIT,600522,XSHG,CNY
WS:XSHE:301308,301308.SZ,EXPLICIT,301308,XSHE,CNY
WS:US:BKNG,BKNG,EXPLICIT,BKNG,,USD
WS:US:RTX,RTX,EXPLICIT,RTX,,USD
WS:XSHE:002371,002371.SZ,EXPLICIT,002371,XSHE,CNY
WS:US:TMO,TMO,EXPLICIT,TMO,,USD
WS:US:LIN,LIN,EXPLICIT,LIN,,USD
WS:XSHE:002475,002475.SZ,EXPLICIT,002475,XSHE,CNY
WS:US:ACN,ACN,EXPLICIT,ACN,,USD
WS:US:PFE,PFE,EXPLICIT,PFE,,USD
WS:XSHE:000977,000977.SZ,EXPLICIT,000977,XSHE,CNY
WS:US:APH,APH,EXPLICIT,APH,,USD
WS:ISIN:TW0002454006,2454.TW,EXPLICIT,2454,XTAI,TWD
WS:XTKS:4062,4062.T,EXPLICIT,4062,XTKS,JPY
WS:US:ISRG,ISRG,EXPLICIT,ISRG,,USD
WS:US:MS,MS,EXPLICIT,MS,,USD
WS:US:T,T,EXPLICIT,T,,USD
WS:US:DIS,DIS,EXPLICIT,DIS,,USD
WS:US:NEE,NEE,EXPLICIT,NEE,,USD
