batch_id,source_id,started_utc,finished_utc,symbol_count,received_count,missing_count,retry_count,repair_pass,status,error_text
YF-20260825T044204321921-33c9d70c,YFINANCE_FREE,2026-08-25T04:42:04+00:00,2026-08-25T04:42:10+00:00,100,100,0,0,0,SUCCESS,
YF-20260825T044214073762-950695c5,YFINANCE_FREE,2026-08-25T04:42:14+00:00,2026-08-25T04:42:19+00:00,100,100,0,0,0,SUCCESS,
YF-20260825T044222616422-6f1d2655,YFINANCE_FREE,2026-08-25T04:42:22+00:00,2026-08-25T04:42:27+00:00,100,100,0,0,0,SUCCESS,
YF-20260825T044230932149-3d766ca2,YFINANCE_FREE,2026-08-25T04:42:30+00:00,2026-08-25T04:42:35+00:00,100,100,0,0,0,SUCCESS,
YF-20260825T044239083664-b3ad6bfa,YFINANCE_FREE,2026-08-25T04:42:39+00:00,2026-08-25T04:42:44+00:00,100,100,0,0,0,SUCCESS,
YF-20260825T044247658429-c2763581,YFINANCE_FREE,2026-08-25T04:42:47+00:00,2026-08-25T04:42:52+00:00,100,100,0,0,0,SUCCESS,
YF-20260825T044255909871-5e21580b,YFINANCE_FREE,2026-08-25T04:42:55+00:00,2026-08-25T04:43:00+00:00,100,100,0,0,0,SUCCESS,
YF-20260825T044304175623-0b004833,YFINANCE_FREE,2026-08-25T04:43:04+00:00,2026-08-25T04:43:08+00:00,100,100,0,0,0,SUCCESS,
YF-20260825T044312246573-336293b2,YFINANCE_FREE,2026-08-25T04:43:12+00:00,2026-08-25T04:43:17+00:00,100,100,0,0,0,SUCCESS,
YF-20260825T044320783393-dbb82b51,YFINANCE_FREE,2026-08-25T04:43:20+00:00,2026-08-25T04:43:25+00:00,100,100,0,0,0,SUCCESS,
YF-20260825T044328947917-13051dab,YFINANCE_FREE,2026-08-25T04:43:28+00:00,2026-08-25T04:43:33+00:00,100,100,0,0,0,SUCCESS,
YF-20260825T044337004104-f2db9538,YFINANCE_FREE,2026-08-25T04:43:37+00:00,2026-08-25T04:43:41+00:00,100,100,0,0,0,SUCCESS,
YF-20260825T044345303752-f3a25080,YFINANCE_FREE,2026-08-25T04:43:45+00:00,2026-08-25T04:43:49+00:00,100,100,0,0,0,SUCCESS,
YF-20260825T044353528523-ec32d6e0,YFINANCE_FREE,2026-08-25T04:43:53+00:00,2026-08-25T04:43:58+00:00,100,100,0,0,0,SUCCESS,
YF-20260825T044401689036-1c37c147,YFINANCE_FREE,2026-08-25T04:44:01+00:00,2026-08-25T04:44:06+00:00,100,100,0,0,0,SUCCESS,
YF-20260825T044409795825-cc6a5627,YFINANCE_FREE,2026-08-25T04:44:09+00:00,2026-08-25T04:44:14+00:00,100,100,0,0,0,SUCCESS,
YF-20260825T044417999983-4902e62c,YFINANCE_FREE,2026-08-25T04:44:18+00:00,2026-08-25T04:44:22+00:00,100,100,0,0,0,SUCCESS,
YF-20260825T044426221909-13287f0f,YFINANCE_FREE,2026-08-25T04:44:26+00:00,2026-08-25T04:44:30+00:00,100,100,0,0,0,SUCCESS,
YF-20260825T044434267498-4a99094f,YFINANCE_FREE,2026-08-25T04:44:34+00:00,2026-08-25T04:44:38+00:00,100,100,0,0,0,SUCCESS,
YF-20260825T044442369684-4d105dcc,YFINANCE_FREE,2026-08-25T04:44:42+00:00,2026-08-25T04:44:46+00:00,100,100,0,0,0,SUCCESS,
YF-20260825T044450517692-ee48d6b0,YFINANCE_FREE,2026-08-25T04:44:50+00:00,2026-08-25T04:44:52+00:00,37,37,0,0,0,SUCCESS,
