Evidence_ID,Source,Classification,Reference,Finding,Retrieved
EXT01,ASX Reference Data,OFFICIAL,https://www.asx.com.au/connectivity-and-data/information-services/reference-data,"ReferencePoint includes Daily Official List; delivered via ASX Online/ASX Net/ALC/SWIFTNet; official trade/quote service includes closing prices, volumes and values.",2026-09-25
EXT02,ASX ReferencePoint Daily Official List Manual v4.0,OFFICIAL_SPEC,https://www.asxonline.com/content/dam/asxonline/public/documents/ReferencePoint/referencepoint-daily-official-list-manual.pdf,CSV files via ASX Online B2B; snapshots contain first/high/low/last and cumulative volume/value.,2026-09-25
EXT03,ASX Price Data,OFFICIAL,https://www.asx.com.au/connectivity-and-data/information-services/price-data,ASX offers historical price data covering every ASX market and directs users to licence/contact Information Services.,2026-09-25
EXT04,ASX Vendor and ISV List,OFFICIAL_VENDOR_REGISTRY,https://www.asx.com.au/connectivity-and-data/information-services/vendor-and-isv-list,EODData and EOD Historical Data are listed as ASX End-of-Day price-data vendors.,2026-09-25
EXT05,EODData Commercial Data Feed,ASX_LISTED_VENDOR,https://www.eoddata.com/products/DataFeed.aspx,"Commercial feed includes Symbol, Date, Open, High, Low, Close, Volume; historical access and business/redistribution use require appropriate paid/commercial licence.",2026-09-25
EXT06,EODData Terms,VENDOR_TERMS,https://www.eoddata.com/about/terms.aspx,Terms restrict publishing/redistribution and business use absent permitted licensing.,2026-09-25
EXT07,EODHD ASX Data,ASX_LISTED_VENDOR,https://eodhd.com/asx-data,Provider states it is an official ASX data provider with direct redistribution licence and offers 30+ years EOD OHLCV; applicable licensing depends on use.,2026-09-25
EXT08,EODHD EOD API,VENDOR_API_SPEC,https://eodhd.com/financial-apis/api-for-historical-data-and-volumes,Daily API returns date/open/high/low/close/adjusted_close/volume; raw O/H/L/C are as-traded. DEMO is limited; old target date needs entitled access.,2026-09-25
EXT09,EODHD Commercial vs Personal / Terms,VENDOR_TERMS,https://eodhd.com/financial-apis/commercial-vs-personal-license-use,Commercial use requires separate licensing; exchange reporting/licensing applies.,2026-09-25
EXT10,ASX Trade Query/Refresh manuals,OFFICIAL_SPEC,https://asxonline.com/content/dam/asxonline/public/documents/asx-trade-refresh-manuals/asx-trade-queries.pdf,Opening=first on-market sale; high=highest on-market traded price; low=lowest on-market traded price; last=last on-market traded price.,2026-09-25
