Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Provider_Symbol,Evidence_Cohort,Market_AsOf_Date,Last_Completed_Session,Fetch_Timestamp,Market_Status,Price_Cache_Status,History_Row_Count,Valid_Completed_Bars,QA_Status,Blocking_Reason,Data_Source,Source_Run_Provenance
WSSEC:WS:BVMF:ABEV3,WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:ALOS3,WS:BVMF:ALOS3,BVMF,ALOS3,ALOS3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:AXIA3,WS:BVMF:AXIA3,BVMF,AXIA3,AXIA3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:B3SA3,WS:BVMF:B3SA3,BVMF,B3SA3,B3SA3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,BVMF,BBAS3,BBAS3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,BVMF,BBSE3,BBSE3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,BVMF,CPLE3,CPLE3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,BVMF,CSAN3,CSAN3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,BVMF,CSMG3,CSMG3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,BVMF,CURY3,CURY3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:CXSE3,WS:BVMF:CXSE3,BVMF,CXSE3,CXSE3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:CYRE3,WS:BVMF:CYRE3,BVMF,CYRE3,CYRE3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:EGIE3,WS:BVMF:EGIE3,BVMF,EGIE3,EGIE3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:EMBJ3,WS:BVMF:EMBJ3,BVMF,EMBJ3,EMBJ3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:ENEV3,WS:BVMF:ENEV3,BVMF,ENEV3,ENEV3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:EQTL3,WS:BVMF:EQTL3,BVMF,EQTL3,EQTL3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:LREN3,WS:BVMF:LREN3,BVMF,LREN3,LREN3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
WSSEC:WS:BVMF:MBRF3,WS:BVMF:MBRF3,BVMF,MBRF3,MBRF3.SA,BASE_1633,2026-09-24,2026-09-24,2026-09-25T12:59:50+00:00,CURRENT,READY,505,505,PASS,,YFINANCE_FREE_REFRESH_V0_45,36138138825
