Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,feature_as_of_date,valid_bar_count,excluded_bar_count,source_data_defect,feature_capability_status,capability_reason,required_current_canonical_feature_count,required_current_canonical_nonfinite_count,master_local_model_gap_count
1,WSSEC:WS:BVMF:ABEV3,WS:BVMF:ABEV3,BVMF,ABEV3,2026-09-24,505,0,False,FEATURE_PARTIAL,MASTER_REQUIRED_LOCAL_FEATURE_MODEL_NOT_FULLY_CANONICAL_IMPLEMENTED,21,0,11
2,WSSEC:WS:BVMF:ALOS3,WS:BVMF:ALOS3,BVMF,ALOS3,2026-09-24,505,0,False,FEATURE_PARTIAL,MASTER_REQUIRED_LOCAL_FEATURE_MODEL_NOT_FULLY_CANONICAL_IMPLEMENTED,21,0,11
3,WSSEC:WS:BVMF:AXIA3,WS:BVMF:AXIA3,BVMF,AXIA3,2026-09-24,505,0,False,FEATURE_PARTIAL,MASTER_REQUIRED_LOCAL_FEATURE_MODEL_NOT_FULLY_CANONICAL_IMPLEMENTED,21,0,11
4,WSSEC:WS:BVMF:B3SA3,WS:BVMF:B3SA3,BVMF,B3SA3,2026-09-24,505,0,False,FEATURE_PARTIAL,MASTER_REQUIRED_LOCAL_FEATURE_MODEL_NOT_FULLY_CANONICAL_IMPLEMENTED,21,0,11
5,WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,BVMF,BBAS3,2026-09-24,505,0,False,FEATURE_PARTIAL,MASTER_REQUIRED_LOCAL_FEATURE_MODEL_NOT_FULLY_CANONICAL_IMPLEMENTED,21,0,11
6,WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,BVMF,BBSE3,2026-09-24,505,0,False,FEATURE_PARTIAL,MASTER_REQUIRED_LOCAL_FEATURE_MODEL_NOT_FULLY_CANONICAL_IMPLEMENTED,21,0,11
7,WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,BVMF,CPLE3,2026-09-24,505,0,False,FEATURE_PARTIAL,MASTER_REQUIRED_LOCAL_FEATURE_MODEL_NOT_FULLY_CANONICAL_IMPLEMENTED,21,0,11
8,WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,BVMF,CSAN3,2026-09-24,505,0,False,FEATURE_PARTIAL,MASTER_REQUIRED_LOCAL_FEATURE_MODEL_NOT_FULLY_CANONICAL_IMPLEMENTED,21,0,11
9,WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,BVMF,CSMG3,2026-09-24,505,0,False,FEATURE_PARTIAL,MASTER_REQUIRED_LOCAL_FEATURE_MODEL_NOT_FULLY_CANONICAL_IMPLEMENTED,21,0,11
10,WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,BVMF,CURY3,2026-09-24,505,0,False,FEATURE_PARTIAL,MASTER_REQUIRED_LOCAL_FEATURE_MODEL_NOT_FULLY_CANONICAL_IMPLEMENTED,21,0,11
