feature_name,master_requirement_binding,repository_implementation,authority,status,materialized_v0_54,readiness_role,source_fields,lookback,notes
Close_Tech,implicit local price basis,scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,Close;Stock_Splits,latest valid observation after split normalization,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
EMA20,Trend: EMA20,scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,Close;Stock_Splits,recursive EWM span=20,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
EMA50,Trend: EMA50,scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,Close;Stock_Splits,recursive EWM span=50,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
SMA200,Trend: SMA200,scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,Close;Stock_Splits,200 valid observations,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
ATR14_Wilder_DEV,Volatilitaet: ATR14,scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,High;Low;Close;Stock_Splits,recursive Wilder-style EWM alpha=1/14,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
ATR14_Pct_DEV,Volatilitaet: ATR%,scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,High;Low;Close;Stock_Splits,inherits ATR14,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
R5,Performance: R5,scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,Close;Stock_Splits,5 return intervals / 6 valid closes,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
R20,Performance: R20,scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,Close;Stock_Splits,20 return intervals / 21 valid closes,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
R60,Performance: R60,scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,Close;Stock_Splits,60 return intervals / 61 valid closes,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
High20,Struktur: High20,scripts/feature_builder.py,scripts/feature_builder.py@f6e14fedaa874bc89b6d33f51d6730e175c2b60e,CANONICAL_IMPLEMENTED,YES,REQUIRED_CURRENT_CANONICAL_IMPLEMENTED_SUBSET,High;Stock_Splits,20 valid observations,Authoritative v0.54 measurement if full-population materialization/reproducibility tests pass.
