Primary_MIC,Feature,Rows,NULL_or_NaN,PosInf,NegInf,NonFinite_Total
BVMF,Close_Tech,37,0,0,0,0
XASX,Close_Tech,63,0,0,0,0
XNAS,Close_Tech,234,0,0,0,0
XNSE,Close_Tech,45,0,0,0,0
XNYS,Close_Tech,506,0,0,0,0
XSHE,Close_Tech,108,0,0,0,0
XSHG,Close_Tech,186,0,0,0,0
XTAI,Close_Tech,49,0,0,0,0
XTKS,Close_Tech,197,0,0,0,0
BVMF,EMA20,37,0,0,0,0
XASX,EMA20,63,0,0,0,0
XNAS,EMA20,234,0,0,0,0
XNSE,EMA20,45,0,0,0,0
XNYS,EMA20,506,0,0,0,0
XSHE,EMA20,108,0,0,0,0
XSHG,EMA20,186,0,0,0,0
XTAI,EMA20,49,0,0,0,0
XTKS,EMA20,197,0,0,0,0
BVMF,EMA50,37,0,0,0,0
XASX,EMA50,63,0,0,0,0
XNAS,EMA50,234,0,0,0,0
XNSE,EMA50,45,0,0,0,0
XNYS,EMA50,506,0,0,0,0
XSHE,EMA50,108,0,0,0,0
XSHG,EMA50,186,0,0,0,0
XTAI,EMA50,49,0,0,0,0
XTKS,EMA50,197,0,0,0,0
BVMF,SMA200,37,0,0,0,0
XASX,SMA200,63,0,0,0,0
XNAS,SMA200,234,0,0,0,0
XNSE,SMA200,45,0,0,0,0
XNYS,SMA200,506,0,0,0,0
XSHE,SMA200,108,0,0,0,0
XSHG,SMA200,186,0,0,0,0
XTAI,SMA200,49,0,0,0,0
XTKS,SMA200,197,0,0,0,0
BVMF,ATR14_Wilder_DEV,37,0,0,0,0
XASX,ATR14_Wilder_DEV,63,0,0,0,0
XNAS,ATR14_Wilder_DEV,234,0,0,0,0
XNSE,ATR14_Wilder_DEV,45,0,0,0,0
XNYS,ATR14_Wilder_DEV,506,0,0,0,0
XSHE,ATR14_Wilder_DEV,108,0,0,0,0
XSHG,ATR14_Wilder_DEV,186,0,0,0,0
XTAI,ATR14_Wilder_DEV,49,0,0,0,0
XTKS,ATR14_Wilder_DEV,197,0,0,0,0
BVMF,ATR14_Pct_DEV,37,0,0,0,0
XASX,ATR14_Pct_DEV,63,0,0,0,0
XNAS,ATR14_Pct_DEV,234,0,0,0,0
XNSE,ATR14_Pct_DEV,45,0,0,0,0
XNYS,ATR14_Pct_DEV,506,0,0,0,0
XSHE,ATR14_Pct_DEV,108,0,0,0,0
XSHG,ATR14_Pct_DEV,186,0,0,0,0
XTAI,ATR14_Pct_DEV,49,0,0,0,0
XTKS,ATR14_Pct_DEV,197,0,0,0,0
BVMF,R5,37,0,0,0,0
XASX,R5,63,0,0,0,0
XNAS,R5,234,0,0,0,0
XNSE,R5,45,0,0,0,0
XNYS,R5,506,0,0,0,0
XSHE,R5,108,0,0,0,0
XSHG,R5,186,0,0,0,0
XTAI,R5,49,0,0,0,0
XTKS,R5,197,0,0,0,0
BVMF,R20,37,0,0,0,0
XASX,R20,63,0,0,0,0
XNAS,R20,234,0,0,0,0
XNSE,R20,45,0,0,0,0
XNYS,R20,506,0,0,0,0
XSHE,R20,108,0,0,0,0
XSHG,R20,186,0,0,0,0
XTAI,R20,49,0,0,0,0
XTKS,R20,197,0,0,0,0
BVMF,R60,37,0,0,0,0
XASX,R60,63,0,0,0,0
XNAS,R60,234,0,0,0,0
XNSE,R60,45,0,0,0,0
XNYS,R60,506,0,0,0,0
XSHE,R60,108,0,0,0,0
XSHG,R60,186,0,0,0,0
XTAI,R60,49,0,0,0,0
XTKS,R60,197,0,0,0,0
BVMF,High20,37,0,0,0,0
XASX,High20,63,0,0,0,0
XNAS,High20,234,0,0,0,0
XNSE,High20,45,0,0,0,0
XNYS,High20,506,0,0,0,0
XSHE,High20,108,0,0,0,0
XSHG,High20,186,0,0,0,0
XTAI,High20,49,0,0,0,0
XTKS,High20,197,0,0,0,0
BVMF,High60,37,0,0,0,0
XASX,High60,63,0,0,0,0
XNAS,High60,234,0,0,0,0
