Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Primary_Universe_Index,feature_as_of_date,sync_cohort_size,peer_count,R20_num,R60_num,HomeMarket_PeerMedian_R20_v0_58,HomeMarket_PeerMedian_R60_v0_58,HomeMarket_RS20_Excess_v0_58,HomeMarket_RS60_Excess_v0_58,HomeMarket_RS_Reference_Type_v0_58
1,WSSEC:WS:BVMF:ABEV3,WS:BVMF:ABEV3,BVMF,ABEV3,BR_IBRX100,2026-09-24,37,36,0.0065617049193950998,-0.053086454929000701,0.051027940028708946,0.041666668937319698,-0.044466235109313842,-0.094753123866320399,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
2,WSSEC:WS:BVMF:ALOS3,WS:BVMF:ALOS3,BVMF,ALOS3,BR_IBRX100,2026-09-24,37,36,0.1017783012863164,0.040000029972621302,0.035596581517548354,0.039761906578427202,0.066181719768768049,0.00023812339419410078,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
3,WSSEC:WS:BVMF:AXIA3,WS:BVMF:AXIA3,BVMF,AXIA3,BR_IBRX100,2026-09-24,37,36,0.019846496467315899,0.0092644059420217001,0.051027940028708946,0.041666668937319698,-0.031181443561393046,-0.032402262995297998,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
4,WSSEC:WS:BVMF:B3SA3,WS:BVMF:B3SA3,BVMF,B3SA3,BR_IBRX100,2026-09-24,37,36,0.1314285520523312,0.2375000115897922,0.035596581517548354,0.038095267613728806,0.095831970534782845,0.19940474397606339,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
5,WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,BVMF,BBAS3,BR_IBRX100,2026-09-24,37,36,0.10348362758158949,0.091738541068706797,0.035596581517548354,0.038095267613728806,0.06788704606404114,0.053643273454977991,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
6,WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,BVMF,BBSE3,BR_IBRX100,2026-09-24,37,36,-0.016239517689073599,0.016784667498570102,0.051027940028708946,0.041666668937319698,-0.067267457717782544,-0.024882001438749596,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
7,WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,BVMF,CPLE3,BR_IBRX100,2026-09-24,37,36,0.068259387442927505,0.043333307902018101,0.035596581517548354,0.038095267613728806,0.032662805925379151,0.0052380402882892946,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
8,WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,BVMF,CSAN3,BR_IBRX100,2026-09-24,37,36,0.026954151914918699,0.0297297009941088,0.051027940028708946,0.041666668937319698,-0.024073788113790247,-0.011936967943210898,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
9,WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,BVMF,CSMG3,BR_IBRX100,2026-09-24,37,36,0.040108946649207201,-0.062643082345301304,0.046515574897050098,0.041666668937319698,-0.0064066282478428965,-0.104309751282621,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
10,WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,BVMF,CURY3,BR_IBRX100,2026-09-24,37,36,-0.14223192465191781,-0.2112676110390472,0.051027940028708946,0.041666668937319698,-0.19325986468062675,-0.25293427997636692,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN_SAME_ASOF
