Security_Key,Source_WS_ID,Primary_MIC,Primary_Universe_Index,security_asof,benchmark_peer_asof,future_peer_count,Result
WSSEC:WS:BVMF:ABEV3,WS:BVMF:ABEV3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:ALOS3,WS:BVMF:ALOS3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:AXIA3,WS:BVMF:AXIA3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:B3SA3,WS:BVMF:B3SA3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:CXSE3,WS:BVMF:CXSE3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:CYRE3,WS:BVMF:CYRE3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:EGIE3,WS:BVMF:EGIE3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:EMBJ3,WS:BVMF:EMBJ3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:ENEV3,WS:BVMF:ENEV3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:EQTL3,WS:BVMF:EQTL3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:LREN3,WS:BVMF:LREN3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:MBRF3,WS:BVMF:MBRF3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:MGLU3,WS:BVMF:MGLU3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:MOTV3,WS:BVMF:MOTV3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:MULT3,WS:BVMF:MULT3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:PETR3,WS:BVMF:PETR3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:PRIO3,WS:BVMF:PRIO3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:RADL3,WS:BVMF:RADL3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:RAIL3,WS:BVMF:RAIL3,BVMF,BR_IBRX100,2026-09-24,2026-09-24,0,PASS
