Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,feature_as_of_date,valid_bar_count,excluded_bar_count,source_data_defect,canonical_numeric_feature_count,semantic_family_ready,feature_capability_status,capability_reason
1,WSSEC:WS:BVMF:ABEV3,WS:BVMF:ABEV3,BVMF,ABEV3,2026-09-24,505,0,False,34,True,FEATURE_READY,ALL_34_NUMERIC_AND_SEMANTIC_FAMILY_CONTRACTS_COMPLETE
2,WSSEC:WS:BVMF:ALOS3,WS:BVMF:ALOS3,BVMF,ALOS3,2026-09-24,505,0,False,34,True,FEATURE_READY,ALL_34_NUMERIC_AND_SEMANTIC_FAMILY_CONTRACTS_COMPLETE
3,WSSEC:WS:BVMF:AXIA3,WS:BVMF:AXIA3,BVMF,AXIA3,2026-09-24,505,0,False,34,True,FEATURE_READY,ALL_34_NUMERIC_AND_SEMANTIC_FAMILY_CONTRACTS_COMPLETE
4,WSSEC:WS:BVMF:B3SA3,WS:BVMF:B3SA3,BVMF,B3SA3,2026-09-24,505,0,False,34,True,FEATURE_READY,ALL_34_NUMERIC_AND_SEMANTIC_FAMILY_CONTRACTS_COMPLETE
5,WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,BVMF,BBAS3,2026-09-24,505,0,False,34,True,FEATURE_READY,ALL_34_NUMERIC_AND_SEMANTIC_FAMILY_CONTRACTS_COMPLETE
6,WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,BVMF,BBSE3,2026-09-24,505,0,False,34,True,FEATURE_READY,ALL_34_NUMERIC_AND_SEMANTIC_FAMILY_CONTRACTS_COMPLETE
7,WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,BVMF,CPLE3,2026-09-24,505,0,False,34,True,FEATURE_READY,ALL_34_NUMERIC_AND_SEMANTIC_FAMILY_CONTRACTS_COMPLETE
8,WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,BVMF,CSAN3,2026-09-24,505,0,False,34,True,FEATURE_READY,ALL_34_NUMERIC_AND_SEMANTIC_FAMILY_CONTRACTS_COMPLETE
9,WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,BVMF,CSMG3,2026-09-24,505,0,False,34,True,FEATURE_READY,ALL_34_NUMERIC_AND_SEMANTIC_FAMILY_CONTRACTS_COMPLETE
10,WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,BVMF,CURY3,2026-09-24,505,0,False,34,True,FEATURE_READY,ALL_34_NUMERIC_AND_SEMANTIC_FAMILY_CONTRACTS_COMPLETE
11,WSSEC:WS:BVMF:CXSE3,WS:BVMF:CXSE3,BVMF,CXSE3,2026-09-24,505,0,False,34,True,FEATURE_READY,ALL_34_NUMERIC_AND_SEMANTIC_FAMILY_CONTRACTS_COMPLETE
12,WSSEC:WS:BVMF:CYRE3,WS:BVMF:CYRE3,BVMF,CYRE3,2026-09-24,505,0,False,34,True,FEATURE_READY,ALL_34_NUMERIC_AND_SEMANTIC_FAMILY_CONTRACTS_COMPLETE
