Feature,Rows,Mismatch_Count,Result,First_Mismatches
Close_Tech,1425,0,PASS,
EMA20,1425,0,PASS,
EMA50,1425,0,PASS,
SMA200,1425,0,PASS,
ATR14_Wilder_DEV,1425,0,PASS,
ATR14_Pct_DEV,1425,0,PASS,
R1,1425,0,PASS,
R5,1425,0,PASS,
R20,1425,0,PASS,
R60,1425,0,PASS,
TrueRange_Current,1425,0,PASS,
High20,1425,0,PASS,
High60,1425,0,PASS,
High252,1425,0,PASS,
Low20,1425,0,PASS,
Low60,1425,0,PASS,
Dist_EMA20,1425,0,PASS,
Dist_EMA50,1425,0,PASS,
Dist_SMA200,1425,0,PASS,
Dist_High252,1425,0,PASS,
Range20_Pct,1425,0,PASS,
MedianVolume20_Tech,1425,0,PASS,
MedianTurnover20_Native,1425,0,PASS,
EXISTING23_SEMANTIC_DIGEST,1425,0,PASS,81f52fc0098c72d0836d014bf17975b8fcc729489a9eb67f146005be913ac2bc
