Feature,Rows,Canonical_Null_or_NaN,PosInf,NegInf,NonFinite_Total
Close_Tech,1425,0,0,0,0
EMA20,1425,0,0,0,0
EMA50,1425,0,0,0,0
SMA200,1425,0,0,0,0
ATR14_Wilder_DEV,1425,0,0,0,0
ATR14_Pct_DEV,1425,0,0,0,0
R1,1425,0,0,0,0
R5,1425,0,0,0,0
R20,1425,0,0,0,0
R60,1425,0,0,0,0
TrueRange_Current,1425,0,0,0,0
High20,1425,0,0,0,0
High60,1425,0,0,0,0
High252,1425,0,0,0,0
Low20,1425,0,0,0,0
Low60,1425,0,0,0,0
Dist_EMA20,1425,0,0,0,0
Dist_EMA50,1425,0,0,0,0
Dist_SMA200,1425,0,0,0,0
Dist_High252,1425,0,0,0,0
Range20_Pct,1425,0,0,0,0
MedianVolume20_Tech,1425,0,0,0,0
MedianTurnover20_Native,1425,0,0,0,0
EMA20_Slope_5,1425,0,0,0,0
EMA50_Slope_10,1425,0,0,0,0
Range5_Pct,1425,0,0,0,0
Range10_Pct,1425,0,0,0,0
RangeCompression_5_20,1425,0,0,0,0
RangeCompression_10_20,1425,0,0,0,0
RVOL20,1425,0,0,0,0
Gap_Over_ATR14,1425,0,0,0,0
DailyMove_Over_ATR14,1425,0,0,0,0
Dist_High20,1425,0,0,0,0
Dist_High60,1425,0,0,0,0
