Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,feature_as_of_date,latest_eligible_valid_date,eligible_rows_after_asof,Result
WSSEC:WS:BVMF:ABEV3,WS:BVMF:ABEV3,BVMF,ABEV3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:ALOS3,WS:BVMF:ALOS3,BVMF,ALOS3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:AXIA3,WS:BVMF:AXIA3,BVMF,AXIA3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:B3SA3,WS:BVMF:B3SA3,BVMF,B3SA3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,BVMF,BBAS3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,BVMF,BBSE3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,BVMF,CPLE3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,BVMF,CSAN3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,BVMF,CSMG3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,BVMF,CURY3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:CXSE3,WS:BVMF:CXSE3,BVMF,CXSE3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:CYRE3,WS:BVMF:CYRE3,BVMF,CYRE3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:EGIE3,WS:BVMF:EGIE3,BVMF,EGIE3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:EMBJ3,WS:BVMF:EMBJ3,BVMF,EMBJ3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:ENEV3,WS:BVMF:ENEV3,BVMF,ENEV3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:EQTL3,WS:BVMF:EQTL3,BVMF,EQTL3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:LREN3,WS:BVMF:LREN3,BVMF,LREN3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:MBRF3,WS:BVMF:MBRF3,BVMF,MBRF3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:MGLU3,WS:BVMF:MGLU3,BVMF,MGLU3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:MOTV3,WS:BVMF:MOTV3,BVMF,MOTV3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:MULT3,WS:BVMF:MULT3,BVMF,MULT3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:PETR3,WS:BVMF:PETR3,BVMF,PETR3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:PRIO3,WS:BVMF:PRIO3,BVMF,PRIO3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:RADL3,WS:BVMF:RADL3,BVMF,RADL3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:RAIL3,WS:BVMF:RAIL3,BVMF,RAIL3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:RDOR3,WS:BVMF:RDOR3,BVMF,RDOR3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:RENT3,WS:BVMF:RENT3,BVMF,RENT3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:SBSP3,WS:BVMF:SBSP3,BVMF,SBSP3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:SMFT3,WS:BVMF:SMFT3,BVMF,SMFT3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:SUZB3,WS:BVMF:SUZB3,BVMF,SUZB3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:TIMS3,WS:BVMF:TIMS3,BVMF,TIMS3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:TOTS3,WS:BVMF:TOTS3,BVMF,TOTS3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:UGPA3,WS:BVMF:UGPA3,BVMF,UGPA3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:VALE3,WS:BVMF:VALE3,BVMF,VALE3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:VBBR3,WS:BVMF:VBBR3,BVMF,VBBR3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:VIVT3,WS:BVMF:VIVT3,BVMF,VIVT3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:BVMF:WEGE3,WS:BVMF:WEGE3,BVMF,WEGE3,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE002A01018,WS:ISIN:INE002A01018,XNSE,RELIANCE,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE009A01021,WS:ISIN:INE009A01021,XNSE,INFY,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE018A01030,WS:ISIN:INE018A01030,XNSE,LT,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE019A01038,WS:ISIN:INE019A01038,XNSE,JSWSTEEL,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE021A01026,WS:ISIN:INE021A01026,XNSE,ASIANPAINT,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE027H01010,WS:ISIN:INE027H01010,XNSE,MAXHEALTH,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE030A01027,WS:ISIN:INE030A01027,XNSE,HINDUNILVR,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE038A01020,WS:ISIN:INE038A01020,XNSE,HINDALCO,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE040A01034,WS:ISIN:INE040A01034,XNSE,HDFCBANK,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE044A01036,WS:ISIN:INE044A01036,XNSE,SUNPHARMA,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE047A01021,WS:ISIN:INE047A01021,XNSE,GRASIM,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE062A01020,WS:ISIN:INE062A01020,XNSE,SBIN,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE066A01021,WS:ISIN:INE066A01021,XNSE,EICHERMOT,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE081A01020,WS:ISIN:INE081A01020,XNSE,TATASTEEL,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE089A01031,WS:ISIN:INE089A01031,XNSE,DRREDDY,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE090A01021,WS:ISIN:INE090A01021,XNSE,ICICIBANK,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE101A01026,WS:ISIN:INE101A01026,XNSE,M&M,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE154A01025,WS:ISIN:INE154A01025,XNSE,ITC,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE155A01022,WS:ISIN:INE155A01022,XNSE,TMPV,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE213A01029,WS:ISIN:INE213A01029,XNSE,ONGC,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE237A01036,WS:ISIN:INE237A01036,XNSE,KOTAKBANK,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE238A01034,WS:ISIN:INE238A01034,XNSE,AXISBANK,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE239A01024,WS:ISIN:INE239A01024,XNSE,NESTLEIND,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE263A01024,WS:ISIN:INE263A01024,XNSE,BEL,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE280A01028,WS:ISIN:INE280A01028,XNSE,TITAN,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE296A01032,WS:ISIN:INE296A01032,XNSE,BAJFINANCE,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE397D01024,WS:ISIN:INE397D01024,XNSE,BHARTIARTL,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE423A01024,WS:ISIN:INE423A01024,XNSE,ADANIENT,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE437A01024,WS:ISIN:INE437A01024,XNSE,APOLLOHOSP,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE467B01029,WS:ISIN:INE467B01029,XNSE,TCS,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE481G01011,WS:ISIN:INE481G01011,XNSE,ULTRACEMCO,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE522F01014,WS:ISIN:INE522F01014,XNSE,COALINDIA,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE585B01010,WS:ISIN:INE585B01010,XNSE,MARUTI,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE646L01027,WS:ISIN:INE646L01027,XNSE,INDIGO,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE669C01036,WS:ISIN:INE669C01036,XNSE,TECHM,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE721A01047,WS:ISIN:INE721A01047,XNSE,SHRIRAMFIN,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE733E01010,WS:ISIN:INE733E01010,XNSE,NTPC,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE742F01042,WS:ISIN:INE742F01042,XNSE,ADANIPORTS,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE752E01010,WS:ISIN:INE752E01010,XNSE,POWERGRID,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE758E01017,WS:ISIN:INE758E01017,XNSE,JIOFIN,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE758T01015,WS:ISIN:INE758T01015,XNSE,ETERNAL,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE849A01020,WS:ISIN:INE849A01020,XNSE,TRENT,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE860A01027,WS:ISIN:INE860A01027,XNSE,HCLTECH,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE917I01010,WS:ISIN:INE917I01010,XNSE,BAJAJ-AUTO,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:INE918I01026,WS:ISIN:INE918I01026,XNSE,BAJAJFINSV,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:KYG022421088,WS:ISIN:KYG022421088,XTAI,3661,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:KYG114741062,WS:ISIN:KYG114741062,XTAI,3665,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:KYG989221000,WS:ISIN:KYG989221000,XTAI,4958,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0001216000,WS:ISIN:TW0001216000,XTAI,1216,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0001303006,WS:ISIN:TW0001303006,XTAI,1303,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002059003,WS:ISIN:TW0002059003,XTAI,2059,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002301009,WS:ISIN:TW0002301009,XTAI,2301,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002303005,WS:ISIN:TW0002303005,XTAI,2303,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002308004,WS:ISIN:TW0002308004,XTAI,2308,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002317005,WS:ISIN:TW0002317005,XTAI,2317,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002327004,WS:ISIN:TW0002327004,XTAI,2327,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002330008,WS:ISIN:TW0002330008,XTAI,2330,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002344009,WS:ISIN:TW0002344009,XTAI,2344,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002345006,WS:ISIN:TW0002345006,XTAI,2345,2026-09-24,2026-09-24,0,PASS
WSSEC:WS:ISIN:TW0002357001,WS:ISIN:TW0002357001,XTAI,2357,2026-09-24,2026-09-24,0,PASS
