Feature,Rows,Mismatch_Count,Result,Comparison_Method,Authority_Digest
Close_Tech,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
EMA20,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
EMA50,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
SMA200,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
ATR14_Wilder_DEV,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
ATR14_Pct_DEV,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
R5,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
R20,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
R60,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
High20,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
High60,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
High252,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
Low20,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
Low60,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
Dist_EMA20,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
Dist_EMA50,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
Dist_SMA200,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
Dist_High252,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
Range20_Pct,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
MedianVolume20_Tech,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
MedianTurnover20_Native,1425,0,PASS,FULL_OLD21_CANONICAL_SEMANTIC_DIGEST_MATCH,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
OLD21_SEMANTIC_DIGEST,1425,0,PASS,BYTE_STABLE_SEMANTIC_DIGEST,c5d9c6eabbbef10909b7a0df8b4bb8eb5ff32130d8c85162f5f2f4e4a7a4bed6
