Security_Key,Source_WS_ID,Provider_Symbol,Event_Date,Normal_Refetch,Repair_Refetch,Provider_Calls_Group,Result
WSSEC:WS:XASX:ANZ,WS:XASX:ANZ,ANZ.AX,2024-11-15,REPRODUCED_EXACT_RAW_OHLCV,NO_DATA,ASX8_NORMAL+REPAIR,ANOMALY_REPRODUCED
WSSEC:WS:XASX:BSL,WS:XASX:BSL,BSL.AX,2024-11-15,REPRODUCED_EXACT_RAW_OHLCV,NO_DATA,ASX8_NORMAL+REPAIR,ANOMALY_REPRODUCED
WSSEC:WS:XASX:BXB,WS:XASX:BXB,BXB.AX,2024-11-15,REPRODUCED_EXACT_RAW_OHLCV,NO_DATA,ASX8_NORMAL+REPAIR,ANOMALY_REPRODUCED
WSSEC:WS:XASX:CBA,WS:XASX:CBA,CBA.AX,2024-11-15,REPRODUCED_EXACT_RAW_OHLCV,NO_DATA,ASX8_NORMAL+REPAIR,ANOMALY_REPRODUCED
WSSEC:WS:XASX:NXT,WS:XASX:NXT,NXT.AX,2024-11-15,REPRODUCED_EXACT_RAW_OHLCV,NO_DATA,ASX8_NORMAL+REPAIR,ANOMALY_REPRODUCED
WSSEC:WS:XASX:PME,WS:XASX:PME,PME.AX,2024-11-15,REPRODUCED_EXACT_RAW_OHLCV,NO_DATA,ASX8_NORMAL+REPAIR,ANOMALY_REPRODUCED
WSSEC:WS:XASX:QAN,WS:XASX:QAN,QAN.AX,2024-11-15,REPRODUCED_EXACT_RAW_OHLCV,NO_DATA,ASX8_NORMAL+REPAIR,ANOMALY_REPRODUCED
WSSEC:WS:XASX:SDF,WS:XASX:SDF,SDF.AX,2024-11-15,REPRODUCED_EXACT_RAW_OHLCV,NO_DATA,ASX8_NORMAL+REPAIR,ANOMALY_REPRODUCED
WSSEC:WS:XNAS:ECHO,WS:XNAS:ECHO,ECHO,2025-08-26,REPRODUCED_EXACT_OHLCV,NO_DATA,ECHO_NORMAL+REPAIR,EXTREME_MOVE_REPRODUCED
WSSEC:WS:XNAS:MRNA,WS:XNAS:MRNA,MRNA,2026-08-19,REPRODUCED_EXACT_OHLCV,NO_DATA,MRNA_NORMAL+REPAIR,EXTREME_MOVE_REPRODUCED
