Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Provider_Symbol,Existing_Blocker,Exact_Anomaly_Date,Open,High,Low,Close,Adj_Close,Volume,Failed_Relation_or_Return,Magnitude,Cause_Classification,Evidence_Status
WSSEC:WS:XASX:ANZ,WS:XASX:ANZ,XASX,ANZ,ANZ.AX,STRICT_OHLC_RELATION_FAIL,NOT_EVALUATED,,,,,,,NOT_EVALUATED,,UNRESOLVED_AUTHORITY_INTEGRITY_FAILURE,NOT_EVALUATED_FAIL_CLOSED
WSSEC:WS:XASX:BSL,WS:XASX:BSL,XASX,BSL,BSL.AX,STRICT_OHLC_RELATION_FAIL,NOT_EVALUATED,,,,,,,NOT_EVALUATED,,UNRESOLVED_AUTHORITY_INTEGRITY_FAILURE,NOT_EVALUATED_FAIL_CLOSED
WSSEC:WS:XASX:BXB,WS:XASX:BXB,XASX,BXB,BXB.AX,STRICT_OHLC_RELATION_FAIL,NOT_EVALUATED,,,,,,,NOT_EVALUATED,,UNRESOLVED_AUTHORITY_INTEGRITY_FAILURE,NOT_EVALUATED_FAIL_CLOSED
WSSEC:WS:XASX:CBA,WS:XASX:CBA,XASX,CBA,CBA.AX,STRICT_OHLC_RELATION_FAIL,NOT_EVALUATED,,,,,,,NOT_EVALUATED,,UNRESOLVED_AUTHORITY_INTEGRITY_FAILURE,NOT_EVALUATED_FAIL_CLOSED
WSSEC:WS:XASX:NXT,WS:XASX:NXT,XASX,NXT,NXT.AX,STRICT_OHLC_RELATION_FAIL,NOT_EVALUATED,,,,,,,NOT_EVALUATED,,UNRESOLVED_AUTHORITY_INTEGRITY_FAILURE,NOT_EVALUATED_FAIL_CLOSED
WSSEC:WS:XASX:PME,WS:XASX:PME,XASX,PME,PME.AX,STRICT_OHLC_RELATION_FAIL,NOT_EVALUATED,,,,,,,NOT_EVALUATED,,UNRESOLVED_AUTHORITY_INTEGRITY_FAILURE,NOT_EVALUATED_FAIL_CLOSED
WSSEC:WS:XASX:QAN,WS:XASX:QAN,XASX,QAN,QAN.AX,STRICT_OHLC_RELATION_FAIL,NOT_EVALUATED,,,,,,,NOT_EVALUATED,,UNRESOLVED_AUTHORITY_INTEGRITY_FAILURE,NOT_EVALUATED_FAIL_CLOSED
WSSEC:WS:XASX:SDF,WS:XASX:SDF,XASX,SDF,SDF.AX,STRICT_OHLC_RELATION_FAIL,NOT_EVALUATED,,,,,,,NOT_EVALUATED,,UNRESOLVED_AUTHORITY_INTEGRITY_FAILURE,NOT_EVALUATED_FAIL_CLOSED
WSSEC:WS:XNAS:ECHO,WS:XNAS:ECHO,XNAS,ECHO,ECHO,SUSPICIOUS_RETURN_NEEDS_REPAIR,NOT_EVALUATED,,,,,,,NOT_EVALUATED,,UNRESOLVED_AUTHORITY_INTEGRITY_FAILURE,NOT_EVALUATED_FAIL_CLOSED
WSSEC:WS:XNAS:MRNA,WS:XNAS:MRNA,XNAS,MRNA,MRNA,SUSPICIOUS_RETURN_NEEDS_REPAIR,NOT_EVALUATED,,,,,,,NOT_EVALUATED,,UNRESOLVED_AUTHORITY_INTEGRITY_FAILURE,NOT_EVALUATED_FAIL_CLOSED
