batch_id,source_id,started_utc,finished_utc,symbol_count,received_count,missing_count,retry_count,repair_pass,status,error_text
YF-20260925T125945441782-a22d8309,YFINANCE_FREE,2026-09-25T12:59:45+00:00,2026-09-25T12:59:50+00:00,100,100,0,0,0,SUCCESS,
YF-20260925T125955075711-b70e28cc,YFINANCE_FREE,2026-09-25T12:59:55+00:00,2026-09-25T12:59:59+00:00,100,100,0,0,0,SUCCESS,
YF-20260925T130004195296-f587e545,YFINANCE_FREE,2026-09-25T13:00:04+00:00,2026-09-25T13:00:09+00:00,100,100,0,0,0,SUCCESS,
YF-20260925T130013822006-4547b80f,YFINANCE_FREE,2026-09-25T13:00:13+00:00,2026-09-25T13:00:19+00:00,100,100,0,0,0,SUCCESS,
YF-20260925T130023885354-3d23890e,YFINANCE_FREE,2026-09-25T13:00:23+00:00,2026-09-25T13:00:29+00:00,100,100,0,0,0,SUCCESS,
YF-20260925T130033523177-f8d3090e,YFINANCE_FREE,2026-09-25T13:00:33+00:00,2026-09-25T13:00:39+00:00,100,100,0,0,0,SUCCESS,
YF-20260925T130043506832-2db267c1,YFINANCE_FREE,2026-09-25T13:00:43+00:00,2026-09-25T13:00:48+00:00,100,100,0,0,0,SUCCESS,
YF-20260925T130052850402-43eae607,YFINANCE_FREE,2026-09-25T13:00:52+00:00,2026-09-25T13:00:57+00:00,100,100,0,0,0,SUCCESS,
YF-20260925T130101610827-8b986b91,YFINANCE_FREE,2026-09-25T13:01:01+00:00,2026-09-25T13:01:06+00:00,100,100,0,0,0,SUCCESS,
YF-20260925T130110934017-f871be2e,YFINANCE_FREE,2026-09-25T13:01:10+00:00,2026-09-25T13:01:16+00:00,94,94,0,0,0,SUCCESS,
YF-20260925T130120491887-18ea4b86-R,YFINANCE_FREE,2026-09-25T13:01:20+00:00,2026-09-25T13:01:20+00:00,2,0,2,0,1,PARTIAL,
