Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Provider_Symbol,Provider_Mapping_Status,Data_Source,Source_Run_Provenance,Downloaded_In_v0_45
WSSEC:WS:BVMF:ABEV3,WS:BVMF:ABEV3,BVMF,ABEV3,ABEV3.SA,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:BVMF:ALOS3,WS:BVMF:ALOS3,BVMF,ALOS3,ALOS3.SA,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:BVMF:AXIA3,WS:BVMF:AXIA3,BVMF,AXIA3,AXIA3.SA,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:BVMF:B3SA3,WS:BVMF:B3SA3,BVMF,B3SA3,B3SA3.SA,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,BVMF,BBAS3,BBAS3.SA,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,BVMF,BBSE3,BBSE3.SA,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,BVMF,CPLE3,CPLE3.SA,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,BVMF,CSAN3,CSAN3.SA,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,BVMF,CSMG3,CSMG3.SA,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,BVMF,CURY3,CURY3.SA,PROVIDER_MAPPING_READY,YFINANCE_FREE_REFRESH_V0_45,36138138825,YES
