Security_Key,Source_WS_ID,Price_Cache_Status,Reason_Code,Unique_Bars,Valid_Bars,Strict_Invalid_Bars,Suspicious_Returns,Repaired_Rows,Zero_Volume_Share,First_Bar_Date,Last_Bar_Date,Currency_Binding,Provider_Symbol,Source
WSSEC:WS:BVMF:ABEV3,WS:BVMF:ABEV3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,ABEV3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:ALOS3,WS:BVMF:ALOS3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,ALOS3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:AXIA3,WS:BVMF:AXIA3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,AXIA3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:B3SA3,WS:BVMF:B3SA3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,B3SA3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,BBAS3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,BBSE3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,CPLE3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,CSAN3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,CSMG3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,CURY3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:CXSE3,WS:BVMF:CXSE3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,CXSE3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:CYRE3,WS:BVMF:CYRE3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,CYRE3.SA,YFINANCE_FREE_REFRESH_V0_45
WSSEC:WS:BVMF:EGIE3,WS:BVMF:EGIE3,READY,,505,505,0,0,0,0.0,2024-09-16,2026-09-24,BRL,EGIE3.SA,YFINANCE_FREE_REFRESH_V0_45
