Security_Key,Source_WS_ID,Evidence_Cohort,Primary_MIC,Primary_Ticker,Provider_Symbol,Provider_Mapping_Status,Evidence_Artifact
WSSEC:WS:BVMF:ABEV3,WS:BVMF:ABEV3,BASE_1633,BVMF,ABEV3,ABEV3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:ALOS3,WS:BVMF:ALOS3,BASE_1633,BVMF,ALOS3,ALOS3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:AXIA3,WS:BVMF:AXIA3,BASE_1633,BVMF,AXIA3,AXIA3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:B3SA3,WS:BVMF:B3SA3,BASE_1633,BVMF,B3SA3,B3SA3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,BASE_1633,BVMF,BBAS3,BBAS3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,BASE_1633,BVMF,BBSE3,BBSE3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,BASE_1633,BVMF,CPLE3,CPLE3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,BASE_1633,BVMF,CSAN3,CSAN3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,BASE_1633,BVMF,CSMG3,CSMG3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,BASE_1633,BVMF,CURY3,CURY3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:CXSE3,WS:BVMF:CXSE3,BASE_1633,BVMF,CXSE3,CXSE3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:CYRE3,WS:BVMF:CYRE3,BASE_1633,BVMF,CYRE3,CYRE3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:EGIE3,WS:BVMF:EGIE3,BASE_1633,BVMF,EGIE3,EGIE3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:EMBJ3,WS:BVMF:EMBJ3,BASE_1633,BVMF,EMBJ3,EMBJ3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:ENEV3,WS:BVMF:ENEV3,BASE_1633,BVMF,ENEV3,ENEV3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:EQTL3,WS:BVMF:EQTL3,BASE_1633,BVMF,EQTL3,EQTL3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:LREN3,WS:BVMF:LREN3,BASE_1633,BVMF,LREN3,LREN3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:MBRF3,WS:BVMF:MBRF3,BASE_1633,BVMF,MBRF3,MBRF3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:MGLU3,WS:BVMF:MGLU3,BASE_1633,BVMF,MGLU3,MGLU3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:MOTV3,WS:BVMF:MOTV3,BASE_1633,BVMF,MOTV3,MOTV3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:MULT3,WS:BVMF:MULT3,BASE_1633,BVMF,MULT3,MULT3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:PETR3,WS:BVMF:PETR3,BASE_1633,BVMF,PETR3,PETR3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:PRIO3,WS:BVMF:PRIO3,BASE_1633,BVMF,PRIO3,PRIO3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:RADL3,WS:BVMF:RADL3,BASE_1633,BVMF,RADL3,RADL3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:RAIL3,WS:BVMF:RAIL3,BASE_1633,BVMF,RAIL3,RAIL3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:RDOR3,WS:BVMF:RDOR3,BASE_1633,BVMF,RDOR3,RDOR3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:RENT3,WS:BVMF:RENT3,BASE_1633,BVMF,RENT3,RENT3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:SBSP3,WS:BVMF:SBSP3,BASE_1633,BVMF,SBSP3,SBSP3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:SMFT3,WS:BVMF:SMFT3,BASE_1633,BVMF,SMFT3,SMFT3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:SUZB3,WS:BVMF:SUZB3,BASE_1633,BVMF,SUZB3,SUZB3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:TIMS3,WS:BVMF:TIMS3,BASE_1633,BVMF,TIMS3,TIMS3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:TOTS3,WS:BVMF:TOTS3,BASE_1633,BVMF,TOTS3,TOTS3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:UGPA3,WS:BVMF:UGPA3,BASE_1633,BVMF,UGPA3,UGPA3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:VALE3,WS:BVMF:VALE3,BASE_1633,BVMF,VALE3,VALE3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:VBBR3,WS:BVMF:VBBR3,BASE_1633,BVMF,VBBR3,VBBR3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:VIVT3,WS:BVMF:VIVT3,BASE_1633,BVMF,VIVT3,VIVT3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:BVMF:WEGE3,WS:BVMF:WEGE3,BASE_1633,BVMF,WEGE3,WEGE3.SA,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE002A01018,WS:ISIN:INE002A01018,BASE_1633,XNSE,RELIANCE,RELIANCE.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE009A01021,WS:ISIN:INE009A01021,BASE_1633,XNSE,INFY,INFY.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE018A01030,WS:ISIN:INE018A01030,BASE_1633,XNSE,LT,LT.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE019A01038,WS:ISIN:INE019A01038,BASE_1633,XNSE,JSWSTEEL,JSWSTEEL.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
WSSEC:WS:ISIN:INE021A01026,WS:ISIN:INE021A01026,BASE_1633,XNSE,ASIANPAINT,ASIANPAINT.NS,PROVIDER_MAPPING_READY,output_current_master_research_partial_1633_data_refresh_v0_38/mapping_revalidation_1633_v0.38.csv
