Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Evidence_Cohort,Price_Cache_Status,Persisted_Cache_Status_Evidence,Market_AsOf_Date,Fetch_Timestamp,Last_Completed_Session,Currentness_Status,History_Data_Capability,Feature_Capability,Home_Market_Benchmark_Status,Home_Market_RS_Capability,Sector_RS_Capability,Provider_Mapping_Status,P0_Data_Readiness,Blocking_Reason
WSSEC:WS:BVMF:ABEV3,WS:BVMF:ABEV3,BVMF,ABEV3,BASE_1633,STALE,READY,2026-08-31,2026-09-01T04:49:35+00:00,2026-08-31,STALE,PERSISTED_P0_CACHE_HISTORY_READY_AT_SOURCE_ASOF_BUT_STALE_NOW,FEATURE_PARTIAL,PRIMARY_UNIVERSE_INDEX_AVAILABLE_NO_FROZEN_RS_BINDING,RS_NOT_VERIFIED_CURRENT_FROZEN_1425,SECTOR_RS_NOT_VERIFIED,PROVIDER_MAPPING_READY,P0_DATA_STALE,PRICE_CACHE_STALE|PRICE_CURRENTNESS_STALE|FEATURE_CAPABILITY_PARTIAL|HOME_MARKET_RS_NOT_VERIFIED_CURRENT_FROZEN|SECTOR_RS_NOT_VERIFIED|P0_PARAMETER_SET_NOT_READY
WSSEC:WS:BVMF:ALOS3,WS:BVMF:ALOS3,BVMF,ALOS3,BASE_1633,STALE,READY,2026-08-31,2026-09-01T04:49:35+00:00,2026-08-28,STALE,PERSISTED_P0_CACHE_HISTORY_READY_AT_SOURCE_ASOF_BUT_STALE_NOW,FEATURE_PARTIAL,PRIMARY_UNIVERSE_INDEX_AVAILABLE_NO_FROZEN_RS_BINDING,RS_NOT_VERIFIED_CURRENT_FROZEN_1425,SECTOR_RS_NOT_VERIFIED,PROVIDER_MAPPING_READY,P0_DATA_STALE,PRICE_CACHE_STALE|PRICE_CURRENTNESS_STALE|FEATURE_CAPABILITY_PARTIAL|HOME_MARKET_RS_NOT_VERIFIED_CURRENT_FROZEN|SECTOR_RS_NOT_VERIFIED|P0_PARAMETER_SET_NOT_READY
WSSEC:WS:BVMF:AXIA3,WS:BVMF:AXIA3,BVMF,AXIA3,BASE_1633,STALE,READY,2026-08-31,2026-09-01T04:49:35+00:00,2026-08-31,STALE,PERSISTED_P0_CACHE_HISTORY_READY_AT_SOURCE_ASOF_BUT_STALE_NOW,FEATURE_PARTIAL,PRIMARY_UNIVERSE_INDEX_AVAILABLE_NO_FROZEN_RS_BINDING,RS_NOT_VERIFIED_CURRENT_FROZEN_1425,SECTOR_RS_NOT_VERIFIED,PROVIDER_MAPPING_READY,P0_DATA_STALE,PRICE_CACHE_STALE|PRICE_CURRENTNESS_STALE|FEATURE_CAPABILITY_PARTIAL|HOME_MARKET_RS_NOT_VERIFIED_CURRENT_FROZEN|SECTOR_RS_NOT_VERIFIED|P0_PARAMETER_SET_NOT_READY
WSSEC:WS:BVMF:B3SA3,WS:BVMF:B3SA3,BVMF,B3SA3,BASE_1633,STALE,READY,2026-08-31,2026-09-01T04:49:35+00:00,2026-08-28,STALE,PERSISTED_P0_CACHE_HISTORY_READY_AT_SOURCE_ASOF_BUT_STALE_NOW,FEATURE_PARTIAL,PRIMARY_UNIVERSE_INDEX_AVAILABLE_NO_FROZEN_RS_BINDING,RS_NOT_VERIFIED_CURRENT_FROZEN_1425,SECTOR_RS_NOT_VERIFIED,PROVIDER_MAPPING_READY,P0_DATA_STALE,PRICE_CACHE_STALE|PRICE_CURRENTNESS_STALE|FEATURE_CAPABILITY_PARTIAL|HOME_MARKET_RS_NOT_VERIFIED_CURRENT_FROZEN|SECTOR_RS_NOT_VERIFIED|P0_PARAMETER_SET_NOT_READY
WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,BVMF,BBAS3,BASE_1633,STALE,READY,2026-08-31,2026-09-01T04:49:35+00:00,2026-08-28,STALE,PERSISTED_P0_CACHE_HISTORY_READY_AT_SOURCE_ASOF_BUT_STALE_NOW,FEATURE_PARTIAL,PRIMARY_UNIVERSE_INDEX_AVAILABLE_NO_FROZEN_RS_BINDING,RS_NOT_VERIFIED_CURRENT_FROZEN_1425,SECTOR_RS_NOT_VERIFIED,PROVIDER_MAPPING_READY,P0_DATA_STALE,PRICE_CACHE_STALE|PRICE_CURRENTNESS_STALE|FEATURE_CAPABILITY_PARTIAL|HOME_MARKET_RS_NOT_VERIFIED_CURRENT_FROZEN|SECTOR_RS_NOT_VERIFIED|P0_PARAMETER_SET_NOT_READY
WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,BVMF,BBSE3,BASE_1633,STALE,READY,2026-08-31,2026-09-01T04:49:35+00:00,2026-08-28,STALE,PERSISTED_P0_CACHE_HISTORY_READY_AT_SOURCE_ASOF_BUT_STALE_NOW,FEATURE_PARTIAL,PRIMARY_UNIVERSE_INDEX_AVAILABLE_NO_FROZEN_RS_BINDING,RS_NOT_VERIFIED_CURRENT_FROZEN_1425,SECTOR_RS_NOT_VERIFIED,PROVIDER_MAPPING_READY,P0_DATA_STALE,PRICE_CACHE_STALE|PRICE_CURRENTNESS_STALE|FEATURE_CAPABILITY_PARTIAL|HOME_MARKET_RS_NOT_VERIFIED_CURRENT_FROZEN|SECTOR_RS_NOT_VERIFIED|P0_PARAMETER_SET_NOT_READY
WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,BVMF,CPLE3,BASE_1633,STALE,READY,2026-08-31,2026-09-01T04:49:35+00:00,2026-08-31,STALE,PERSISTED_P0_CACHE_HISTORY_READY_AT_SOURCE_ASOF_BUT_STALE_NOW,FEATURE_PARTIAL,PRIMARY_UNIVERSE_INDEX_AVAILABLE_NO_FROZEN_RS_BINDING,RS_NOT_VERIFIED_CURRENT_FROZEN_1425,SECTOR_RS_NOT_VERIFIED,PROVIDER_MAPPING_READY,P0_DATA_STALE,PRICE_CACHE_STALE|PRICE_CURRENTNESS_STALE|FEATURE_CAPABILITY_PARTIAL|HOME_MARKET_RS_NOT_VERIFIED_CURRENT_FROZEN|SECTOR_RS_NOT_VERIFIED|P0_PARAMETER_SET_NOT_READY
WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,BVMF,CSAN3,BASE_1633,STALE,READY,2026-08-31,2026-09-01T04:49:35+00:00,2026-08-31,STALE,PERSISTED_P0_CACHE_HISTORY_READY_AT_SOURCE_ASOF_BUT_STALE_NOW,FEATURE_PARTIAL,PRIMARY_UNIVERSE_INDEX_AVAILABLE_NO_FROZEN_RS_BINDING,RS_NOT_VERIFIED_CURRENT_FROZEN_1425,SECTOR_RS_NOT_VERIFIED,PROVIDER_MAPPING_READY,P0_DATA_STALE,PRICE_CACHE_STALE|PRICE_CURRENTNESS_STALE|FEATURE_CAPABILITY_PARTIAL|HOME_MARKET_RS_NOT_VERIFIED_CURRENT_FROZEN|SECTOR_RS_NOT_VERIFIED|P0_PARAMETER_SET_NOT_READY
WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,BVMF,CSMG3,BASE_1633,STALE,READY,2026-08-31,2026-09-01T04:49:35+00:00,2026-08-28,STALE,PERSISTED_P0_CACHE_HISTORY_READY_AT_SOURCE_ASOF_BUT_STALE_NOW,FEATURE_PARTIAL,PRIMARY_UNIVERSE_INDEX_AVAILABLE_NO_FROZEN_RS_BINDING,RS_NOT_VERIFIED_CURRENT_FROZEN_1425,SECTOR_RS_NOT_VERIFIED,PROVIDER_MAPPING_READY,P0_DATA_STALE,PRICE_CACHE_STALE|PRICE_CURRENTNESS_STALE|FEATURE_CAPABILITY_PARTIAL|HOME_MARKET_RS_NOT_VERIFIED_CURRENT_FROZEN|SECTOR_RS_NOT_VERIFIED|P0_PARAMETER_SET_NOT_READY
WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,BVMF,CURY3,BASE_1633,STALE,READY,2026-08-31,2026-09-01T04:49:35+00:00,2026-08-31,STALE,PERSISTED_P0_CACHE_HISTORY_READY_AT_SOURCE_ASOF_BUT_STALE_NOW,FEATURE_PARTIAL,PRIMARY_UNIVERSE_INDEX_AVAILABLE_NO_FROZEN_RS_BINDING,RS_NOT_VERIFIED_CURRENT_FROZEN_1425,SECTOR_RS_NOT_VERIFIED,PROVIDER_MAPPING_READY,P0_DATA_STALE,PRICE_CACHE_STALE|PRICE_CURRENTNESS_STALE|FEATURE_CAPABILITY_PARTIAL|HOME_MARKET_RS_NOT_VERIFIED_CURRENT_FROZEN|SECTOR_RS_NOT_VERIFIED|P0_PARAMETER_SET_NOT_READY
