Projection_Order,Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Sector,Sector_Taxonomy,Sector_Source,Mapping_Status,Mapping_Authority,RS_Peer_Group_Eligibility,Sector_RS_Capability
1,WSSEC:WS:BVMF:ABEV3,WS:BVMF:ABEV3,BVMF,ABEV3,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
2,WSSEC:WS:BVMF:ALOS3,WS:BVMF:ALOS3,BVMF,ALOS3,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
3,WSSEC:WS:BVMF:AXIA3,WS:BVMF:AXIA3,BVMF,AXIA3,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
4,WSSEC:WS:BVMF:B3SA3,WS:BVMF:B3SA3,BVMF,B3SA3,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
5,WSSEC:WS:BVMF:BBAS3,WS:BVMF:BBAS3,BVMF,BBAS3,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
6,WSSEC:WS:BVMF:BBSE3,WS:BVMF:BBSE3,BVMF,BBSE3,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
7,WSSEC:WS:BVMF:CPLE3,WS:BVMF:CPLE3,BVMF,CPLE3,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
8,WSSEC:WS:BVMF:CSAN3,WS:BVMF:CSAN3,BVMF,CSAN3,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
9,WSSEC:WS:BVMF:CSMG3,WS:BVMF:CSMG3,BVMF,CSMG3,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
10,WSSEC:WS:BVMF:CURY3,WS:BVMF:CURY3,BVMF,CURY3,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
11,WSSEC:WS:BVMF:CXSE3,WS:BVMF:CXSE3,BVMF,CXSE3,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
12,WSSEC:WS:BVMF:CYRE3,WS:BVMF:CYRE3,BVMF,CYRE3,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
13,WSSEC:WS:BVMF:EGIE3,WS:BVMF:EGIE3,BVMF,EGIE3,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
14,WSSEC:WS:BVMF:EMBJ3,WS:BVMF:EMBJ3,BVMF,EMBJ3,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
15,WSSEC:WS:BVMF:ENEV3,WS:BVMF:ENEV3,BVMF,ENEV3,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
16,WSSEC:WS:BVMF:EQTL3,WS:BVMF:EQTL3,BVMF,EQTL3,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
17,WSSEC:WS:BVMF:LREN3,WS:BVMF:LREN3,BVMF,LREN3,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
18,WSSEC:WS:BVMF:MBRF3,WS:BVMF:MBRF3,BVMF,MBRF3,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
19,WSSEC:WS:BVMF:MGLU3,WS:BVMF:MGLU3,BVMF,MGLU3,,,,NOT_VERIFIED_CONTRACT_BLOCKED,NONE_POPULATED,NOT_VERIFIED,BLOCKED_METADATA_CONTRACT
