Research_Partial_Rank_v0_16,WS_ID,Name,Country,Primary_Ticker,Primary_MIC,Primary_Currency,Primary_Universe_Index,Yahoo_Symbol,Scalable_Tradeability_Status,Yahoo_Symbol_v0_19,Yahoo_Mapping_Status_v0_19,Cache_Status_v0_19,Cache_Reason_v0_19,AsOf,Bars,Bars_Raw,Bars_Used,Excluded_Invalid_Bars,Yahoo_Symbol_Observed,Close_Raw,Close_Tech,EMA20,EMA50,SMA200,ATR14_Wilder_DEV,ATR14_Pct_DEV,R5,R20,R60,High20,High60,High252,Low20,Low60,Dist_EMA20,Dist_EMA50,Dist_SMA200,Dist_High252,Range20_Pct,MedianVolume20_Tech,MedianTurnover20_Native,RVOL20_Current,TrueRange_Current,TrueRange_ATR14_Ratio,Range_Current_Pct,Close_Location_0_1,Gap_Pct,Range5_Pct,Range10_Pct,Range5_to_Range20,TR_Mean5,TR_Mean20,TR_Mean5_to_20,EMA20_Slope5_Pct,EMA50_Slope10_Pct,Consecutive_Close_Above_EMA20,Consecutive_Close_Above_EMA50,Consecutive_Close_Above_SMA200,Days_Since_Cross_Above_EMA20,Days_Since_Cross_Below_EMA20,Days_Since_Cross_Above_EMA50,Days_Since_Cross_Below_EMA50,RecentLow10,PriorLow10,RecentLow10_vs_Prior10_Pct,HigherLow10_Proxy,Distance_Low20_ATR,Distance_Low60_ATR,Distance_High20_ATR,Max_Daily_Return5,Min_Daily_Return5,Max_Daily_Return20,Min_Daily_Return20,Max_TR_Preceding_ATR14_20,Max_Volume_PrecedingMedian20_20,Impulse_Return20_Max,Impulse_Days_Ago,PostImpulse_Min_vs_ImpulseClose,PostImpulse_Latest_vs_ImpulseClose,PostImpulse_Range_Pct,ReturnStd5,ReturnStd20,ReturnStd5_to_20,AsOf_Age_Calendar_Days,Obs_R20_Warning_18pct,Obs_R60_Warning_30pct,HomeMarket_RS_Status,Sector_RS_Status,Feature_Status_v0_19,Core_Feature_Complete_v0_19,RS_Reference_AsOf_v0_20,RS_AsOf_Parsed_v0_20,RS_AsOf_Lag_Calendar_Days_v0_20,RS_AsOf_Status_v0_20,HomeMarket_Cohort_Size_Synchronized_v0_20,HomeMarket_Peer_Count_v0_20,HomeMarket_PeerMedian_R20_v0_20,HomeMarket_PeerMedian_R60_v0_20,HomeMarket_RS20_Excess_v0_20,HomeMarket_RS60_Excess_v0_20,HomeMarket_RS_Status_v0_20,HomeMarket_RS_Reference_Type_v0_20,Lane4_RS20_Positive_Component_v0_20,Lane4_RS60_Positive_Component_v0_20,Lane4_RS_Both_Positive_Component_v0_20,Lane4_RS_Component_Status_v0_20,Sector_RS_Status_v0_20,Sector_RS20_Excess_v0_20,Sector_RS60_Excess_v0_20,P0_Lane_Decision_v0_20,P0_PASS_v0_20,P0_FAIL_v0_20
1,WS:US:MU,Micron Technology,,MU,,USD,US_SP1500,MU,NOT_VERIFIED,MU,EXPLICIT,READY,,2026-08-21,329,329,329,0,MU,966.780029296875,966.780029296875,928.324019062124,907.0941537208586,571.0984007263183,66.73968945409452,0.0690329624440353,-0.0050222752634994,0.0497638487240077,0.0413287849788861,1036.1300048828125,1255.0,1255.0,737.8800048828125,737.8800048828125,0.0414252022409189,0.0657989860602537,0.6928431739037124,-0.2296573471738048,0.3084983046421768,36244400.0,33497978866.897583,0.5937564617410515,31.70001220703125,0.4749799177419821,0.0327892708231532,0.2687702287180889,0.0157543905213812,0.1251060308879119,0.1980905727902834,0.4055323125130972,54.86201171875,70.2594970703125,0.7808483408847432,0.0264686607238744,0.0197656523969176,8,8,130,7,20,7,11,844.6199951171875,737.8800048828125,0.1446576537215249,True,3.429743624616452,3.429743624616452,1.0391114515694355,0.0412593170074995,-0.0701655450796886,0.1835723587882696,-0.0993626392525077,1.6958079516277251,1.6408948028699095,0.1835723587882696,16,-0.0590285887463661,0.1053209921349878,0.3041525135081441,0.0454917879971471,0.0626365701269658,0.7262815940421737,0,False,False,NOT_IMPLEMENTED_V0_19,NOT_IMPLEMENTED_V0_19,DEV_AUGMENTED_FEATURES_THRESHOLD_NEUTRAL,True,2026-08-21,2026-08-21,0,SYNCHRONIZED_TO_REFERENCE,1331,1330,0.0084026950022376,0.05572376110944095,0.0413611537217701,-0.014394976130554855,DEV_INTERNAL_PRIMARY_UNIVERSE_COHORT_RS_AVAILABLE,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN,True,False,False,RS_COMPONENT_NOT_BOTH_POSITIVE,RS_NOT_VERIFIED_NO_SECTOR_METADATA,,,NOT_ALLOWED_PARAMETER_SET_NOT_VALIDATED,False,False
2,WS:US:SNDK,Sandisk,,SNDK,,USD,US_SP1500,SNDK,NOT_VERIFIED,SNDK,EXPLICIT,READY,,2026-08-21,329,329,329,0,SNDK,1596.0799560546875,1596.0799560546875,1497.34881041944,1511.4874939412225,939.2142988586426,154.4756465469294,0.0967844035387638,-0.0274387638237595,0.1110429713722458,0.0038617903032278,1827.989990234375,2354.389892578125,2354.389892578125,998.1900024414062,998.1900024414062,0.0659373052879981,0.0559663658829814,0.6993778288877044,-0.3220834148642501,0.5198987586086425,17203700.0,24498397740.844727,0.4403994489557479,44.050048828125,0.2851585334827692,0.0275988985771184,0.5918255934467297,0.0026146484527975,0.1791827465469254,0.3972106648315227,0.3446493063889128,130.3960205078125,156.89905700683593,0.8310822448227415,0.060033116734063,0.00727576230373,7,7,130,6,29,6,27,1194.010009765625,998.1900024414062,0.1961750837468574,True,3.870447976611274,3.870447976611274,1.501272461800208,0.0888057421716035,-0.0901418409434429,0.2599395037665051,-0.1424861000490866,1.5196376493852368,2.039132798799213,0.2599395037665051,16,-0.0529313432198119,0.2469764717371683,0.5521461585941333,0.0663008347820998,0.0964487345786452,0.6874204733918776,0,False,False,NOT_IMPLEMENTED_V0_19,NOT_IMPLEMENTED_V0_19,DEV_AUGMENTED_FEATURES_THRESHOLD_NEUTRAL,True,2026-08-21,2026-08-21,0,SYNCHRONIZED_TO_REFERENCE,1331,1330,0.0084026950022376,0.05572376110944095,0.1026402763700082,-0.05186197080621315,DEV_INTERNAL_PRIMARY_UNIVERSE_COHORT_RS_AVAILABLE,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN,True,False,False,RS_COMPONENT_NOT_BOTH_POSITIVE,RS_NOT_VERIFIED_NO_SECTOR_METADATA,,,NOT_ALLOWED_PARAMETER_SET_NOT_VALIDATED,False,False
3,WS:US:NVDA,Nvidia,,NVDA,,USD,US_SP1500,NVDA,NOT_VERIFIED,NVDA,EXPLICIT,READY,,2026-08-21,329,329,329,0,NVDA,214.72000122070312,214.72000122070312,215.45176433333808,210.54129439831348,195.28750022888184,6.263411267003265,0.0291701342743814,-0.0463670379801256,0.0380971041497208,0.0099717547334183,227.9199981689453,232.27999877929688,236.5399932861328,190.00999450683597,189.8000030517578,-0.0033964127186389,0.0198474452925332,0.0995071418756752,-0.0922465235679402,0.1765555302095169,111362100.0,24664584572.758484,0.8643275078744667,4.240005493164063,0.6769482814422781,0.019746672266483,0.051887013131898384,0.007239990874984,0.0624999911170425,0.0624999911170425,0.3539962245468853,4.78599853515625,6.650999450683594,0.7195908781295031,0.0087077891546869,0.0230170759140524,0,15,17,14,0,14,19,214.5,190.00999450683597,0.1288879859016205,True,3.945135591533607,3.978662282681033,2.1074772812352363,-0.0006662335798259,-0.0234211330266566,0.0343493379986608,-0.0499419938790742,1.834823252755954,1.211942955997297,0.0343493379986608,12,-0.0205273240349522,-0.0205273240349522,0.0612170335472013,0.0088172609554027,0.0240229066979411,0.3670355576146172,0,False,False,NOT_IMPLEMENTED_V0_19,NOT_IMPLEMENTED_V0_19,DEV_AUGMENTED_FEATURES_THRESHOLD_NEUTRAL,True,2026-08-21,2026-08-21,0,SYNCHRONIZED_TO_REFERENCE,1331,1330,0.0084026950022376,0.05572376110944095,0.029694409147483197,-0.045752006376022655,DEV_INTERNAL_PRIMARY_UNIVERSE_COHORT_RS_AVAILABLE,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN,True,False,False,RS_COMPONENT_NOT_BOTH_POSITIVE,RS_NOT_VERIFIED_NO_SECTOR_METADATA,,,NOT_ALLOWED_PARAMETER_SET_NOT_VALIDATED,False,False
4,WS:XTKS:285A,KIOXIA HOLDINGS CORP.,Japan,285A,XTKS,JPY,JP_N225,285A.T,NOT_VERIFIED,285A.T,EXPLICIT,READY,,2026-08-21,320,320,320,0,285A.T,54320.0,54320.0,54641.19169901864,59284.04434036649,36057.315,6680.396213458835,0.1229822572433511,0.0107927056196501,-0.1221719457013574,-0.1028901734104046,63350.0,112700.0,112700.0,36020.0,36020.0,-0.0058781971811278,-0.0837332269685668,0.5064904305825322,-0.5180124223602485,0.5031296023564065,46417950.0,2413868833500.0,0.8583963746783303,3560.0,0.532902523480232,0.0655375552282768,0.6769662921348315,-0.0188857412653447,0.2534977908689249,0.3530927835051546,0.5038419319429198,6044.0,6469.0,0.93430205595919,0.002855698889095,-0.0498546089725594,0,0,121,4,2,4,3,44170.0,36020.0,0.2262631871182676,True,2.739358477440519,2.739358477440519,1.3517162323108134,0.1507257164123558,-0.1259842519685039,0.1772151898734177,-0.1833180568285976,1.2662565248084294,2.0321768193256275,0.1772151898734177,14,0.0,0.1681720430107527,0.4124731182795699,0.1099728106721703,0.0938125399974168,1.1722613061665164,0,False,False,NOT_IMPLEMENTED_V0_19,NOT_IMPLEMENTED_V0_19,DEV_AUGMENTED_FEATURES_THRESHOLD_NEUTRAL,True,2026-08-21,2026-08-21,0,SYNCHRONIZED_TO_REFERENCE,207,206,0.0122214279096842,0.06927471086709765,-0.13439337361104162,-0.17216488427750226,DEV_INTERNAL_PRIMARY_UNIVERSE_COHORT_RS_AVAILABLE,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN,False,False,False,RS_COMPONENT_NOT_BOTH_POSITIVE,RS_NOT_VERIFIED_NO_SECTOR_METADATA,,,NOT_ALLOWED_PARAMETER_SET_NOT_VALIDATED,False,False
5,WS:US:AAPL,Apple Inc.,,AAPL,,USD,US_SP1500,AAPL,NOT_VERIFIED,AAPL,EXPLICIT,READY,,2026-08-21,329,329,329,0,AAPL,309.3500061035156,309.3500061035156,312.0379496129457,309.3800142493795,281.5015495300293,7.633398170518293,0.0246756037495081,0.0111790720413569,-0.0710767632305233,-0.0048254784318726,344.57000732421875,344.57000732421875,344.57000732421875,300.0,273.75,-0.0086141557870259,-9.699445498012604e-05,0.0989282532191375,-0.1022143554925351,0.1440763098265613,48157800.0,14938402583.05664,0.9672479216574744,5.3699951171875,0.7034868347268314,0.017358962376715,0.43575390420767884,0.0024092516203335,0.0560530014409899,0.0637142106552366,0.3890507850212603,7.05999755859375,8.101499938964844,0.8714432650475129,-0.0026313858361018,-0.0017824339850995,0,0,100,2,1,3,0,300.57000732421875,300.0,0.0019000244140625,True,1.2248812251962975,4.663716644706148,4.613934768492727,0.021933322000267,-0.0174541521120682,0.021933322000267,-0.0735386424505443,4.147666210744943,2.7113624642889302,0.021933322000267,2,-0.0236088147768925,-0.0236088147768925,0.0418836271062528,0.0158920179592808,0.0204889684735123,0.7756377769737742,0,False,False,NOT_IMPLEMENTED_V0_19,NOT_IMPLEMENTED_V0_19,DEV_AUGMENTED_FEATURES_THRESHOLD_NEUTRAL,True,2026-08-21,2026-08-21,0,SYNCHRONIZED_TO_REFERENCE,1331,1330,0.00889083558774225,0.05572376110944095,-0.07996759881826554,-0.060549239541313554,DEV_INTERNAL_PRIMARY_UNIVERSE_COHORT_RS_AVAILABLE,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN,False,False,False,RS_COMPONENT_NOT_BOTH_POSITIVE,RS_NOT_VERIFIED_NO_SECTOR_METADATA,,,NOT_ALLOWED_PARAMETER_SET_NOT_VALIDATED,False,False
6,WS:US:MSFT,Microsoft,,MSFT,,USD,US_SP1500,MSFT,NOT_VERIFIED,MSFT,EXPLICIT,READY,,2026-08-21,329,329,329,0,MSFT,483.239990234375,483.239990234375,469.9807955829492,440.5344941676829,431.3127993774414,12.329011038453672,0.0255132259076365,-0.0245458292529778,0.2660203688237486,0.1710082499585317,513.72998046875,513.72998046875,553.719970703125,387.989990234375,349.20001220703125,0.028212205213576,0.0969401865962327,0.120393345460384,-0.127284519608807,0.2602019550852779,29318650.0,14258382571.73462,0.767797971598283,7.829986572265625,0.6350863461671195,0.0162031014206171,0.6015325073176055,-0.0026394867084734,0.0320958738495597,0.075697349787885,0.1233498566105729,9.337994384765626,14.821498107910156,0.6300304002185844,0.0172279468453881,0.0579777434569044,19,17,17,18,22,16,22,477.1499938964844,387.989990234375,0.2297997523293062,True,7.725680486692664,10.871916458609586,2.473028058720849,0.0055644221676622,-0.0303794670536744,0.1550673330095648,-0.0303794670536744,5.736040304244144,3.693612498386402,0.1550673330095648,16,0.0,0.0712480241542805,0.1802038947627277,0.0150334083603571,0.0380304317550362,0.3952994395959308,0,True,False,NOT_IMPLEMENTED_V0_19,NOT_IMPLEMENTED_V0_19,DEV_AUGMENTED_FEATURES_THRESHOLD_NEUTRAL,True,2026-08-21,2026-08-21,0,SYNCHRONIZED_TO_REFERENCE,1331,1330,0.0084026950022376,0.05492403182822245,0.25761767382151096,0.11608421813030925,DEV_INTERNAL_PRIMARY_UNIVERSE_COHORT_RS_AVAILABLE,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN,True,True,True,RS_COMPONENT_BOTH_POSITIVE,RS_NOT_VERIFIED_NO_SECTOR_METADATA,,,NOT_ALLOWED_PARAMETER_SET_NOT_VALIDATED,False,False
7,WS:US:AMD,Advanced Micro Devices,,AMD,,USD,US_SP1500,AMD,NOT_VERIFIED,AMD,EXPLICIT,READY,,2026-08-21,329,329,329,0,AMD,473.25,473.25,487.9116903770157,485.5224871975633,329.8632504272461,28.39986064276053,0.060010270771813,-0.0799782528371101,-0.093303977522879,-0.044981249062761,530.1300048828125,584.72998046875,584.72998046875,424.0299987792969,424.0299987792969,-0.0300498853915273,-0.0252768667181619,0.4346854321814759,-0.1906520688051292,0.2241944133196315,24548800.0,11954577291.81366,0.5709514862992978,15.25,0.5369744658901138,0.0322239830956154,0.7304927638319673,0.0149959712713783,0.1206127555673864,0.1206127555673864,0.5379828773673773,19.76400146484375,30.43999938964844,0.6492773278952425,-0.0125376400941091,-0.003418417798325,0,0,130,5,3,5,3,460.2699890136719,424.0299987792969,0.085465628230793,True,1.733107138793299,1.733107138793299,2.00282690110002,0.0080731236184257,-0.0427074809319416,0.1299702425904505,-0.0814830105973898,1.797210926818109,1.8291943784931648,0.1299702425904505,16,-0.039081976654264,-0.0250108454687317,0.1541647228652659,0.0236886908554467,0.0507494441955583,0.4667773456624376,0,False,False,NOT_IMPLEMENTED_V0_19,NOT_IMPLEMENTED_V0_19,DEV_AUGMENTED_FEATURES_THRESHOLD_NEUTRAL,True,2026-08-21,2026-08-21,0,SYNCHRONIZED_TO_REFERENCE,1331,1330,0.00889083558774225,0.05572376110944095,-0.10219481311062126,-0.10070501017220196,DEV_INTERNAL_PRIMARY_UNIVERSE_COHORT_RS_AVAILABLE,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN,False,False,False,RS_COMPONENT_NOT_BOTH_POSITIVE,RS_NOT_VERIFIED_NO_SECTOR_METADATA,,,NOT_ALLOWED_PARAMETER_SET_NOT_VALIDATED,False,False
8,WS:US:TSLA,"Tesla, Inc.",,TSLA,,USD,US_SP1500,TSLA,NOT_VERIFIED,TSLA,EXPLICIT,READY,,2026-08-21,329,329,329,0,TSLA,362.8599853515625,362.8599853515625,342.09640662718806,358.78015090957854,403.3203997802734,13.85911742350604,0.0381941188970683,0.0601571770789057,0.1591859782339852,-0.175992375733521,366.5,443.9599914550781,498.8299865722656,297.3800048828125,297.3800048828125,0.0606951091041487,0.0113714051115725,-0.10031829396865,-0.2725778419116853,0.1904866833145559,35669450.0,11568888367.480469,1.6603564114389204,21.3699951171875,1.5419448774524762,0.0540153417151407,0.8142850247488139,0.0137629297157539,0.0975031866589919,0.1181171445786091,0.5118635327278089,13.365997314453123,11.814501953125,1.1313212666504109,0.0116836024538171,-0.0226961628400914,3,1,0,2,3,0,29,323.6400146484375,297.3800048828125,0.0883045575844052,True,4.724686173572016,4.724686173572016,0.2626440441484231,0.0513718894848627,-0.0170596671157272,0.0513718894848627,-0.0296643086285612,1.6090218906322489,1.6603564114389204,0.0513718894848627,0,0.0,0.0,0.0540153417151407,0.0320444189075456,0.0235141936555958,1.3627692013125776,0,False,False,NOT_IMPLEMENTED_V0_19,NOT_IMPLEMENTED_V0_19,DEV_AUGMENTED_FEATURES_THRESHOLD_NEUTRAL,True,2026-08-21,2026-08-21,0,SYNCHRONIZED_TO_REFERENCE,1331,1330,0.0084026950022376,0.05572376110944095,0.1507832832317476,-0.23171613684296194,DEV_INTERNAL_PRIMARY_UNIVERSE_COHORT_RS_AVAILABLE,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN,True,False,False,RS_COMPONENT_NOT_BOTH_POSITIVE,RS_NOT_VERIFIED_NO_SECTOR_METADATA,,,NOT_ALLOWED_PARAMETER_SET_NOT_VALIDATED,False,False
9,WS:US:INTC,Intel,,INTC,,USD,US_SP1500,INTC,NOT_VERIFIED,INTC,EXPLICIT,READY,,2026-08-21,329,329,329,0,INTC,90.06999969482422,90.06999969482422,97.87350961142351,101.18818624828658,71.50794992446899,6.501139152790268,0.0721787406996499,-0.1212682956602515,-0.0243717505138395,-0.2603268278076871,107.56999969482422,142.35000610351562,142.35000610351562,81.79000091552734,81.79000091552734,-0.0797305619015884,-0.1098763300903679,0.2595802255548032,-0.3672638157154265,0.2862218148844769,109654050.0,10048702822.473907,0.8072883963537764,3.0199966430664062,0.4645334566896993,0.0335294399167178,0.10596028163107542,0.0062954721409498,0.1800821724842882,0.1978461169668265,0.6291699762890955,5.059999084472656,6.46150016784668,0.7830997373724313,-0.0223845279806895,-0.0176812662797114,0,0,130,7,3,4,3,89.75,81.79000091552734,0.0973223987696703,True,1.2736227582120168,1.2736227582120168,2.6918359365510667,0.0096585157440929,-0.0657067887015955,0.1129702040825835,-0.0657067887015955,1.4522529842089678,1.5136247223021797,0.1129702040825835,16,-0.0116317084444331,-0.0116317084444331,0.2408646725534595,0.0292113620575967,0.047177032467634,0.6191860854672734,0,False,False,NOT_IMPLEMENTED_V0_19,NOT_IMPLEMENTED_V0_19,DEV_AUGMENTED_FEATURES_THRESHOLD_NEUTRAL,True,2026-08-21,2026-08-21,0,SYNCHRONIZED_TO_REFERENCE,1331,1330,0.00889083558774225,0.05572376110944095,-0.033262586101581754,-0.31605058891712806,DEV_INTERNAL_PRIMARY_UNIVERSE_COHORT_RS_AVAILABLE,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN,False,False,False,RS_COMPONENT_NOT_BOTH_POSITIVE,RS_NOT_VERIFIED_NO_SECTOR_METADATA,,,NOT_ALLOWED_PARAMETER_SET_NOT_VALIDATED,False,False
10,WS:US:AMZN,Amazon,,AMZN,,USD,US_SP1500,AMZN,NOT_VERIFIED,AMZN,EXPLICIT,READY,,2026-08-21,329,329,329,0,AMZN,258.6300048828125,258.6300048828125,260.7755597888177,254.82811194905932,238.3259999847412,7.481783497975846,0.0289285208859115,-0.0153054982185008,0.1142561897493623,-0.048629762456835,287.20001220703125,287.20001220703125,287.20001220703125,226.16000366210935,225.5500030517578,-0.0082275919865447,0.0149194408131594,0.0851942503099589,-0.0994777371514307,0.2360128654545694,35727450.0,9400676864.523315,1.0098474472538952,4.04998779296875,0.5413131500082101,0.015659388765831,0.392592871675081,0.0024220711171891,0.0361906398130549,0.0893168065089061,0.1533418093261585,6.00999755859375,8.625499725341797,0.6967709408112694,0.0004666769705303,0.0190625933131756,0,16,17,2,1,15,22,257.0400085449219,226.16000366210935,0.1365405216783966,True,4.339874473711743,4.421405917453277,3.8186092035339168,0.0246289606098011,-0.0215543600107679,0.153205887780321,-0.0232377150948336,5.139793311852045,3.3033504531219404,0.153205887780321,15,-0.0476838586410608,-0.0476838586410608,0.1110538520999742,0.0168539941497396,0.0396543678501764,0.4250223887925282,0,False,False,NOT_IMPLEMENTED_V0_19,NOT_IMPLEMENTED_V0_19,DEV_AUGMENTED_FEATURES_THRESHOLD_NEUTRAL,True,2026-08-21,2026-08-21,0,SYNCHRONIZED_TO_REFERENCE,1331,1330,0.0084026950022376,0.05572376110944095,0.1058534947471247,-0.10435352356627595,DEV_INTERNAL_PRIMARY_UNIVERSE_COHORT_RS_AVAILABLE,LEAVE_ONE_OUT_PRIMARY_UNIVERSE_COHORT_MEDIAN,True,False,False,RS_COMPONENT_NOT_BOTH_POSITIVE,RS_NOT_VERIFIED_NO_SECTOR_METADATA,,,NOT_ALLOWED_PARAMETER_SET_NOT_VALIDATED,False,False
