Field,Rows_Present,Rows_Missing,Coverage_Pct
Close_Tech,2035,2,99.9018
EMA20,2035,2,99.9018
EMA50,2035,2,99.9018
SMA200,2035,2,99.9018
ATR14_Wilder_DEV,2035,2,99.9018
R5,2035,2,99.9018
R20,2035,2,99.9018
R60,2035,2,99.9018
High20,2035,2,99.9018
High60,2035,2,99.9018
High252,2035,2,99.9018
Low20,2035,2,99.9018
Low60,2035,2,99.9018
Dist_EMA20,2035,2,99.9018
Dist_EMA50,2035,2,99.9018
Dist_SMA200,2035,2,99.9018
Dist_High252,2035,2,99.9018
Range20_Pct,2035,2,99.9018
MedianVolume20_Tech,2035,2,99.9018
MedianTurnover20_Native,2035,2,99.9018
