WS_ID,Yahoo_Symbol,Name,Eligibility_DryRun,Instrument_Type,Share_Class
WS:XAMS:ABND.AS,ABN.AS,ABN AMRO BANK,INSTRUMENT_REVIEW,UNKNOWN,ordinary share represented by depositary receipts
WS:XETR:ALVG.DE,ALV.DE,ALLIANZ,INSTRUMENT_REVIEW,UNKNOWN,registered shares with restricted transferability
WS:XETR:BASFN.DE,BAS.DE,BASF,INSTRUMENT_REVIEW,UNKNOWN,registered shares with no par value
WS:XETR:BAYGN.DE,BAYN.DE,BAYER,INSTRUMENT_REVIEW,UNKNOWN,registered no-par-value shares
WS:XETR:LHAG.DE,LHA.DE,LUFTHANSA,INSTRUMENT_REVIEW,UNKNOWN,registered shares
WS:XETR:RWEG.DE,RWE.DE,RWE,INSTRUMENT_REVIEW,UNKNOWN,bearer shares
WS:XSTO:INDUC.ST,INDU-C.ST,INDUSTRIVARDEN C,INSTRUMENT_REVIEW,UNKNOWN,C share
WS:XSWX:ALCC.S,ALC.SW,ALCON,INSTRUMENT_REVIEW,UNKNOWN,registered shares
WS:XSWX:HBANC.S,HBAN.SW,HELVETIA BALOISE HLDG,INSTRUMENT_REVIEW,UNKNOWN,registered shares
WS:XSWX:SRENH.S,SREN.SW,SWISS REINSURANCE COMPANY,INSTRUMENT_REVIEW,UNKNOWN,registered shares
