MIC,membership,strict,gap,strict_pct,empty_isin
XNYS,506,0,506,0.0,0
XNAS,235,0,235,0.0,0
XTKS,225,197,28,87.6,225
XTSE,217,0,217,0.0,217
XSHG,189,186,3,98.4,189
XLON,124,8,116,6.5,124
XSHE,111,108,3,97.3,111
BVMF,98,37,61,37.8,98
XHKG,93,0,93,0.0,93
XETR,70,39,31,55.7,70
XPAR,69,35,34,50.7,69
XSWX,60,0,60,0.0,60
XSTO,53,18,35,34.0,53
XNSE,50,45,5,90.0,0
XTAI,50,49,1,98.0,3
XMIL,40,13,27,32.5,40
XAMS,35,5,30,14.3,35
XMAD,28,2,26,7.1,28
XOSL,24,0,24,0.0,24
XCSE,23,7,16,30.4,23
XHEL,19,1,18,5.3,19
XWAR,18,1,17,5.6,18
XBRU,17,1,16,5.9,17
XWBO,9,4,5,44.4,9
XDUB,6,3,3,50.0,6
XLIS,5,0,5,0.0,5
