ticker,WS_ID,ISIN,MIC,Name,Source_ID,population,identity_result
1801,WS:XHKG:1801,,XHKG,INNOVENT BIO,SRC_HSI,PREFIX,ALLOWED TICKER COLLISION
1801,WS:XTKS:1801,,XTKS,TAISEI CORP.,SRC_NIKKEI225,PREFIX,ALLOWED TICKER COLLISION
1928,WS:XHKG:1928,,XHKG,SANDS CHINA LTD,SRC_HSI,PREFIX,ALLOWED TICKER COLLISION
1928,WS:XTKS:1928,,XTKS,"SEKISUI HOUSE, LTD.",SRC_NIKKEI225,PREFIX,ALLOWED TICKER COLLISION
2269,WS:XHKG:2269,,XHKG,WUXI BIO,SRC_HSI,PREFIX,ALLOWED TICKER COLLISION
2269,WS:XTKS:2269,,XTKS,"MEIJI HOLDINGS CO., LTD.",SRC_NIKKEI225,PREFIX,ALLOWED TICKER COLLISION
2382,WS:ISIN:TW0002382009,TW0002382009,XTAI,QUANTA COMPUTER INC.,SRC_FTSE_TW50_CW_20260630,PREFIX,ALLOWED TICKER COLLISION
2382,WS:XHKG:2382,,XHKG,SUNNY OPTICAL,SRC_HSI,PREFIX,ALLOWED TICKER COLLISION
BYD,WS:XTSE:BYD,,XTSE,Boyd Group Services Inc.,SRC_TMX_TSX_COMPOSITE,PREFIX,ALLOWED TICKER COLLISION
BYD,WS:XNYS:BYD,US1033041013,XNYS,BOYD GAMING,US2_SP400_COMMON_ADMISSION,US2,ALLOWED TICKER COLLISION
CG,WS:XTSE:CG,,XTSE,Centerra Gold Inc.,SRC_TMX_TSX_COMPOSITE,PREFIX,ALLOWED TICKER COLLISION
CG,WS:XNAS:CG,US14316J1088,XNAS,CARLYLE GROUP INC,US2_SP400_COMMON_ADMISSION,US2,ALLOWED TICKER COLLISION
EFX,WS:XTSE:EFX,,XTSE,Enerflex Ltd.,SRC_TMX_TSX_COMPOSITE,PREFIX,ALLOWED TICKER COLLISION
EFX,WS:XNYS:EFX,US2944291051,XNYS,Equifax,US1_SP500_COMMON_EVIDENCE_GATE,US1,ALLOWED TICKER COLLISION
H,WS:XTSE:H,,XTSE,Hydro One Limited,SRC_TMX_TSX_COMPOSITE,PREFIX,ALLOWED TICKER COLLISION
H,WS:XNYS:H,US4485791028,XNYS,HYATT HOTELS CORP CLASS A,US2_SP400_COMMON_ADMISSION,US2,ALLOWED TICKER COLLISION
KEY,WS:XTSE:KEY,,XTSE,Keyera Corp.,SRC_TMX_TSX_COMPOSITE,PREFIX,ALLOWED TICKER COLLISION
KEY,WS:XNYS:KEY,US4932671088,XNYS,KeyBank,US1_SP500_COMMON_EVIDENCE_GATE,US1,ALLOWED TICKER COLLISION
L,WS:XTSE:L,,XTSE,Loblaw Companies Limited,SRC_TMX_TSX_COMPOSITE,PREFIX,ALLOWED TICKER COLLISION
L,WS:XNYS:L,US5404241086,XNYS,Loews Corporation,US1_SP500_COMMON_EVIDENCE_GATE,US1,ALLOWED TICKER COLLISION
PPL,WS:XTSE:PPL,,XTSE,Pembina Pipeline Corporation,SRC_TMX_TSX_COMPOSITE,PREFIX,ALLOWED TICKER COLLISION
PPL,WS:XNYS:PPL,US69351T1060,XNYS,PPL,US1_SP500_COMMON_EVIDENCE_GATE,US1,ALLOWED TICKER COLLISION
RBA,WS:XTSE:RBA,,XTSE,RB Global Inc.,SRC_TMX_TSX_COMPOSITE,PREFIX,ALLOWED TICKER COLLISION
RBA,WS:XNYS:RBA,CA74935Q1072,XNYS,RB GLOBAL,US2_SP400_COMMON_ADMISSION,US2,ALLOWED TICKER COLLISION
T,WS:XTSE:T,,XTSE,TELUS Corporation,SRC_TMX_TSX_COMPOSITE,PREFIX,ALLOWED TICKER COLLISION
T,WS:XNYS:T,US00206R1023,XNYS,AT&T,US1_SP500_COMMON_EVIDENCE_GATE,US1,ALLOWED TICKER COLLISION
TKO,WS:XTSE:TKO,,XTSE,Trekor Metals Limited,SRC_TMX_TSX_COMPOSITE,PREFIX,ALLOWED TICKER COLLISION
TKO,WS:XNYS:TKO,US87256C1018,XNYS,WWE,US1_SP500_COMMON_EVIDENCE_GATE,US1,ALLOWED TICKER COLLISION
