WS_ID,Name,Primary_Universe_Index,Yahoo_Symbol,ws_id,status,reason_code,unique_bars,valid_bars,suspicious_returns,first_bar_date,last_bar_date
WS:XASX:ASK,Abacus Storage King,AU_ASX200,ASK.AX,WS:XASX:ASK,WARMUP,INSUFFICIENT_HISTORY,26,26,0,2026-07-17,2026-08-21
WS:XASX:L1G,L1 Group,AU_ASX200,L1G.AX,WS:XASX:L1G,WARMUP,INSUFFICIENT_HISTORY,224,224,0,2025-10-03,2026-08-21
WS:XASX:MSB,Mesoblast,AU_ASX200,MSB.AX,WS:XASX:MSB,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,508,508,1,2024-08-21,2026-08-21
WS:XASX:RYM,Ryman Healthcare,AU_ASX200,RYM.AX,WS:XASX:RYM,WARMUP,INSUFFICIENT_HISTORY,223,223,0,2025-10-06,2026-08-21
WS:XASX:TUA,Tuas,AU_ASX200,TUA.AX,WS:XASX:TUA,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,508,508,1,2024-08-21,2026-08-21
WS:BVMF:AUAU3,AUAU3,BR_IBRX100,AUAU3.SA,WS:BVMF:AUAU3,WARMUP,INSUFFICIENT_HISTORY,159,159,0,2026-01-05,2026-08-21
WS:BVMF:NATU3,NATU3,BR_IBRX100,NATU3.SA,WS:BVMF:NATU3,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,291,291,1,2025-06-26,2026-08-21
WS:XTSE:IAU,i-80 Gold Corp.,CA_TSX,IAU.TO,WS:XTSE:IAU,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,503,503,1,2024-08-21,2026-08-21
WS:XTSE:LAC,Lithium Americas Corp.,CA_TSX,LAC.TO,WS:XTSE:LAC,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,503,503,1,2024-08-21,2026-08-21
WS:XSHE:001280,"China National Uranium Co., Ltd.",CN_CSI300,001280.SZ,WS:XSHE:001280,WARMUP,INSUFFICIENT_HISTORY,175,175,0,2025-12-03,2026-08-21
WS:XAMS:CSG.AS,CSG A,EU_STOXX600,CSG.AS,WS:XAMS:CSG.AS,WARMUP,INSUFFICIENT_HISTORY,148,148,0,2026-01-23,2026-08-21
WS:XAMS:MICCT.AS,THE MAGNUM ICE CREAM COMPANY,EU_STOXX600,MICC.AS,WS:XAMS:MICCT.AS,WARMUP,INSUFFICIENT_HISTORY,179,179,0,2025-12-08,2026-08-21
WS:XETR:AMV0N.DE,AUMOVIO,EU_STOXX600,AMV0.DE,WS:XETR:AMV0N.DE,WARMUP,INSUFFICIENT_HISTORY,234,234,0,2025-09-18,2026-08-21
WS:XLON:ROR.L,ROTORK,EU_STOXX600,ROR.L,WS:XLON:ROR.L,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,507,507,1,2024-08-21,2026-08-21
WS:XOSL:KMAR.OL,KONGSBERG MARITIME,EU_STOXX600,KMAR.OL,WS:XOSL:KMAR.OL,WARMUP,INSUFFICIENT_HISTORY,84,84,0,2026-04-23,2026-08-21
