WS_ID,Name,Yahoo_Symbol,Status_Before,Reason_Before,Status_After,Reason_After,Unique_Bars,Valid_Bars,Suspicious_Returns
WS:SRC:ZA_TOP40:1EFE66E75F1BEAE6,NEPI Rockcastle,NRP.JO,QUARANTINE,INVALID_OHLC_OR_VOLUME,READY,FILTERED_INVALID_BARS_EXCLUDED,501,499,0
WS:SRC:ZA_TOP40:2DF0FDC7A9EB6AF3,AB InBev,ANH.JO,QUARANTINE,INVALID_OHLC_OR_VOLUME,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,499,2
WS:SRC:ZA_TOP40:3598A879F2EA6E99,Sanlam,SLM.JO,QUARANTINE,INVALID_OHLC_OR_VOLUME,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,499,2
WS:SRC:ZA_TOP40:5F247CB49B9B155E,Vodacom,VOD.JO,QUARANTINE,INVALID_OHLC_OR_VOLUME,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,501,499,2
WS:SRC:ZA_TOP40:8D915874D6D1F74D,Growthpoint Properties,GRT.JO,QUARANTINE,INVALID_OHLC_OR_VOLUME,READY,FILTERED_INVALID_BARS_EXCLUDED,501,499,0
WS:SRC:ZA_TOP40:9CADEA732F4AE055,Remgro,REM.JO,QUARANTINE,INVALID_OHLC_OR_VOLUME,READY,FILTERED_INVALID_BARS_EXCLUDED,501,499,0
WS:SRC:ZA_TOP40:A5EBFF44983C436F,Bidcorp,BID.JO,QUARANTINE,INVALID_OHLC_OR_VOLUME,READY,FILTERED_INVALID_BARS_EXCLUDED,501,499,0
WS:SRC:ZA_TOP40:C46C9A1E2438665A,Anglo American,AGL.JO,QUARANTINE,INVALID_OHLC_OR_VOLUME,READY,FILTERED_INVALID_BARS_EXCLUDED,501,499,0
WS:SRC:ZA_TOP40:D7462C43096E07C0,Reinet Investments,RNI.JO,QUARANTINE,INVALID_OHLC_OR_VOLUME,READY,FILTERED_INVALID_BARS_EXCLUDED,501,499,0
WS:SRC:ZA_TOP40:FA44132B238E6795,Discovery,DSY.JO,QUARANTINE,INVALID_OHLC_OR_VOLUME,READY,FILTERED_INVALID_BARS_EXCLUDED,501,499,0
WS:XKRX:006400,Samsung SDI,006400.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,READY,FILTERED_INVALID_BARS_EXCLUDED,484,482,0
WS:XKRX:007660,Isu Petasys,007660.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,READY,FILTERED_INVALID_BARS_EXCLUDED,484,482,0
WS:XKRX:009830,Hanwha Solutions,009830.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,READY,FILTERED_INVALID_BARS_EXCLUDED,484,482,0
WS:XKRX:010120,LS Electric,010120.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,READY,FILTERED_INVALID_BARS_EXCLUDED,484,482,0
WS:XKRX:010140,Samsung Heavy Industries,010140.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,READY,FILTERED_INVALID_BARS_EXCLUDED,484,482,0
WS:XKRX:012450,Hanwha Aerospace,012450.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,READY,FILTERED_INVALID_BARS_EXCLUDED,484,482,0
WS:XKRX:034020,Doosan Enerbility,034020.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,READY,FILTERED_INVALID_BARS_EXCLUDED,484,482,0
WS:XKRX:034220,LG Display,034220.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,READY,FILTERED_INVALID_BARS_EXCLUDED,484,482,0
WS:XKRX:042700,Hanmi Semiconductor,042700.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,READY,FILTERED_INVALID_BARS_EXCLUDED,484,482,0
WS:XKRX:047050,POSCO International,047050.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,READY,FILTERED_INVALID_BARS_EXCLUDED,484,482,0
WS:XKRX:051910,LG Chem,051910.KS,QUARANTINE,INVALID_OHLC_OR_VOLUME,READY,FILTERED_INVALID_BARS_EXCLUDED,484,482,0
WS:XNZE:KPG,Kiwi Property Group Limited,KPG.NZ,QUARANTINE,INVALID_OHLC_OR_VOLUME,READY,FILTERED_INVALID_BARS_EXCLUDED,499,497,0
WS:XNZE:SKL,Skellerup Holdings Limited,SKL.NZ,QUARANTINE,INVALID_OHLC_OR_VOLUME,READY,FILTERED_INVALID_BARS_EXCLUDED,499,497,0
