WS_ID,Yahoo_Symbol,Name,Primary_MIC,Mapping_Status,Instrument_Type,Share_Class,History_State,History_Source,Unique_Bars,Valid_Bars,Liquidity_Class,Liquidity_Source,Usable20,MedianTurnover20_EUR,Quote_Scale,Eligibility_DryRun,In_v0_50_147,Universe_Write,Scalable_Universe_Raw,Scalable_QA,Scalable_Live_Check,Bar_Unique,Bar_Valid,Bar_First,Bar_Last,Bar_Future,Bar_Dups,Bar_Dup_Source,Bar_QA_Status,Eligibility_DryRun_Unchanged
WS:ISIN:INE002A01018,RELIANCE.NS,Reliance Industries Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,116092317.74,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE009A01021,INFY.NS,Infosys Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,85706994.16,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE018A01030,LT.NS,Larsen & Toubro Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,49103714.53,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE019A01038,JSWSTEEL.NS,JSW Steel Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,STANDARD,v0.38,20,17852748.75,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE021A01026,ASIANPAINT.NS,Asian Paints Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,STANDARD,v0.38,20,16220135.4,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE027H01010,MAXHEALTH.NS,Max Healthcare Institute Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,STANDARD,v0.38,20,16669402.46,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE030A01027,HINDUNILVR.NS,Hindustan Unilever Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,20713348.18,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE038A01020,HINDALCO.NS,Hindalco Industries Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,498,498,PREFERRED,v0.38,20,39056887.63,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,498,498,2024-09-02,2026-08-28,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE040A01034,HDFCBANK.NS,HDFC Bank Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,142256035.28,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
WS:ISIN:INE044A01036,SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,XNSE,UNMAPPED,COMMON_STOCK,,PASS_HISTORY_CURRENT,v0.38,499,499,PREFERRED,v0.38,20,26972774.33,1.0,PASS_STRICT_CANDIDATE,NO,NO,NOT_VERIFIED,not verified,NO,499,499,2024-09-02,2026-08-31,NO,NO,CSV_UNIQUE_ONLY,PASS_BAR_QA,PASS_STRICT_CANDIDATE
